# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008652	BP	e	cellular amino acid biosynthetic process	83/1442	89/1997	6.786613154929642e-07	7	83	0.0009976321337746574	944762, 944775, 944798, 944844, 944862, 945031, 945076, 945109, 945198, 945221, 945258, 945281, 945519, 945527, 945528, 945605, 945642, 945768, 945803, 945846, 946204, 946210, 946229, 946240, 946425, 946515, 946516, 946521, 946531, 946549, 946551, 946552, 946680, 946797, 946814, 946877, 946888, 946952, 947022, 947081, 947084, 947115, 947231, 947239, 947267, 947289, 947313, 947465, 947498, 947590, 947723, 947724, 947776, 947861, 947864, 947927, 947939, 948126, 948182, 948183, 948277, 948278, 948286, 948287, 948323, 948432, 948433, 948434, 948435, 948455, 948456, 948463, 948464, 948513, 948522, 948531, 948542, 948563, 948771, 948774, 948793, 949025, 2847759
GO:0005829	CC	e	cytosol	686/1442	826/1997	2.3642230916155086e-20	2	686	3.948252562997899e-18	944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944789, 944790, 944791, 944796, 944798, 944806, 944807, 944811, 944817, 944821, 944832, 944839, 944840, 944854, 944857, 944862, 944864, 944865, 944866, 944879, 944881, 944885, 944889, 944895, 944905, 944958, 944983, 944988, 944989, 944993, 945003, 945013, 945017, 945031, 945032, 945046, 945048, 945051, 945054, 945060, 945063, 945066, 945067, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945198, 945215, 945220, 945221, 945225, 945226, 945227, 945235, 945258, 945271, 945276, 945279, 945281, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945333, 945339, 945351, 945354, 945357, 945358, 945366, 945372, 945378, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945469, 945472, 945483, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945535, 945537, 945539, 945542, 945551, 945553, 945556, 945568, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945632, 945633, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945744, 945747, 945748, 945749, 945754, 945756, 945764, 945766, 945768, 945772, 945778, 945785, 945787, 945795, 945824, 945827, 945829, 945837, 945838, 945840, 945846, 945851, 945855, 945860, 945862, 945864, 945865, 945869, 945870, 945874, 945876, 945880, 945887, 945908, 945916, 945964, 945978, 945979, 945980, 946003, 946030, 946031, 946043, 946054, 946073, 946084, 946086, 946128, 946132, 946151, 946159, 946161, 946162, 946169, 946177, 946178, 946179, 946190, 946204, 946209, 946210, 946223, 946225, 946230, 946234, 946249, 946278, 946315, 946327, 946331, 946333, 946334, 946357, 946364, 946367, 946368, 946370, 946379, 946380, 946384, 946385, 946393, 946398, 946400, 946405, 946410, 946415, 946425, 946431, 946441, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946538, 946541, 946549, 946551, 946554, 946556, 946560, 946572, 946593, 946597, 946598, 946605, 946607, 946609, 946610, 946612, 946614, 946627, 946632, 946633, 946634, 946636, 946643, 946648, 946663, 946665, 946674, 946676, 946680, 946691, 946694, 946702, 946713, 946732, 946733, 946751, 946755, 946767, 946768, 946775, 946778, 946781, 946783, 946785, 946794, 946797, 946799, 946802, 946805, 946806, 946814, 946831, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946913, 946924, 946926, 946941, 946946, 946949, 946950, 946952, 946953, 946957, 946963, 946969, 946973, 946974, 946975, 946979, 946983, 946985, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947033, 947039, 947043, 947049, 947051, 947062, 947066, 947068, 947072, 947087, 947096, 947097, 947099, 947101, 947102, 947117, 947119, 947120, 947121, 947129, 947130, 947143, 947160, 947168, 947178, 947188, 947214, 947239, 947263, 947266, 947267, 947270, 947273, 947296, 947306, 947318, 947334, 947369, 947372, 947376, 947378, 947380, 947384, 947385, 947390, 947393, 947394, 947400, 947404, 947407, 947414, 947415, 947420, 947423, 947441, 947442, 947457, 947461, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947506, 947512, 947524, 947526, 947527, 947540, 947555, 947567, 947569, 947582, 947590, 947666, 947672, 947674, 947679, 947680, 947682, 947684, 947685, 947686, 947687, 947688, 947689, 947691, 947692, 947694, 947696, 947703, 947708, 947715, 947717, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947759, 947761, 947775, 947776, 947779, 947780, 947783, 947789, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947882, 947903, 947906, 947911, 947925, 947932, 947939, 947944, 947946, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948041, 948067, 948074, 948079, 948080, 948087, 948113, 948115, 948117, 948123, 948124, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948157, 948159, 948163, 948171, 948183, 948200, 948204, 948211, 948218, 948225, 948241, 948246, 948250, 948260, 948263, 948267, 948269, 948274, 948277, 948278, 948286, 948321, 948323, 948325, 948326, 948327, 948331, 948335, 948338, 948347, 948348, 948356, 948358, 948361, 948363, 948370, 948384, 948387, 948394, 948403, 948404, 948406, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948423, 948425, 948429, 948430, 948431, 948432, 948433, 948435, 948438, 948440, 948457, 948461, 948470, 948477, 948483, 948484, 948487, 948488, 948489, 948490, 948497, 948498, 948499, 948501, 948503, 948522, 948531, 948535, 948542, 948544, 948545, 948549, 948552, 948553, 948556, 948559, 948563, 948570, 948572, 948585, 948607, 948610, 948621, 948636, 948645, 948652, 948655, 948658, 948661, 948665, 948666, 948667, 948674, 948675, 948688, 948692, 948695, 948720, 948723, 948724, 948726, 948731, 948734, 948741, 948748, 948751, 948753, 948762, 948766, 948767, 948771, 948777, 948793, 948796, 948817, 948823, 948824, 948827, 948853, 948857, 948865, 948869, 948872, 948874, 948878, 948882, 948892, 948897, 948901, 948902, 948910, 948920, 948924, 948930, 948950, 948967, 948977, 948986, 948987, 949002, 949014, 949025, 949031, 949035, 949038, 949040, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005840	CC	e	ribosome	37/1442	37/1997	7.438254693281193e-06	5	37	0.00024843770675559183	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005737	CC	e	cytoplasm	481/1442	616/1997	7.814281004151155e-05	2	481	0.0018642641824189185	944748, 944750, 944753, 944761, 944762, 944775, 944789, 944791, 944794, 944798, 944806, 944810, 944811, 944821, 944832, 944838, 944839, 944840, 944844, 944852, 944854, 944862, 944865, 944866, 944879, 944885, 944888, 944889, 944895, 944901, 944905, 944919, 944925, 944938, 944943, 944953, 944958, 944986, 944988, 944989, 945003, 945031, 945032, 945046, 945067, 945069, 945081, 945082, 945085, 945097, 945099, 945101, 945104, 945113, 945181, 945211, 945215, 945217, 945225, 945227, 945229, 945239, 945271, 945281, 945293, 945295, 945310, 945313, 945323, 945339, 945351, 945354, 945357, 945358, 945366, 945376, 945382, 945383, 945385, 945387, 945389, 945425, 945449, 945451, 945454, 945469, 945472, 945506, 945514, 945527, 945528, 945533, 945535, 945536, 945539, 945548, 945553, 945555, 945556, 945566, 945567, 945568, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945683, 945686, 945690, 945697, 945702, 945748, 945752, 945756, 945758, 945765, 945768, 945769, 945772, 945785, 945787, 945816, 945824, 945829, 945839, 945864, 945880, 945887, 945904, 945908, 945979, 945987, 945998, 946003, 946030, 946043, 946069, 946073, 946084, 946092, 946106, 946128, 946147, 946153, 946161, 946169, 946173, 946178, 946179, 946185, 946195, 946204, 946223, 946225, 946229, 946234, 946240, 946249, 946278, 946327, 946333, 946334, 946348, 946358, 946367, 946379, 946385, 946393, 946400, 946410, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946549, 946552, 946597, 946605, 946610, 946614, 946632, 946633, 946643, 946674, 946680, 946690, 946691, 946702, 946732, 946768, 946772, 946775, 946778, 946781, 946785, 946794, 946796, 946799, 946802, 946815, 946850, 946858, 946877, 946879, 946880, 946888, 946913, 946946, 946949, 946950, 946952, 946969, 946973, 946975, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947033, 947039, 947041, 947049, 947050, 947062, 947081, 947084, 947097, 947099, 947101, 947102, 947114, 947115, 947121, 947130, 947144, 947149, 947170, 947178, 947188, 947203, 947210, 947230, 947253, 947270, 947271, 947283, 947284, 947289, 947296, 947318, 947324, 947369, 947372, 947375, 947384, 947385, 947386, 947393, 947404, 947414, 947444, 947457, 947474, 947495, 947497, 947498, 947524, 947528, 947544, 947560, 947567, 947572, 947582, 947589, 947590, 947630, 947648, 947664, 947666, 947672, 947674, 947679, 947680, 947682, 947684, 947685, 947688, 947689, 947691, 947694, 947703, 947708, 947709, 947721, 947726, 947742, 947744, 947753, 947754, 947758, 947759, 947761, 947783, 947789, 947794, 947838, 947847, 947848, 947854, 947859, 947861, 947864, 947927, 947931, 947934, 947935, 947954, 947955, 947974, 947978, 948005, 948007, 948014, 948016, 948074, 948079, 948080, 948087, 948115, 948119, 948123, 948124, 948125, 948126, 948130, 948132, 948138, 948139, 948141, 948157, 948158, 948159, 948163, 948192, 948200, 948211, 948218, 948221, 948233, 948241, 948246, 948250, 948260, 948267, 948285, 948286, 948324, 948326, 948347, 948355, 948356, 948360, 948361, 948370, 948384, 948403, 948404, 948409, 948412, 948414, 948415, 948419, 948420, 948424, 948429, 948430, 948433, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948470, 948479, 948497, 948499, 948512, 948513, 948520, 948522, 948523, 948531, 948535, 948545, 948556, 948559, 948563, 948566, 948585, 948610, 948645, 948652, 948655, 948660, 948661, 948665, 948670, 948674, 948675, 948684, 948688, 948692, 948695, 948710, 948724, 948726, 948734, 948748, 948751, 948752, 948753, 948762, 948766, 948767, 948771, 948774, 948791, 948823, 948824, 948853, 948857, 948865, 948869, 948874, 948892, 948897, 948899, 948902, 948909, 948910, 948911, 948917, 948950, 948967, 948971, 948987, 949002, 949025, 949035, 949038, 949040, 949054, 949060, 949097, 949116, 949130, 949131, 2847759
GO:0022625	CC	e	cytosolic large ribosomal subunit	20/1442	20/1997	0.0019691240400897744	5	20	0.03653819052166581	945190, 945618, 945657, 946941, 947096, 947797, 947798, 947803, 947806, 947807, 947809, 947817, 947819, 947828, 948425, 948483, 948484, 948489, 948490, 948720
GO:0016021	CC	p	integral component of membrane	171/1442	291/1997	8.836742554625709e-08	3	171	7.3786800331124666e-06	944799, 944801, 944803, 944822, 944830, 944870, 944876, 944894, 944918, 944936, 944967, 944994, 945004, 945080, 945084, 945118, 945128, 945136, 945185, 945191, 945192, 945193, 945199, 945213, 945228, 945292, 945316, 945328, 945341, 945374, 945420, 945460, 945464, 945525, 945554, 945571, 945585, 945602, 945615, 945621, 945651, 945677, 945691, 945749, 945790, 945810, 945823, 945841, 945858, 945893, 945978, 946018, 946056, 946057, 946106, 946144, 946158, 946238, 946242, 946246, 946288, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946448, 946487, 946495, 946526, 946540, 946553, 946567, 946576, 946625, 946628, 946672, 946693, 946704, 946716, 946744, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946897, 946956, 946981, 946992, 947069, 947135, 947235, 947264, 947322, 947416, 947421, 947436, 947521, 947555, 947580, 947605, 947614, 947643, 947690, 947712, 947720, 947731, 947787, 947799, 947815, 947865, 947919, 947966, 947972, 948024, 948032, 948039, 948058, 948063, 948064, 948075, 948118, 948148, 948201, 948214, 948220, 948224, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948405, 948422, 948446, 948468, 948486, 948548, 948575, 948577, 948591, 948626, 948657, 948659, 948697, 948725, 948727, 948735, 948761, 948778, 948789, 948876, 948888, 948914, 948933, 949027, 949039, 949042, 949052, 949105, 949120, 949133, 2847743
GO:0005886	CC	p	plasma membrane	256/1442	413/1997	3.820752938419561e-07	3	256	2.126885802386889e-05	944750, 944799, 944801, 944803, 944817, 944821, 944822, 944830, 944854, 944876, 944893, 944894, 944896, 944918, 944936, 944994, 945070, 945080, 945084, 945099, 945112, 945118, 945136, 945182, 945191, 945192, 945199, 945201, 945213, 945228, 945241, 945292, 945300, 945305, 945316, 945328, 945341, 945368, 945374, 945402, 945414, 945420, 945435, 945455, 945460, 945464, 945476, 945489, 945491, 945521, 945525, 945556, 945566, 945585, 945600, 945602, 945615, 945621, 945641, 945651, 945670, 945677, 945691, 945740, 945741, 945752, 945790, 945802, 945810, 945818, 945823, 945841, 945858, 945866, 945887, 945893, 945978, 945987, 946018, 946056, 946057, 946096, 946106, 946132, 946144, 946158, 946172, 946178, 946215, 946238, 946312, 946323, 946327, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946400, 946422, 946431, 946448, 946451, 946487, 946495, 946526, 946553, 946555, 946567, 946576, 946604, 946625, 946628, 946653, 946672, 946693, 946704, 946713, 946733, 946735, 946738, 946744, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946822, 946869, 946882, 946889, 946897, 946970, 946971, 946992, 947011, 947051, 947069, 947135, 947139, 947235, 947253, 947264, 947271, 947276, 947302, 947318, 947322, 947377, 947404, 947415, 947416, 947421, 947436, 947496, 947526, 947580, 947605, 947614, 947643, 947673, 947690, 947712, 947720, 947729, 947731, 947787, 947799, 947815, 947838, 947865, 947919, 947966, 947967, 947972, 947978, 948003, 948024, 948032, 948039, 948056, 948058, 948063, 948064, 948065, 948074, 948075, 948118, 948121, 948148, 948175, 948201, 948203, 948214, 948220, 948224, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948405, 948422, 948446, 948486, 948537, 948575, 948577, 948591, 948626, 948657, 948659, 948667, 948673, 948697, 948725, 948727, 948728, 948735, 948761, 948778, 948789, 948876, 948888, 948911, 948914, 948933, 948980, 949007, 949027, 949036, 949039, 949052, 949082, 949105, 949120, 949133, 1450304, 2847737, 2847743
GO:0005887	CC	p	integral component of plasma membrane	110/1442	192/1997	3.836109224229578e-06	4	110	0.00016015756011158487	944799, 944803, 944821, 944822, 944894, 944918, 944936, 944994, 945080, 945084, 945136, 945192, 945213, 945228, 945292, 945328, 945341, 945374, 945420, 945455, 945460, 945464, 945602, 945615, 945651, 945691, 945790, 945858, 945978, 946018, 946056, 946106, 946144, 946332, 946334, 946342, 946344, 946345, 946350, 946355, 946567, 946625, 946628, 946641, 946653, 946672, 946693, 946744, 946751, 946761, 946764, 946869, 946882, 946897, 946956, 946992, 947135, 947235, 947264, 947416, 947436, 947496, 947555, 947580, 947643, 947690, 947712, 947731, 947787, 947799, 947815, 947919, 947934, 947966, 947975, 948003, 948039, 948063, 948064, 948118, 948131, 948148, 948171, 948201, 948214, 948220, 948224, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948446, 948486, 948575, 948626, 948659, 948725, 948727, 948761, 948789, 948914, 948933, 949027, 949039, 949052, 949105, 2847743
GO:0016020	CC	p	membrane	295/1442	457/1997	5.045182946368336e-05	2	295	0.001404242586739187	944750, 944753, 944799, 944801, 944803, 944817, 944821, 944822, 944830, 944854, 944870, 944872, 944876, 944893, 944894, 944896, 944918, 944936, 944967, 944994, 945004, 945011, 945070, 945080, 945084, 945099, 945112, 945118, 945128, 945136, 945173, 945182, 945185, 945189, 945191, 945192, 945193, 945199, 945201, 945213, 945228, 945241, 945292, 945300, 945305, 945316, 945328, 945341, 945368, 945374, 945381, 945402, 945420, 945428, 945435, 945455, 945460, 945464, 945467, 945476, 945489, 945491, 945492, 945521, 945525, 945554, 945556, 945571, 945582, 945583, 945585, 945602, 945615, 945621, 945641, 945651, 945655, 945670, 945677, 945691, 945741, 945752, 945775, 945790, 945802, 945810, 945818, 945823, 945841, 945858, 945866, 945887, 945893, 945978, 945987, 946018, 946056, 946057, 946096, 946106, 946132, 946144, 946158, 946172, 946175, 946238, 946242, 946246, 946288, 946301, 946312, 946323, 946327, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946422, 946448, 946451, 946487, 946495, 946525, 946526, 946540, 946553, 946555, 946567, 946576, 946604, 946625, 946628, 946653, 946672, 946686, 946693, 946704, 946713, 946716, 946733, 946735, 946738, 946744, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946789, 946820, 946822, 946869, 946882, 946889, 946897, 946956, 946970, 946971, 946981, 946982, 946992, 946996, 947011, 947029, 947051, 947069, 947086, 947135, 947139, 947184, 947235, 947253, 947264, 947271, 947276, 947302, 947318, 947322, 947377, 947416, 947421, 947436, 947496, 947521, 947526, 947555, 947580, 947605, 947614, 947643, 947663, 947673, 947690, 947712, 947720, 947729, 947731, 947787, 947799, 947815, 947838, 947865, 947919, 947966, 947967, 947972, 947978, 948003, 948022, 948024, 948032, 948039, 948056, 948058, 948063, 948064, 948065, 948075, 948118, 948121, 948148, 948175, 948201, 948203, 948214, 948220, 948224, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948370, 948405, 948422, 948446, 948468, 948486, 948536, 948537, 948548, 948575, 948577, 948591, 948626, 948657, 948659, 948670, 948673, 948697, 948725, 948727, 948728, 948735, 948761, 948778, 948789, 948833, 948876, 948888, 948908, 948911, 948914, 948933, 948980, 948981, 948988, 949027, 949036, 949039, 949042, 949052, 949082, 949105, 949113, 949120, 949133, 1450304, 2847737, 2847743
GO:0032153	CC	p	cell division site	10/1442	27/1997	0.00012933968557601335	2	10	0.0026999659363992783	944799, 944803, 945004, 945328, 946625, 946869, 947011, 947404, 947527, 948420
