# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005829	CC	e	cytosol	659/1425	826/1997	1.648230734565417e-12	2	659	2.7525453267242464e-10	944748, 944749, 944750, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944778, 944789, 944791, 944796, 944798, 944806, 944807, 944813, 944817, 944832, 944839, 944840, 944854, 944857, 944862, 944864, 944866, 944879, 944881, 944885, 944889, 944895, 944905, 944939, 944955, 944958, 944983, 944988, 944989, 945003, 945013, 945017, 945031, 945032, 945034, 945046, 945048, 945054, 945063, 945066, 945067, 945068, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945158, 945198, 945215, 945220, 945225, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945283, 945284, 945288, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945314, 945323, 945333, 945339, 945351, 945354, 945358, 945372, 945378, 945382, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945469, 945470, 945472, 945483, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945535, 945537, 945539, 945551, 945553, 945556, 945568, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945657, 945663, 945667, 945669, 945672, 945676, 945681, 945686, 945690, 945695, 945697, 945702, 945740, 945741, 945747, 945748, 945749, 945754, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945838, 945846, 945848, 945851, 945854, 945860, 945862, 945864, 945865, 945869, 945870, 945874, 945876, 945880, 945887, 945908, 945916, 945964, 945978, 945979, 945980, 946030, 946031, 946043, 946058, 946059, 946073, 946074, 946084, 946085, 946086, 946116, 946122, 946129, 946132, 946151, 946159, 946161, 946169, 946177, 946178, 946179, 946204, 946207, 946209, 946210, 946223, 946225, 946227, 946230, 946234, 946248, 946278, 946324, 946327, 946333, 946334, 946357, 946364, 946367, 946368, 946370, 946379, 946380, 946384, 946398, 946400, 946405, 946410, 946415, 946431, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946541, 946549, 946551, 946554, 946556, 946560, 946593, 946598, 946605, 946607, 946610, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946663, 946674, 946676, 946680, 946691, 946694, 946702, 946713, 946724, 946732, 946733, 946747, 946751, 946755, 946768, 946775, 946778, 946781, 946783, 946785, 946794, 946797, 946799, 946802, 946804, 946805, 946806, 946837, 946841, 946858, 946877, 946879, 946880, 946881, 946903, 946906, 946913, 946926, 946941, 946946, 946949, 946952, 946957, 946960, 946963, 946969, 946973, 946974, 946975, 946979, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947036, 947039, 947043, 947049, 947051, 947055, 947059, 947062, 947066, 947068, 947072, 947077, 947087, 947089, 947096, 947097, 947099, 947101, 947102, 947119, 947120, 947121, 947129, 947130, 947157, 947160, 947168, 947175, 947178, 947188, 947234, 947239, 947263, 947266, 947267, 947270, 947273, 947285, 947318, 947334, 947372, 947378, 947380, 947384, 947385, 947390, 947393, 947404, 947407, 947413, 947414, 947415, 947426, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947493, 947495, 947499, 947506, 947512, 947524, 947527, 947540, 947552, 947555, 947569, 947578, 947582, 947590, 947666, 947670, 947672, 947674, 947677, 947679, 947682, 947684, 947686, 947688, 947703, 947717, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947761, 947775, 947776, 947779, 947780, 947783, 947788, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947859, 947882, 947894, 947895, 947903, 947906, 947912, 947922, 947923, 947925, 947932, 947939, 947940, 947944, 947946, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948027, 948041, 948067, 948074, 948079, 948115, 948117, 948123, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948154, 948157, 948159, 948163, 948171, 948183, 948204, 948222, 948225, 948241, 948256, 948260, 948263, 948267, 948274, 948277, 948278, 948286, 948297, 948299, 948321, 948323, 948325, 948326, 948335, 948338, 948347, 948348, 948356, 948358, 948361, 948363, 948370, 948384, 948387, 948394, 948403, 948404, 948406, 948409, 948412, 948415, 948416, 948419, 948420, 948423, 948425, 948430, 948431, 948432, 948433, 948440, 948457, 948461, 948462, 948470, 948483, 948484, 948487, 948489, 948490, 948497, 948498, 948499, 948503, 948522, 948524, 948531, 948535, 948542, 948544, 948545, 948549, 948552, 948553, 948555, 948556, 948558, 948559, 948563, 948570, 948572, 948585, 948607, 948610, 948621, 948636, 948645, 948652, 948655, 948658, 948661, 948665, 948666, 948667, 948674, 948675, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948726, 948734, 948741, 948751, 948753, 948766, 948767, 948771, 948773, 948777, 948785, 948817, 948823, 948853, 948855, 948857, 948865, 948872, 948874, 948882, 948887, 948892, 948897, 948902, 948910, 948916, 948920, 948924, 948930, 948950, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949031, 949035, 949040, 949045, 949047, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005840	CC	e	ribosome	37/1425	37/1997	4.113958809751354e-06	5	37	0.0002561080264858038	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005737	CC	e	cytoplasm	474/1425	616/1997	0.0002145263628509283	2	474	0.005117986085157861	944748, 944750, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944797, 944798, 944806, 944810, 944813, 944818, 944832, 944839, 944840, 944844, 944852, 944854, 944862, 944866, 944879, 944885, 944887, 944888, 944889, 944895, 944901, 944905, 944919, 944923, 944925, 944938, 944939, 944943, 944953, 944958, 944986, 944988, 944989, 945003, 945031, 945032, 945034, 945046, 945067, 945081, 945082, 945085, 945097, 945099, 945101, 945104, 945113, 945149, 945215, 945217, 945225, 945227, 945229, 945237, 945239, 945260, 945271, 945272, 945281, 945290, 945293, 945295, 945310, 945323, 945332, 945339, 945351, 945354, 945358, 945376, 945382, 945383, 945385, 945389, 945425, 945451, 945454, 945456, 945465, 945469, 945472, 945506, 945510, 945514, 945527, 945528, 945533, 945535, 945536, 945539, 945553, 945555, 945556, 945567, 945568, 945574, 945605, 945611, 945631, 945663, 945667, 945669, 945681, 945686, 945687, 945690, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945816, 945824, 945829, 945834, 945864, 945880, 945887, 945904, 945908, 945979, 945987, 945998, 946030, 946043, 946058, 946069, 946071, 946073, 946074, 946084, 946092, 946106, 946122, 946147, 946153, 946161, 946165, 946169, 946173, 946178, 946179, 946185, 946195, 946204, 946223, 946225, 946229, 946234, 946240, 946278, 946324, 946327, 946328, 946333, 946334, 946348, 946358, 946367, 946379, 946400, 946410, 946424, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946605, 946610, 946624, 946626, 946632, 946633, 946643, 946674, 946677, 946680, 946690, 946691, 946702, 946724, 946732, 946768, 946775, 946778, 946781, 946785, 946794, 946796, 946799, 946802, 946815, 946837, 946841, 946850, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946913, 946946, 946949, 946952, 946955, 946969, 946973, 946975, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947036, 947039, 947041, 947049, 947050, 947055, 947059, 947062, 947077, 947097, 947099, 947101, 947102, 947115, 947121, 947130, 947144, 947149, 947170, 947175, 947178, 947188, 947210, 947211, 947230, 947234, 947253, 947270, 947283, 947285, 947289, 947318, 947324, 947372, 947384, 947385, 947386, 947393, 947404, 947413, 947414, 947429, 947444, 947445, 947457, 947474, 947495, 947499, 947524, 947528, 947544, 947560, 947572, 947578, 947582, 947589, 947590, 947615, 947630, 947648, 947666, 947672, 947674, 947679, 947682, 947684, 947688, 947703, 947709, 947721, 947725, 947726, 947742, 947753, 947754, 947758, 947761, 947783, 947794, 947838, 947847, 947848, 947854, 947859, 947864, 947894, 947916, 947922, 947923, 947931, 947934, 947940, 947954, 947955, 947968, 947974, 947978, 948007, 948014, 948016, 948074, 948079, 948115, 948119, 948123, 948125, 948126, 948130, 948132, 948138, 948139, 948141, 948157, 948158, 948159, 948163, 948178, 948221, 948222, 948233, 948241, 948256, 948260, 948267, 948285, 948286, 948310, 948324, 948326, 948346, 948347, 948356, 948360, 948361, 948370, 948384, 948403, 948404, 948409, 948412, 948415, 948419, 948420, 948424, 948430, 948433, 948434, 948455, 948456, 948461, 948463, 948464, 948470, 948479, 948496, 948497, 948499, 948502, 948512, 948513, 948520, 948522, 948531, 948535, 948545, 948556, 948559, 948563, 948585, 948610, 948640, 948645, 948652, 948655, 948660, 948661, 948665, 948670, 948674, 948675, 948692, 948694, 948695, 948710, 948726, 948734, 948751, 948752, 948753, 948766, 948767, 948771, 948773, 948774, 948785, 948823, 948853, 948855, 948857, 948865, 948874, 948892, 948894, 948897, 948899, 948902, 948909, 948910, 948913, 948950, 948967, 948971, 948987, 949002, 949020, 949025, 949035, 949040, 949054, 949060, 949097, 949116, 949130, 2847759
GO:0022625	CC	e	cytosolic large ribosomal subunit	20/1425	20/1997	0.0018698151958022574	5	20	0.03903239221237212	945190, 945618, 945657, 946941, 947096, 947797, 947798, 947803, 947806, 947807, 947809, 947817, 947819, 947828, 948425, 948483, 948484, 948489, 948490, 948720
GO:0016021	CC	p	integral component of membrane	174/1425	291/1997	4.600742990762942e-06	3	174	0.0002561080264858038	944773, 944799, 944801, 944803, 944815, 944870, 944894, 944918, 944936, 944967, 944994, 945080, 945084, 945102, 945108, 945118, 945128, 945136, 945185, 945191, 945192, 945193, 945199, 945213, 945228, 945292, 945316, 945322, 945324, 945328, 945341, 945347, 945350, 945374, 945420, 945513, 945525, 945530, 945554, 945571, 945594, 945615, 945621, 945624, 945651, 945677, 945749, 945790, 945810, 945823, 945843, 945878, 945910, 945978, 946018, 946033, 946056, 946057, 946076, 946106, 946144, 946201, 946238, 946242, 946246, 946288, 946290, 946326, 946332, 946334, 946335, 946345, 946350, 946352, 946355, 946427, 946471, 946495, 946540, 946553, 946611, 946625, 946628, 946678, 946685, 946693, 946704, 946716, 946717, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946897, 946981, 947040, 947069, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947416, 947521, 947555, 947561, 947580, 947605, 947611, 947614, 947690, 947712, 947720, 947722, 947787, 947799, 947815, 947865, 947887, 947930, 947966, 947972, 948009, 948024, 948032, 948039, 948043, 948058, 948063, 948064, 948068, 948075, 948118, 948148, 948214, 948247, 948262, 948311, 948321, 948395, 948405, 948422, 948446, 948458, 948486, 948548, 948565, 948575, 948577, 948591, 948626, 948659, 948676, 948697, 948698, 948725, 948727, 948778, 948789, 948795, 948876, 948900, 948914, 948933, 949027, 949039, 949042, 949105, 949120
GO:0005886	CC	p	plasma membrane	260/1425	413/1997	3.1425767542920346e-05	3	260	0.0013120257949169245	944750, 944773, 944778, 944799, 944801, 944803, 944815, 944817, 944833, 944854, 944893, 944894, 944896, 944918, 944936, 944994, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945118, 945136, 945191, 945192, 945199, 945201, 945213, 945222, 945228, 945292, 945300, 945305, 945316, 945322, 945324, 945328, 945341, 945347, 945350, 945368, 945374, 945402, 945420, 945435, 945455, 945457, 945491, 945513, 945521, 945525, 945526, 945530, 945556, 945594, 945600, 945615, 945621, 945624, 945651, 945670, 945677, 945740, 945741, 945752, 945782, 945790, 945810, 945818, 945823, 945835, 945843, 945866, 945878, 945887, 945909, 945910, 945978, 945987, 946018, 946033, 946056, 946057, 946076, 946106, 946132, 946144, 946172, 946178, 946201, 946215, 946238, 946290, 946323, 946326, 946327, 946332, 946334, 946335, 946345, 946350, 946352, 946355, 946400, 946431, 946451, 946471, 946495, 946553, 946582, 946604, 946611, 946625, 946628, 946653, 946677, 946678, 946685, 946693, 946704, 946713, 946717, 946733, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946889, 946897, 946970, 946971, 947011, 947036, 947040, 947051, 947059, 947069, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947264, 947276, 947302, 947304, 947318, 947404, 947415, 947416, 947499, 947561, 947580, 947605, 947611, 947614, 947673, 947690, 947712, 947720, 947722, 947725, 947787, 947788, 947799, 947815, 947838, 947865, 947887, 947930, 947966, 947967, 947968, 947972, 947978, 948003, 948009, 948024, 948031, 948032, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948074, 948075, 948118, 948121, 948148, 948203, 948214, 948222, 948240, 948242, 948243, 948245, 948247, 948254, 948262, 948264, 948311, 948321, 948326, 948395, 948405, 948422, 948446, 948458, 948486, 948537, 948541, 948565, 948575, 948577, 948591, 948626, 948659, 948667, 948673, 948676, 948697, 948698, 948725, 948727, 948728, 948778, 948789, 948795, 948876, 948900, 948914, 948933, 948980, 949007, 949027, 949036, 949039, 949105, 949120, 2847737
GO:0016020	CC	p	membrane	293/1425	457/1997	0.00012571174682890523	2	293	0.0041987723440854345	944750, 944773, 944778, 944799, 944801, 944803, 944815, 944817, 944854, 944870, 944872, 944893, 944894, 944896, 944918, 944936, 944967, 944994, 945011, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945118, 945128, 945136, 945185, 945189, 945191, 945192, 945193, 945199, 945201, 945213, 945222, 945228, 945292, 945300, 945305, 945316, 945322, 945324, 945328, 945341, 945347, 945350, 945368, 945374, 945381, 945402, 945420, 945428, 945435, 945455, 945457, 945491, 945492, 945494, 945513, 945521, 945525, 945526, 945530, 945554, 945556, 945571, 945582, 945583, 945594, 945604, 945615, 945621, 945624, 945651, 945655, 945670, 945677, 945741, 945752, 945775, 945782, 945790, 945810, 945818, 945823, 945843, 945866, 945878, 945887, 945910, 945978, 945987, 946018, 946033, 946056, 946057, 946058, 946076, 946106, 946132, 946144, 946172, 946175, 946201, 946238, 946242, 946246, 946257, 946288, 946290, 946301, 946323, 946326, 946327, 946332, 946334, 946335, 946345, 946350, 946352, 946355, 946427, 946451, 946471, 946495, 946540, 946553, 946604, 946611, 946625, 946628, 946653, 946678, 946685, 946686, 946693, 946704, 946713, 946716, 946717, 946733, 946738, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946889, 946897, 946954, 946970, 946971, 946981, 947011, 947029, 947036, 947040, 947051, 947059, 947069, 947086, 947139, 947145, 947148, 947157, 947166, 947184, 947235, 947253, 947257, 947259, 947264, 947276, 947302, 947304, 947318, 947416, 947426, 947499, 947521, 947555, 947561, 947580, 947605, 947611, 947614, 947673, 947690, 947712, 947720, 947722, 947725, 947787, 947788, 947799, 947815, 947838, 947865, 947887, 947930, 947966, 947967, 947968, 947972, 947978, 948003, 948009, 948022, 948024, 948031, 948032, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948075, 948118, 948121, 948148, 948203, 948214, 948240, 948242, 948243, 948245, 948247, 948254, 948262, 948264, 948311, 948321, 948326, 948370, 948395, 948405, 948422, 948446, 948458, 948486, 948536, 948537, 948541, 948548, 948565, 948575, 948577, 948591, 948626, 948659, 948670, 948673, 948676, 948697, 948698, 948725, 948727, 948728, 948778, 948789, 948795, 948833, 948876, 948900, 948908, 948914, 948933, 948980, 948981, 948988, 949027, 949036, 949039, 949042, 949105, 949113, 949120, 2847737
GO:0005887	CC	p	integral component of plasma membrane	114/1425	192/1997	0.0002026841778290938	4	114	0.005117986085157861	944773, 944799, 944803, 944815, 944894, 944918, 944936, 944994, 945080, 945084, 945102, 945108, 945136, 945192, 945213, 945222, 945228, 945292, 945328, 945341, 945347, 945350, 945374, 945420, 945455, 945457, 945513, 945530, 945615, 945624, 945651, 945790, 945910, 945978, 946018, 946033, 946056, 946106, 946144, 946201, 946326, 946332, 946334, 946345, 946350, 946352, 946355, 946582, 946625, 946628, 946641, 946653, 946678, 946693, 946717, 946751, 946761, 946764, 946792, 946869, 946882, 946897, 947040, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947416, 947555, 947580, 947690, 947712, 947722, 947787, 947799, 947815, 947930, 947934, 947966, 948003, 948009, 948039, 948043, 948063, 948064, 948118, 948131, 948148, 948171, 948214, 948247, 948262, 948311, 948321, 948446, 948486, 948541, 948565, 948575, 948626, 948659, 948676, 948725, 948727, 948789, 948900, 948914, 948933, 949027, 949039, 949105
GO:0042802	MF	e	identical protein binding	251/1425	310/1997	2.9428618944088534e-05	3	251	0.02369003824999127	944760, 944762, 944778, 944786, 944789, 944818, 944834, 944839, 944854, 944861, 944887, 944888, 944889, 944895, 944919, 944925, 944955, 944958, 944988, 944989, 944996, 945003, 945032, 945034, 945046, 945057, 945074, 945081, 945082, 945083, 945084, 945087, 945096, 945099, 945101, 945102, 945108, 945112, 945123, 945127, 945215, 945225, 945258, 945272, 945276, 945279, 945281, 945284, 945290, 945303, 945323, 945332, 945333, 945354, 945382, 945385, 945389, 945396, 945397, 945420, 945454, 945469, 945503, 945506, 945510, 945512, 945513, 945530, 945553, 945554, 945571, 945583, 945600, 945605, 945645, 945654, 945672, 945697, 945740, 945741, 945747, 945768, 945771, 945777, 945778, 945794, 945824, 945829, 945834, 945837, 945870, 945876, 945887, 945909, 946033, 946056, 946085, 946116, 946132, 946151, 946159, 946172, 946175, 946178, 946179, 946195, 946229, 946230, 946234, 946240, 946255, 946278, 946326, 946345, 946352, 946367, 946370, 946387, 946410, 946451, 946485, 946527, 946551, 946552, 946554, 946598, 946605, 946632, 946663, 946680, 946690, 946699, 946732, 946755, 946782, 946794, 946802, 946826, 946877, 946879, 946892, 946914, 946942, 946952, 946954, 946970, 946979, 946985, 947002, 947022, 947039, 947051, 947056, 947077, 947099, 947120, 947139, 947166, 947175, 947178, 947221, 947253, 947263, 947266, 947334, 947385, 947386, 947404, 947407, 947415, 947416, 947521, 947544, 947578, 947590, 947666, 947672, 947722, 947742, 947753, 947775, 947787, 947812, 947839, 947864, 947865, 947920, 947921, 947942, 947995, 948007, 948022, 948025, 948031, 948158, 948163, 948221, 948222, 948256, 948267, 948278, 948286, 948296, 948297, 948299, 948321, 948326, 948360, 948370, 948405, 948409, 948412, 948420, 948423, 948430, 948431, 948440, 948461, 948499, 948507, 948535, 948542, 948544, 948552, 948555, 948559, 948562, 948563, 948570, 948655, 948665, 948691, 948710, 948722, 948726, 948752, 948766, 948767, 948771, 948789, 948853, 948874, 948882, 948986, 948987, 949031, 949045, 949051, 949095, 1450249, 2847688
GO:0003677	MF	p	DNA binding	122/1425	209/1997	2.317475746714238e-05	4	122	0.02369003824999127	944804, 944810, 944827, 944914, 944986, 945003, 945046, 945085, 945101, 945102, 945104, 945272, 945279, 945282, 945285, 945295, 945332, 945333, 945385, 945424, 945472, 945510, 945533, 945600, 945669, 945681, 945697, 945771, 945795, 945829, 945862, 945869, 945875, 945899, 945908, 945938, 945966, 946001, 946006, 946129, 946141, 946152, 946167, 946227, 946241, 946272, 946373, 946379, 946424, 946493, 946502, 946542, 946605, 946657, 946765, 946796, 946841, 946905, 947024, 947043, 947050, 947130, 947170, 947210, 947320, 947437, 947441, 947444, 947466, 947499, 947507, 947546, 947560, 947572, 947602, 947636, 947794, 947885, 947912, 947921, 947946, 947995, 948158, 948178, 948263, 948310, 948347, 948356, 948361, 948403, 948404, 948462, 948487, 948499, 948524, 948544, 948552, 948555, 948559, 948570, 948603, 948640, 948650, 948652, 948689, 948691, 948710, 948722, 948747, 948775, 948800, 948865, 948867, 948872, 948874, 948898, 948916, 949024, 949051, 949081, 949095, 2847767
