# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006412	BP	e	translation	73/1388	80/1997	2.9245652560158917e-06	7	73	0.0030850614737697323	944759, 944761, 944866, 945158, 945190, 945310, 945382, 945506, 945536, 945555, 945657, 945765, 946030, 946122, 946222, 946223, 946225, 946385, 946430, 946452, 946643, 946906, 946941, 946969, 946989, 947058, 947083, 947096, 947103, 947175, 947369, 947372, 947497, 947684, 947686, 947779, 947780, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947838, 947846, 947847, 947874, 947894, 947911, 948079, 948080, 948124, 948425, 948483, 948484, 948489, 948490, 948661, 948720, 948723, 948785, 948897, 949002, 949116
GO:0008652	BP	e	cellular amino acid biosynthetic process	80/1388	89/1997	5.052601920511022e-06	7	80	0.0030850614737697323	944762, 944775, 944798, 944844, 944862, 945031, 945076, 945109, 945198, 945221, 945258, 945281, 945519, 945527, 945528, 945605, 945642, 945768, 945771, 945803, 945846, 946204, 946229, 946240, 946425, 946515, 946516, 946521, 946531, 946544, 946549, 946551, 946552, 946680, 946797, 946814, 946877, 946888, 946952, 947022, 947081, 947084, 947115, 947231, 947239, 947267, 947289, 947313, 947465, 947498, 947590, 947723, 947724, 947776, 947864, 947939, 948126, 948182, 948183, 948277, 948278, 948286, 948287, 948323, 948432, 948433, 948434, 948435, 948456, 948463, 948464, 948513, 948531, 948542, 948563, 948771, 948774, 948913, 949025, 2847759
GO:0007165	BP	p	signal transduction	4/1388	20/1997	6.296043824019862e-06	4	4	0.0030850614737697323	947285, 947887, 948360, 949113
GO:0023014	BP	p	signal transduction by protein phosphorylation	2/1388	15/1997	9.851027358227074e-06	8	2	0.00362025255414845	947887, 948360
GO:0000160	BP	p	phosphorelay signal transduction system	14/1388	38/1997	4.260956469123935e-05	6	14	0.01252721201922437	945003, 945046, 945697, 946717, 946841, 947441, 947887, 948360, 948361, 948404, 948631, 948874, 948922, 949081
GO:0042128	BP	p	nitrate assimilation	1/1388	10/1997	0.0001594235770913409	6	1	0.039058776387378515	949081
GO:0005829	CC	e	cytosol	659/1388	826/1997	2.217268631848149e-17	2	659	3.702838615186409e-15	944744, 944748, 944750, 944753, 944759, 944760, 944761, 944762, 944775, 944777, 944778, 944789, 944790, 944796, 944798, 944806, 944807, 944813, 944817, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944865, 944866, 944873, 944879, 944881, 944882, 944889, 944895, 944905, 944939, 944955, 944958, 944983, 944988, 944993, 945003, 945013, 945017, 945031, 945032, 945046, 945048, 945051, 945054, 945060, 945063, 945066, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945158, 945184, 945198, 945215, 945220, 945221, 945225, 945227, 945235, 945237, 945258, 945260, 945276, 945279, 945281, 945282, 945283, 945284, 945288, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945333, 945339, 945351, 945354, 945358, 945366, 945372, 945378, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945465, 945469, 945470, 945472, 945483, 945506, 945509, 945514, 945517, 945527, 945528, 945533, 945535, 945537, 945539, 945542, 945549, 945551, 945553, 945556, 945574, 945600, 945605, 945609, 945611, 945612, 945632, 945637, 945642, 945645, 945650, 945651, 945654, 945657, 945663, 945667, 945669, 945672, 945676, 945681, 945686, 945690, 945695, 945697, 945730, 945740, 945741, 945748, 945749, 945754, 945756, 945763, 945764, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945824, 945829, 945834, 945837, 945846, 945848, 945851, 945854, 945860, 945862, 945864, 945865, 945869, 945870, 945874, 945880, 945906, 945916, 945964, 945979, 945980, 946003, 946030, 946031, 946043, 946054, 946073, 946084, 946085, 946086, 946116, 946122, 946128, 946129, 946151, 946159, 946162, 946169, 946177, 946178, 946179, 946204, 946207, 946209, 946222, 946223, 946225, 946230, 946234, 946249, 946254, 946278, 946304, 946315, 946324, 946331, 946334, 946364, 946368, 946370, 946371, 946379, 946380, 946384, 946385, 946398, 946405, 946410, 946425, 946431, 946452, 946453, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946531, 946541, 946549, 946551, 946554, 946556, 946572, 946593, 946597, 946598, 946607, 946610, 946612, 946624, 946627, 946632, 946633, 946636, 946643, 946663, 946665, 946674, 946680, 946691, 946702, 946713, 946724, 946733, 946747, 946751, 946767, 946768, 946775, 946778, 946781, 946783, 946794, 946797, 946799, 946802, 946804, 946805, 946806, 946814, 946831, 946841, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946924, 946926, 946941, 946946, 946949, 946950, 946952, 946953, 946957, 946960, 946963, 946969, 946973, 946974, 946975, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947033, 947036, 947039, 947043, 947062, 947068, 947083, 947087, 947089, 947092, 947096, 947097, 947099, 947101, 947102, 947119, 947120, 947121, 947129, 947130, 947160, 947168, 947175, 947178, 947188, 947214, 947234, 947239, 947263, 947266, 947267, 947273, 947285, 947306, 947334, 947364, 947369, 947372, 947376, 947380, 947384, 947385, 947390, 947400, 947404, 947407, 947413, 947414, 947415, 947420, 947426, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947493, 947495, 947497, 947498, 947499, 947506, 947512, 947519, 947527, 947540, 947552, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947672, 947674, 947677, 947679, 947682, 947684, 947685, 947686, 947687, 947689, 947692, 947694, 947696, 947703, 947708, 947715, 947717, 947718, 947719, 947723, 947724, 947726, 947749, 947754, 947758, 947761, 947775, 947776, 947779, 947780, 947783, 947788, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947882, 947894, 947895, 947903, 947911, 947912, 947922, 947923, 947925, 947932, 947939, 947940, 947944, 947946, 947958, 947974, 947978, 948012, 948014, 948016, 948027, 948041, 948067, 948074, 948079, 948080, 948087, 948115, 948117, 948123, 948124, 948125, 948126, 948131, 948132, 948134, 948139, 948157, 948162, 948183, 948200, 948204, 948218, 948225, 948241, 948246, 948248, 948263, 948267, 948274, 948277, 948278, 948286, 948290, 948297, 948321, 948323, 948325, 948326, 948327, 948331, 948335, 948338, 948348, 948358, 948361, 948363, 948370, 948384, 948387, 948403, 948404, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948425, 948427, 948429, 948430, 948431, 948432, 948433, 948435, 948440, 948457, 948461, 948470, 948477, 948483, 948484, 948487, 948488, 948489, 948490, 948497, 948499, 948501, 948503, 948524, 948531, 948535, 948542, 948545, 948549, 948553, 948555, 948556, 948558, 948559, 948563, 948570, 948572, 948607, 948610, 948621, 948631, 948636, 948652, 948655, 948658, 948661, 948665, 948666, 948667, 948674, 948675, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948724, 948726, 948731, 948734, 948741, 948748, 948750, 948753, 948766, 948767, 948771, 948773, 948777, 948785, 948817, 948823, 948827, 948857, 948865, 948869, 948872, 948874, 948882, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948922, 948950, 948967, 948977, 948987, 949002, 949008, 949014, 949025, 949031, 949038, 949040, 949051, 949054, 949085, 949095, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005840	CC	e	ribosome	35/1388	37/1997	0.00040465100957798414	5	35	0.011262786433253893	944759, 945190, 945536, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005737	CC	e	cytoplasm	461/1388	616/1997	0.0005135362797144861	2	461	0.01225150838747417	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944789, 944794, 944798, 944806, 944813, 944818, 944839, 944840, 944844, 944849, 944852, 944854, 944862, 944865, 944866, 944873, 944879, 944882, 944888, 944889, 944895, 944901, 944905, 944923, 944925, 944939, 944943, 944953, 944958, 944986, 944988, 945003, 945031, 945032, 945046, 945069, 945081, 945085, 945097, 945099, 945104, 945113, 945149, 945181, 945184, 945215, 945217, 945225, 945227, 945237, 945239, 945260, 945281, 945290, 945293, 945295, 945310, 945313, 945323, 945332, 945339, 945351, 945354, 945358, 945366, 945382, 945383, 945385, 945387, 945389, 945425, 945449, 945451, 945456, 945465, 945469, 945472, 945506, 945510, 945514, 945517, 945527, 945528, 945533, 945535, 945536, 945539, 945549, 945550, 945553, 945555, 945556, 945564, 945566, 945567, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945681, 945686, 945687, 945690, 945697, 945748, 945752, 945756, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945816, 945824, 945829, 945834, 945839, 945842, 945864, 945880, 945904, 945979, 945987, 945998, 946003, 946030, 946043, 946071, 946073, 946084, 946092, 946106, 946122, 946128, 946147, 946153, 946165, 946169, 946173, 946178, 946179, 946185, 946204, 946222, 946223, 946225, 946229, 946234, 946240, 946249, 946278, 946304, 946324, 946334, 946358, 946371, 946379, 946385, 946410, 946425, 946430, 946431, 946434, 946452, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946531, 946544, 946549, 946552, 946597, 946610, 946624, 946626, 946632, 946633, 946643, 946674, 946680, 946691, 946702, 946724, 946768, 946771, 946772, 946775, 946778, 946781, 946794, 946796, 946799, 946802, 946815, 946841, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946946, 946949, 946950, 946952, 946969, 946973, 946975, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947033, 947036, 947039, 947041, 947062, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947114, 947115, 947121, 947130, 947144, 947149, 947155, 947170, 947175, 947178, 947188, 947203, 947210, 947230, 947234, 947253, 947271, 947283, 947284, 947285, 947289, 947301, 947369, 947372, 947384, 947385, 947404, 947413, 947414, 947429, 947445, 947457, 947474, 947495, 947497, 947498, 947499, 947532, 947544, 947560, 947567, 947578, 947582, 947589, 947590, 947615, 947639, 947664, 947672, 947674, 947679, 947682, 947684, 947685, 947689, 947694, 947703, 947708, 947709, 947725, 947726, 947744, 947753, 947754, 947758, 947761, 947783, 947794, 947821, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947894, 947909, 947916, 947922, 947923, 947931, 947934, 947935, 947940, 947955, 947968, 947974, 947978, 948007, 948014, 948016, 948074, 948079, 948080, 948087, 948115, 948123, 948124, 948125, 948126, 948132, 948139, 948157, 948158, 948200, 948218, 948233, 948241, 948246, 948248, 948267, 948285, 948286, 948290, 948324, 948326, 948346, 948360, 948361, 948370, 948384, 948403, 948404, 948409, 948412, 948414, 948415, 948419, 948420, 948424, 948429, 948430, 948433, 948434, 948435, 948456, 948461, 948463, 948464, 948470, 948479, 948497, 948499, 948512, 948513, 948520, 948531, 948535, 948545, 948556, 948559, 948563, 948610, 948631, 948652, 948655, 948660, 948661, 948665, 948674, 948675, 948684, 948692, 948694, 948695, 948710, 948724, 948726, 948734, 948748, 948750, 948753, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948857, 948865, 948869, 948874, 948891, 948892, 948894, 948897, 948899, 948902, 948910, 948913, 948917, 948922, 948950, 948967, 948987, 949002, 949020, 949025, 949038, 949040, 949054, 949060, 949097, 949116, 949130, 2847756, 2847759
GO:0005886	CC	p	plasma membrane	242/1388	413/1997	1.166099279394757e-07	3	242	9.73692898294622e-06	944750, 944778, 944799, 944803, 944817, 944822, 944830, 944833, 944843, 944854, 944876, 944893, 944918, 944936, 944971, 945070, 945080, 945084, 945099, 945108, 945112, 945136, 945143, 945184, 945192, 945199, 945201, 945213, 945222, 945228, 945241, 945292, 945300, 945305, 945316, 945324, 945341, 945347, 945350, 945368, 945374, 945401, 945402, 945420, 945435, 945455, 945457, 945460, 945489, 945491, 945521, 945525, 945540, 945556, 945566, 945594, 945600, 945602, 945615, 945621, 945641, 945651, 945673, 945691, 945740, 945741, 945752, 945790, 945802, 945810, 945823, 945841, 945843, 945858, 945866, 945878, 945893, 945909, 945910, 945987, 946018, 946056, 946057, 946076, 946106, 946144, 946178, 946201, 946238, 946281, 946321, 946323, 946334, 946335, 946345, 946350, 946352, 946355, 946422, 946431, 946454, 946495, 946555, 946566, 946576, 946625, 946628, 946653, 946672, 946678, 946685, 946704, 946705, 946713, 946717, 946733, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946889, 946895, 946897, 946971, 946990, 946992, 947036, 947069, 947139, 947235, 947253, 947271, 947276, 947302, 947303, 947377, 947404, 947415, 947416, 947421, 947496, 947499, 947561, 947580, 947605, 947611, 947614, 947655, 947673, 947690, 947712, 947720, 947725, 947729, 947787, 947788, 947815, 947838, 947887, 947907, 947919, 947930, 947953, 947966, 947967, 947968, 947969, 947978, 948003, 948032, 948033, 948039, 948056, 948063, 948065, 948074, 948083, 948118, 948121, 948127, 948148, 948175, 948203, 948224, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948319, 948321, 948322, 948326, 948328, 948351, 948422, 948428, 948529, 948537, 948541, 948565, 948575, 948577, 948591, 948626, 948659, 948667, 948673, 948697, 948698, 948725, 948728, 948735, 948795, 948876, 948891, 948900, 948980, 948992, 949007, 949036, 949048, 949052, 949082, 949098, 949120, 949133, 1450304
