"","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose"
"1",0.404801530579761,0.195633205512433,0.477655160839288
"10",0.903640122835064,0.000272811663059237,0.598276816676189
"100",0.602852118314353,0.658617873027878,0.723412908050149
"1000",0.513222777285322,0.0213425456769123,0.0639611241574742
"1001",0.826392937011046,0.0827511084639772,0.334606767546573
"1002",0.544990046609644,2.13282509331308e-05,0.903790869763666
"1003",0.390952325002402,0.689682812722915,0.220572500458366
"1004",0.960058407609475,0.447158203658107,0.275531867326624
"1005",0.38979852664588,0.619703357890174,0.37137645555233
"1006",0.513748048986203,0.949847936760726,0.543872317331174
"1007",0.8443691990578,0.309882144873372,0.134005019290799
"1008",0.193627716106636,0.4953737788117,0.315376369167713
"1009",0.770502525716173,0.779105499072521,0.613354378960828
"101",0.23973461572845,0.609657638460798,0.825426517527446
"1010",0.146111019510669,0.303795737746357,0.00331630110212944
"1011",0.268985392722386,0.810957406778674,0.0672680439830568
"1012",0.823416377769202,0.211356569630058,0.85037680697215
"1013",0.887990855704113,0.586387944640151,0.896238567754044
"1014",0.0485856323945271,0.0401034330871431,0.238628553961806
"1015",0.422746966400277,0.802950829075267,0.830643001070598
"1016",0.00993351517705251,0.0886582116659864,0.762970978197823
"1017",0.0936962794049308,0.00986963199187741,0.00124421155754282
"1018",0.461459267750861,0.0892686203552686,0.661283353685822
"1019",0.0338558322113402,0.296318249340916,0.260198823493663
"102",0.0125941407664684,0.999993671347452,0.11389733077208
"1020",0.669182942446942,0.888151350504284,0.198205046682514
"1021",0.576877794503926,0.0046376980722731,0.395700517898732
"1023",0.175415113891914,0.0371833866140851,0.685796233010324
"1025",0.277313737754445,0.0186548912268638,0.185697985627328
"1026",0.763116098473619,0.760533871943866,0.136534986321467
"1027",0.978795829776709,0.680582872759363,0.559145271998569
"1028",0.557284618974682,0.0682811645768216,0.339905326595593
"1029",0.0680470351972996,0.0538598184116869,0.402347328397349
"103",0.251111572692162,0.771332354828125,0.972019703605625
"1031",0.457278905127868,0.350774503101201,0.176499724388521
"1032",0.91443652856826,0.725996970536298,0.664899405685216
"1033",0.75187603087281,0.405856545738807,0.7030848333908
"1034",0.0765619385563511,0.191576255025306,0.000462599063862877
"1036",0.0508477290529079,0.869636483165306,0.0732478790526892
"1037",0.140876369939275,0.162048981884931,0.3133371473362
"1038",0.256260565016456,0.190084118335735,0.938363378721776
"1039",0.882943296949241,0.295397390143363,0.139407521791621
"104",0.787256769936841,0.943579021800753,0.910532395235875
"1040",0.811886554926516,0.772271165089331,0.519271039199187
"1041",0.0408626715668894,0.672170160352666,0.950286738866647
"1042",0.523894991365719,0.662376625222094,0.894610413003337
"1043",0.989746105853466,0.208004468745809,0.0509643314550827
"1044",0.0279583675073159,0.103973597312066,0.416742797830855
"1045",0.145837788037692,0.193040614228138,0.118984935735396
"1046",0.0418711624123025,0.849568437892855,0.65670564939598
"1048",0.999696807597709,0.533909234212893,0.437100453775246
"1049",0.0117426941779006,0.313973102910715,0.0409094277099196
"105",0.94882611770654,0.518637919169102,0.722200299047785
"1050",0.146853796261405,0.95783355860024,0.119414426515391
"1051",0.201329420486668,0.639327094442062,0.419022230912109
"1052",0.460528673886901,0.863652536567599,0.358958721434421
"1053",0.123257738507491,0.836285744955951,0.605776418350451
"1054",0.526277247452301,0.827755878354938,0.352614780461693
"1055",0.465759455187221,0.376618813771721,0.211704276189044
"1056",0.377692171427599,0.730275695347002,0.342917259404646
"1057",0.750593675688362,0.25408715384586,0.328481903782436
"1059",0.621878084386554,0.787276192063902,0.932134882663398
"106",0.0810897033780068,0.00596620323898952,0.452255392577748
"1060",0.127626092328592,0.522141335534893,0.187149458477255
"1061",0.351950588643698,0.601214360917724,0.681459567858454
"1062",0.106614167155304,0.144174996500472,0.483263533819251
"1063",0.505860144842712,0.754833339957828,0.543062888650452
"1064",0.0430847038554271,0.0379127044483634,0.0064037436024359
"1065",0.650619478383394,0.388082867970486,0.314448813962862
"1066",0.0970124102112326,0.00138395425277902,0.00243912010123211
"1067",0.110710713615697,0.0969035775849154,0.196251189379298
"1068",0.0176433592422601,0.113350013663739,0.229556656726648
"1069",0.427580227282484,0.416084816629176,0.293990677126921
"107",0.567178060335298,0.780757322690903,0.220522201571208
"1070",0.0383370332216986,0.465599703490313,0.196258345509593
"1071",0.179878227672076,0.37620955636268,0.367168461434066
"1072",0.141136168202305,0.207897000650059,0.0721942161331341
"1073",0.780026681056726,0.0384675869948398,0.715178910479945
"1074",0.0234977996084783,0.0499319665582332,0.00492172317964611
"1075",0.790308615991679,0.254460465457484,0.917097761101752
"1076",0.756393135113607,0.537132815285067,0.191494991590517
"1077",0.207589630449244,0.936076126610439,0.400821986669378
"1078",0.13378632076924,0.65350439077273,0.137631789202307
"1079",0.375431344659408,0.802551952609291,0.358451227271278
"108",0.102772004330415,0.27302808817352,0.170407266419361
"1080",0.818537034080665,0.232984982814791,0.529787927481358
"1081",0.0378008972762659,0.51566763064565,0.855108528204753
"1082",0.868890668734426,0.00340201815648983,0.527355162626986
"1083",0.748081936487127,0.0958531785275134,0.218335695663293
"1084",0.675764136200465,0.368226191955135,0.0109059374769904
"1085",0.39780817502936,0.505589914528109,0.36552190240175
"1086",0.190524583767531,0.0856085951483117,0.388717366583031
"1088",0.0424440022863096,0.170909822312439,0.0627115780081348
"109",0.77231194540866,0.131441722012601,0.238885144999565
"1090",0.228587451610326,0.887286603770855,0.745368531169624
"1091",0.230816642310758,0.0787009701166456,0.12032889927831
"1092",0.103810083503221,0.2494784392556,0.0763257412003585
"1094",0.719238454881793,0.352929451100292,0.920835530968279
"1096",0.602759874658448,0.84364876324052,0.0517216076234869
"1097",0.189005347507232,0.618003442759318,0.0274043452974042
"1098",0.0594498758632505,0.616254076479711,0.0062875776222853
"1099",0.588263744512703,0.931513030791571,0.910738167463114
"11",0.099391497982459,0.472550035608355,0.256169269983305
"110",0.806091608616387,0.313025591574313,0.0364049256985703
"1100",0.558473544714071,0.0413055731445466,0.191372604035045
"1101",0.00192274139621278,0.0137657867635627,0.0818656712619052
"1104",0.0302839852529685,0.067699252982159,0.0318224401837394
"1105",0.212969919900685,0.747864751662963,0.322615020803618
"1106",0.0122848274779577,0.0747366758629043,0.0767481338181516
"1107",0.0164761379920296,0.158982725245308,0.000774042499860566
"1108",0.386383065924061,0.790146012765886,0.933423206776485
"1109",0.713927746527335,0.116776445177517,0.112562686589729
"111",0.0238938955610554,0.0185744305725644,0.202638531148687
"1110",0.775997333508551,0.34825883463931,0.874810644976324
"1111",0.109049290994068,0.278305122012694,0.144627781165283
"1113",0.178296018708107,0.68610797604782,0.791525823239972
"1114",0.169557449736172,0.770960078452574,0.979388756422896
"1115",0.220364429666961,0.573552176102205,0.157709068636022
"1119",0.569836087183706,0.308810710164612,0.74712137258861
"112",0.13110066494126,0.683611109697644,0.923577619121843
"1120",0.532297954250285,0.330200404052325,0.739523300033585
"1121",0.876013224880616,0.997073561971404,0.611615883748569
"1122",0.058025190622698,0.228110929298284,0.292972908046297
"1123",0.213066041120525,0.349955553743274,0.159293822090642
"1124",0.975687868902735,0.522910464255134,0.551831962155
"1125",0.0655852297046599,0.797534384810621,0.171572710098832
"1126",0.0828531555459182,0.0958477268857409,0.00628061486484434
"1127",0.554596551773643,0.559092840115901,0.886696517999354
"1128",0.385756480525455,0.618252314169758,0.159928646542049
"1129",0.482767191608617,0.36933152298695,0.347330981340003
"113",0.0396934835959049,0.874256793206322,0.185748410618622
"1130",0.333560424646454,0.0507639167330668,0.117516670043567
"1131",0.240833591966741,0.430054069330981,0.322769103190514
"1132",0.678107111906919,0.489226874424515,0.622847350518337
"1134",0.880367453249834,0.351249452266426,0.835457946350271
"1135",0.220143433375523,0.0040904254341597,0.106471597087304
"1136",0.488597080514622,0.0473084727587016,0.683584686008095
"1137",0.913834008003918,0.360883727308192,0.115219477741704
"1138",0.0296798060272986,0.103798794240937,0.106965513062653
"1139",0.720488174016428,0.746882773887169,0.544949598979648
"114",0.396117660069979,0.234224841773394,0.567573150215539
"1141",0.040135108439986,0.843800176453953,0.0257062592531891
"1142",0.00648487360378614,0.223026946324068,0.0266406293461556
"1143",0.257538466585069,0.0320739472349799,0.51893090988071
"1145",0.00216709128923628,0.167412486882438,0.0200020607456364
"1146",0.0160480124506268,0.5281431017951,0.526090447734429
"1147",0.00157172645677225,0.195592269259835,0.0167901809632636
"1148",0.637651131511729,0.837416466491483,0.097895153154901
"1149",0.498062129060877,0.424377416144581,0.223921453735202
"115",0.567730282344168,0.652715018951269,0.0476295004427045
"1150",0.000300179773905701,0.0767214789246973,0.016974638528861
"1151",0.480125207138128,0.305324030191944,0.433901845576128
"1152",0.0449116441868222,0.71019081794584,0.0249714328737906
"1153",0.224418824500379,0.000130178501595292,0.187214599074883
"1154",0.689719810399094,0.190399617516882,0.687835299999296
"1155",0.63936027292171,0.0317068152340648,0.91679537692015
"1156",0.0784887453117258,0.288603181858514,0.781061846707756
"1157",0.223784630903811,0.681760580512018,0.331955862695935
"1158",0.916991809285024,0.774977539331314,0.699757034738213
"1159",0.988143789857207,0.448571775078367,0.998592309527133
"116",0.378794542797431,0.833275590442981,0.0962158113822346
"1160",0.0553589388476145,0.69479833941723,0.78320329243152
"1161",0.37767911017203,0.504652985330925,0.893450991229392
"1162",0.43044476261241,0.389225610199304,0.661341616780554
"1163",0.290056667997431,0.38257607655502,0.0222191514904035
"1164",0.172934455210169,0.126151729743058,0.0904230532949063
"1165",0.212847400271387,0.479247900130059,0.00406615967687634
"1166",0.290895736627269,0.0154122923010205,0.834664442477064
"1167",0.681174156985669,0.617956159052414,0.848913142246846
"1168",0.0171006479327033,0.0562649644573906,0.0207203931535804
"1169",0.0285482923104093,0.597462178745928,0.838462177854506
"117",0.0298249110349756,0.604941580535576,0.577249043453156
"1170",0.951999663132701,0.111481919378135,0.989556279242822
"1171",0.506468304886949,0.196112929433215,0.475466556826843
"1172",0.0135542228339914,0.610167955242247,0.0765567737325254
"1174",0.201679421363467,0.199256122389259,0.230414465251037
"1175",0.758020857398543,0.717290624400567,0.362133080947919
"1176",0.214526011418516,0.221240612530074,0.645467084291062
"1177",0.424890504193121,0.304260273606284,0.257201818389344
"1178",0.957714529925414,0.287463475020346,0.580472665273702
"1179",0.81463898378138,0.307885995456726,0.371226777421741
"118",0.174249058775281,0.220076435543117,0.700216147327616
"1180",0.759426408612284,0.656971206885191,0.162184146807111
"1181",0.351931488578147,0.284971481622731,0.999426311904949
"1182",0.0359136688595493,0.0384780531901228,0.0471353055384466
"1183",0.194212179787378,0.151934970673871,0.768648249229329
"1184",0.270625419617627,0.884068979656513,0.473945015827873
"1185",0.422146717051268,0.241922847007358,0.449111808582625
"1186",0.749123242441505,0.0352031478897152,0.790487653449459
"1189",0.184170991535894,0.432334578380821,0.964237680620199
"119",0.767137077062565,0.743255920068889,0.816394099859678
"1190",0.824138639894217,0.744431564037851,0.343022768884559
"1191",0.528798342295245,0.590247232703833,0.22768548545625
"1192",0.284129586365046,0.744805199349817,0.0822586901393575
"1193",0.837080072607109,0.561607890980399,0.194051059212641
"1194",0.119032982758273,0.656074939240042,0.558189192146806
"1195",0.389195449045797,0.44576896808064,0.850645742734783
"1196",0.0483267447159908,0.891656362054537,0.460413291569845
"1197",0.854871359302478,0.276071944161459,0.646294079833758
"1198",0.0175084083328028,0.00436062822267102,0.0580122951794434
"1199",0.649816608935389,0.929084631074963,0.87394437420778
"12",0.800697637662557,0.49886200426509,0.00797602227350977
"120",0.739294078944186,0.773425959058346,0.653491820685078
"1200",0.87827098101516,0.938001479626787,0.577757211420379
"1201",0.126290711453023,0.000146363713369674,0.0132746521608529
"1202",0.190632651900285,0.129261501353427,0.0394613772885232
"1203",0.112513648975328,0.706728624730156,0.177236803165583
"1204",0.00793131095732202,0.582536401400974,0.428443150424474
"1205",0.324612860661903,0.217917621580364,0.178281153245471
"1206",0.435578248935201,0.66370640648581,0.60649589713831
"1207",0.464952718367517,0.686069281862627,0.855521393312256
"1208",0.310200025918343,0.489455620701425,0.878259803236243
"1209",0.0534290409649633,0.000418505061431235,0.958880919031352
"121",0.228319036903835,0.0184997861662652,0.392580213842659
"1210",0.400288776500646,0.295283695890788,0.518306247379358
"1211",0.222215988804439,0.0498591388960833,0.340995148697511
"1212",0.283348435113561,0.986675410017081,0.909456887827549
"1213",0.984395784114774,0.781735671505861,0.472073994742706
"1215",0.062099186636846,0.235574022176594,0.258302628180396
"1217",0.620644993513937,0.147601587058644,0.910930441750151
"1218",0.716419507418284,0.222727165012945,0.926785359543288
"122",0.581816880593246,0.964328349894521,0.584083367999343
"1220",0.108128655729916,0.758366377609273,0.018439350580014
"1222",0.544861089916952,0.728873737893708,0.0162740056250437
"1223",0.0315957146006856,0.290013073138022,0.206861104037117
"1224",0.691300279674774,0.931892505450512,0.967819545624998
"1225",0.0208307829828175,0.20264823714625,0.34088622982274
"1226",0.00834221276888495,0.0830925005426759,0.0191676806453362
"1228",0.0357084911732294,0.268850578619822,0.773649650306348
"1229",0.947362416620155,0.058535639736095,0.295112591985344
"123",0.617422244704604,0.0767512954444268,0.280057505709298
"1230",0.346340532203178,0.978013627585839,0.486856976442848
"1231",0.203170546731209,0.83614564421741,0.337355344035983
"1232",0.344149286182606,0.0303922140907188,0.0539549847823509
"1233",0.460657833601031,0.834959729385506,0.238773019479962
"1235",0.488540622900456,0.191650468827966,0.0967727307765714
"1236",0.005267932382815,0.659565037261404,0.0260116676345702
"1237",0.186097430864182,0.580995734180231,0.604151827965091
"1238",0.0540262687568497,0.135696251148757,0.508843034150514
"1239",0.841944381661805,0.67925496860725,0.336111210006773
"124",0.777196966334913,0.543865912815404,0.767771983343556
"1240",0.435596652812976,0.604330527359219,0.306063833562604
"1241",0.625397391101337,0.350920262311232,0.235312418804632
"1242",0.591979823410639,0.625602500350378,0.320613213205876
"1243",0.113633446443624,0.935540018373572,0.131641274136675
"1244",0.649694206211744,0.448303271316018,0.624220126868204
"1247",0.232345424654296,0.448384443297986,0.00455178981911068
"1248",0.500384571635225,0.710760712652589,0.796153994952608
"1249",0.139276388001625,0.00592648742862862,0.278785822676368
"125",0.0608522638249055,0.374103352689218,0.0467753316425217
"1250",0.444800781156086,0.00512716763688516,0.762498981507271
"1251",0.063323306144177,0.147607636532567,0.0539551142606432
"1252",0.30161765535591,0.624456216941517,0.514108713171269
"1253",0.705414326715721,0.167279695126148,0.219691327020583
"1254",0.860323631064747,0.433221523013408,0.839613296879409
"1255",0.128066710571433,0.801321604578497,0.896161315855495
"1256",0.191719499370498,0.632910184477543,0.0727976576321916
"1257",0.226071861022909,0.663860632860273,0.289951170476949
"1259",0.75574964636641,0.139577657839988,0.959808936432434
"126",0.99384722040701,0.289797475025079,0.0993111800785542
"1260",0.258119393732101,0.372759953999622,0.414104170975253
"1261",0.0525274172332179,0.0986499584585374,0.139092879745339
"1262",0.665562034534244,0.0909186570127669,0.0258339231879842
"1263",0.591897461379584,0.662931932261905,0.896438636853173
"1264",0.252473201470798,0.782096811913649,0.0822324632458217
"1265",0.125865606929538,0.138404540919575,0.0431487259540011
"1266",0.806555069563621,0.815470237020584,0.196763443545286
"1267",0.16565107744559,0.295923763715096,0.0616867330020349
"1268",0.108224096363246,0.997543180992445,0.193699037963571
"1269",0.0149491223429117,0.39722920913056,0.052265172682683
"127",0.195730001178821,0.0219986025737972,0.271313529649844
"1270",0.754595461527395,0.982014324428317,0.353326385634923
"1271",0.0549347667308702,0.99404154160913,0.132664369995158
"1272",0.251134299242087,0.769805873717878,0.277230204233225
"1273",0.663749620264308,0.0136176190902429,0.110770439008417
"1274",0.0974297270754434,0.307870728977527,0.00432406407958116
"1277",0.0975734091592704,0.936430729563688,0.168456182521507
"1278",0.0578189620480588,0.383356258498242,0.0118456240505855
"1279",0.0507263943780888,0.760325841517704,0.221751376100037
"128",0.0112250332197852,0.206606416751577,0.249873824714913
"1280",0.31963672981332,0.0438413166778599,0.421704060476743
"1282",0.0233142106292905,0.632651313680296,0.607509103979815
"1283",0.913456018422562,0.975121795689204,0.783382714329034
"1284",0.185650451473835,0.102860228578498,0.0329060865051409
"1285",0.248994352533137,0.210753192613258,0.0661791261521244
"1286",0.384118543355294,0.92219542751872,0.388810807973924
"1287",0.43436509603954,0.297102668911004,0.121938290951086
"1288",0.302398382685077,0.738060059676581,0.0682738984733349
"1289",0.607891676391284,0.122758606727223,0.349762461557138
"129",0.937022170152801,0.994057623073744,0.612944712664682
"1290",0.00553735835422891,0.104497744278851,0.111401110078847
"1291",0.763241443381071,0.00657486128413399,0.376345290486248
