From	To
D4HZR9	8914606
P00350	946554
P00363	948667
P00370	946802
P00393	946792
P00448	948403
P00452	946612
P00490	947922
P00509	945553
P00547	947498
P00550	948118
P00561	945803
P00562	948433
P00579	947567
P00582	948356
P00803	947040
P00805	947454
P00811	948669
P00861	947313
P00864	948457
P00887	946229
P00888	947084
P00893	948793
P00894	947267
P00895	945846
P00904	945109
P00909	945519
P00926	946837
P00934	945198
P00935	948434
P00936	947755
P00944	948141
P00946	944840
P00954	947894
P00956	944761
P00957	947175
P00959	946643
P00960	948079
P00961	948080
P00962	945310
P00963	13905103
P00963	948258
P00968	944775
P02358	948723
P02359	947846
P02413	947798
P02916	948532
P02918	947907
P02919	944843
P02924	946409
P02925	948261
P02929	945843
P02930	947521
P02931	945554
P02942	948884
P02943	948548
P03004	948217
P03007	946441
P03018	948347
P03813	947348
P03817	13909069
P03817	948249
P03819	944773
P03841	948547
P04036	944762
P04079	947334
P04335	946039
P04391	948774
P04425	947445
P04693	948563
P04805	946906
P04816	947964
P04825	947253
P04846	948175
P04949	949101
P04951	945539
P04968	948287
P04982	948267
P04983	948264
P04994	946988
P05020	945787
P05041	946337
P05042	946147
P05055	947672
P05194	946210
P05458	947284
P05459	946785
P05523	946765
P05637	944770
P05704	945995
P05706	948971
P05719	948867
P05791	948277
P05793	948286
P05804	946149
P05825	945193
P05852	947578
P06129	948468
P06149	946653
P06610	945915
P06612	945862
P06616	947036
P06709	948469
P06710	945105
P06715	948014
P06720	948636
P06721	946240
P06846	947586
P06959	944794
P06960	944844
P06961	947553
P06966	946241
P06968	948607
P06971	944856
P06983	947759
P06986	946551
P06987	946552
P06988	946531
P06989	946515
P06992	944939
P06993	947921
P06996	946716
P06999	946230
P07001	946628
P07003	946132
P07004	946680
P07012	947369
P07013	948722
P07014	945300
P07017	946399
P07021	947094
P07023	947115
P07024	947331
P07102	946206
P07109	946789
P07117	945602
P07118	948785
P07363	946401
P07395	945382
P07604	945879
P07623	948513
P07639	947927
P07648	947294
P07650	948901
P07762	947940
P07813	947497
P07862	946324
P07913	948139
P08142	948182
P08178	946975
P08179	946973
P08192	945451
P08194	946704
P08200	945702
P08201	947868
P08244	947121
P08245	947058
