"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"RPOC",1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
"RPOB",1,1,0,-1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,0,1,1
"ACNB",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"PURL",-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"GLTB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1
"ACEE",1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1
"ADHE",-1,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"TUFA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"METE",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"GROL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"CARB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"PFLB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNAK",1,1,1,1,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1
"INFB",1,1,-1,0,-1,0,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,0,1
"ILVC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
"PPC",-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1
"ALAS",1,0,-1,-1,-1,0,1,0,0,-1,-1,1,1,-1,1,1,1,1,0,1,1
"FUSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"GLYS",1,1,0,0,-1,0,1,1,0,-1,-1,-1,0,-1,1,-1,1,1,0,0,1
"MAEB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RPSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"LEUS",0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,0,0
"THRA",-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1
"SUCA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ILES",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1
"ALDA",1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,1,1,1
"SECA",1,1,0,1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,0,1,0,0,1
"ASPS",1,-1,0,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,1,1,0,-1,0,1
"PHET",1,0,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1
"VALS",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"DPPA",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"ACEF",1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,-1,-1,-1,1
"KATG",-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,1
"GYRA",1,1,0,-1,1,0,0,1,1,1,1,0,0,-1,0,-1,0,1,-1,0,1
"ICD",-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,0,1,-1,0,-1
"ATPD",1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0
"PEPN",1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,1,1,1,1
"PYKF",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,0,-1,1
