# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008652	BP	e	cellular amino acid biosynthetic process	81/1400	89/1997	2.307989155256763e-06	7	81	0.003392744058227442	944762, 944775, 944798, 944844, 944862, 945031, 945034, 945076, 945109, 945198, 945221, 945258, 945281, 945519, 945527, 945528, 945605, 945642, 945768, 945803, 945846, 946204, 946210, 946229, 946240, 946425, 946515, 946516, 946521, 946531, 946544, 946549, 946551, 946552, 946680, 946797, 946877, 946888, 947022, 947081, 947084, 947115, 947231, 947239, 947267, 947289, 947465, 947498, 947590, 947723, 947724, 947776, 947861, 947864, 947927, 947939, 948126, 948183, 948277, 948278, 948286, 948287, 948310, 948313, 948323, 948432, 948433, 948434, 948435, 948455, 948456, 948463, 948464, 948513, 948522, 948531, 948771, 948774, 948913, 949025, 2847759
GO:0006412	BP	e	translation	73/1400	80/1997	4.8804662305644626e-06	7	73	0.0035871426794648804	944759, 944761, 944866, 945158, 945190, 945310, 945382, 945506, 945536, 945555, 945618, 945657, 945765, 946030, 946122, 946222, 946223, 946225, 946385, 946452, 946643, 946906, 946941, 946969, 946989, 947051, 947058, 947083, 947096, 947103, 947175, 947369, 947372, 947497, 947680, 947686, 947779, 947780, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947838, 947846, 947847, 947874, 947894, 948079, 948425, 948483, 948484, 948489, 948490, 948645, 948661, 948720, 948723, 948785, 948855, 948897, 948909, 949116
GO:0005829	CC	e	cytosol	659/1400	826/1997	1.0023884912385759e-15	2	659	1.6739887803684216e-13	944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944775, 944777, 944778, 944789, 944790, 944791, 944796, 944798, 944807, 944811, 944813, 944817, 944821, 944832, 944839, 944840, 944854, 944857, 944862, 944864, 944865, 944866, 944879, 944881, 944885, 944889, 944895, 944905, 944939, 944955, 944958, 944983, 944988, 945003, 945013, 945031, 945032, 945034, 945046, 945048, 945051, 945054, 945060, 945063, 945067, 945068, 945069, 945076, 945081, 945083, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945158, 945184, 945198, 945220, 945221, 945225, 945226, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945283, 945284, 945288, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945323, 945333, 945339, 945351, 945354, 945358, 945366, 945372, 945378, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945465, 945469, 945472, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945535, 945537, 945539, 945542, 945553, 945556, 945568, 945574, 945605, 945609, 945611, 945612, 945618, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945686, 945690, 945695, 945697, 945702, 945740, 945741, 945744, 945747, 945748, 945749, 945754, 945764, 945766, 945768, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945838, 945846, 945848, 945851, 945854, 945864, 945865, 945870, 945874, 945876, 945908, 945916, 945978, 945979, 945980, 946003, 946030, 946031, 946043, 946073, 946074, 946084, 946085, 946086, 946116, 946122, 946128, 946129, 946132, 946151, 946159, 946162, 946169, 946177, 946178, 946179, 946204, 946207, 946209, 946210, 946222, 946223, 946225, 946234, 946254, 946278, 946304, 946315, 946324, 946327, 946333, 946357, 946364, 946367, 946368, 946370, 946379, 946380, 946384, 946385, 946393, 946398, 946400, 946405, 946410, 946415, 946425, 946441, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946538, 946541, 946549, 946551, 946554, 946556, 946560, 946572, 946593, 946597, 946598, 946605, 946609, 946610, 946614, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946663, 946665, 946674, 946680, 946691, 946694, 946702, 946724, 946747, 946751, 946755, 946767, 946768, 946775, 946778, 946783, 946785, 946794, 946797, 946799, 946802, 946804, 946805, 946806, 946837, 946841, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946913, 946926, 946932, 946941, 946946, 946949, 946950, 946953, 946957, 946960, 946969, 946973, 946974, 946975, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947014, 947022, 947024, 947033, 947039, 947043, 947049, 947051, 947055, 947059, 947062, 947068, 947072, 947077, 947083, 947087, 947089, 947092, 947096, 947097, 947099, 947101, 947102, 947119, 947120, 947121, 947129, 947130, 947143, 947157, 947160, 947168, 947175, 947188, 947214, 947234, 947239, 947263, 947266, 947267, 947273, 947285, 947306, 947318, 947334, 947369, 947372, 947376, 947378, 947380, 947384, 947385, 947390, 947393, 947394, 947404, 947407, 947414, 947415, 947420, 947429, 947441, 947442, 947449, 947461, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947499, 947512, 947524, 947526, 947527, 947540, 947552, 947555, 947567, 947569, 947578, 947582, 947584, 947590, 947666, 947670, 947672, 947674, 947677, 947679, 947680, 947682, 947685, 947686, 947692, 947694, 947696, 947703, 947708, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947775, 947776, 947779, 947780, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947859, 947894, 947895, 947903, 947912, 947925, 947932, 947939, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948041, 948044, 948067, 948074, 948079, 948087, 948113, 948115, 948117, 948123, 948125, 948126, 948130, 948131, 948132, 948139, 948154, 948157, 948163, 948183, 948200, 948204, 948211, 948217, 948225, 948241, 948246, 948250, 948260, 948263, 948267, 948274, 948277, 948278, 948286, 948290, 948297, 948313, 948321, 948323, 948325, 948326, 948331, 948335, 948338, 948348, 948356, 948358, 948361, 948370, 948384, 948387, 948403, 948404, 948409, 948412, 948415, 948419, 948420, 948423, 948425, 948431, 948432, 948433, 948435, 948438, 948457, 948461, 948477, 948483, 948484, 948485, 948487, 948488, 948489, 948490, 948497, 948498, 948499, 948501, 948503, 948522, 948531, 948535, 948544, 948545, 948549, 948552, 948553, 948555, 948556, 948558, 948570, 948572, 948585, 948607, 948610, 948621, 948631, 948636, 948645, 948652, 948655, 948658, 948661, 948665, 948666, 948667, 948675, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948726, 948731, 948741, 948748, 948750, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948817, 948823, 948824, 948853, 948855, 948857, 948865, 948869, 948872, 948874, 948878, 948882, 948892, 948897, 948902, 948910, 948916, 948920, 948924, 948930, 948950, 948967, 948977, 948986, 948987, 949008, 949014, 949025, 949031, 949038, 949040, 949045, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450243, 1450249, 2847741, 2847759, 2847768
GO:0005840	CC	e	ribosome	36/1400	37/1997	3.8761735449578737e-05	5	36	0.0032366049100398244	944759, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005737	CC	e	cytoplasm	465/1400	616/1997	0.0004712397886114516	2	465	0.015739408939622484	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944797, 944798, 944810, 944811, 944813, 944816, 944821, 944832, 944839, 944840, 944844, 944852, 944854, 944862, 944865, 944866, 944879, 944885, 944887, 944888, 944889, 944895, 944905, 944923, 944925, 944939, 944943, 944953, 944958, 944988, 945003, 945031, 945032, 945034, 945046, 945067, 945069, 945081, 945082, 945097, 945099, 945101, 945104, 945113, 945149, 945184, 945217, 945225, 945227, 945229, 945237, 945260, 945271, 945272, 945281, 945290, 945293, 945295, 945310, 945313, 945323, 945339, 945351, 945354, 945358, 945366, 945376, 945382, 945387, 945389, 945425, 945449, 945451, 945456, 945465, 945469, 945472, 945506, 945510, 945514, 945527, 945528, 945533, 945535, 945536, 945539, 945550, 945553, 945555, 945556, 945564, 945566, 945567, 945568, 945574, 945605, 945611, 945631, 945663, 945667, 945669, 945686, 945687, 945690, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945772, 945785, 945787, 945807, 945824, 945829, 945834, 945842, 945864, 945904, 945908, 945979, 945987, 945998, 946003, 946030, 946043, 946069, 946071, 946073, 946074, 946084, 946106, 946122, 946128, 946147, 946153, 946169, 946173, 946178, 946179, 946185, 946195, 946204, 946222, 946223, 946225, 946229, 946234, 946240, 946278, 946304, 946324, 946327, 946328, 946333, 946348, 946358, 946367, 946379, 946385, 946393, 946400, 946410, 946425, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946597, 946605, 946610, 946614, 946624, 946626, 946632, 946633, 946643, 946674, 946677, 946680, 946691, 946702, 946724, 946768, 946775, 946778, 946785, 946794, 946799, 946802, 946815, 946837, 946841, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946913, 946946, 946949, 946950, 946955, 946969, 946973, 946975, 946989, 946993, 946995, 947002, 947004, 947018, 947022, 947024, 947033, 947039, 947041, 947049, 947050, 947055, 947059, 947062, 947067, 947077, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947115, 947121, 947130, 947144, 947170, 947175, 947188, 947210, 947211, 947230, 947234, 947253, 947283, 947285, 947289, 947318, 947324, 947369, 947372, 947384, 947385, 947386, 947393, 947404, 947414, 947429, 947444, 947474, 947495, 947497, 947498, 947499, 947524, 947528, 947532, 947544, 947567, 947578, 947582, 947589, 947590, 947639, 947648, 947664, 947666, 947672, 947674, 947679, 947680, 947682, 947685, 947694, 947703, 947708, 947709, 947721, 947726, 947742, 947744, 947753, 947754, 947758, 947794, 947838, 947847, 947848, 947854, 947859, 947861, 947864, 947881, 947894, 947909, 947916, 947927, 947931, 947934, 947935, 947954, 947955, 947974, 947978, 948007, 948014, 948016, 948044, 948074, 948079, 948087, 948115, 948123, 948125, 948126, 948130, 948132, 948139, 948157, 948158, 948163, 948200, 948211, 948217, 948221, 948233, 948241, 948246, 948250, 948260, 948267, 948285, 948286, 948290, 948310, 948324, 948326, 948346, 948356, 948360, 948361, 948370, 948384, 948403, 948404, 948409, 948412, 948415, 948419, 948420, 948424, 948433, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948479, 948496, 948497, 948499, 948512, 948513, 948520, 948522, 948531, 948535, 948545, 948556, 948585, 948610, 948631, 948640, 948645, 948652, 948655, 948660, 948661, 948665, 948670, 948675, 948692, 948694, 948695, 948726, 948748, 948750, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948824, 948853, 948855, 948857, 948865, 948869, 948874, 948892, 948894, 948897, 948899, 948902, 948909, 948910, 948913, 948917, 948950, 948967, 948987, 949020, 949025, 949038, 949040, 949054, 949097, 949116, 949130, 2847756, 2847759
GO:0022625	CC	e	cytosolic large ribosomal subunit	20/1400	20/1997	0.0010222751363581372	5	20	0.026622773093781252	945190, 945618, 945657, 946941, 947096, 947797, 947798, 947803, 947806, 947807, 947809, 947817, 947819, 947828, 948425, 948483, 948484, 948489, 948490, 948720
GO:0016021	CC	p	integral component of membrane	176/1400	291/1997	0.00017383893496621664	3	176	0.009677034046452726	944773, 944801, 944803, 944822, 944830, 944856, 944894, 944918, 944936, 944967, 945004, 945080, 945084, 945102, 945118, 945128, 945136, 945185, 945191, 945192, 945193, 945199, 945213, 945228, 945292, 945316, 945322, 945328, 945341, 945347, 945350, 945374, 945401, 945420, 945496, 945513, 945525, 945530, 945554, 945571, 945579, 945594, 945602, 945615, 945621, 945624, 945651, 945660, 945677, 945680, 945749, 945790, 945858, 945878, 945883, 945893, 945978, 946033, 946106, 946144, 946158, 946201, 946238, 946242, 946246, 946288, 946335, 946342, 946345, 946350, 946355, 946448, 946495, 946526, 946540, 946553, 946576, 946606, 946611, 946625, 946628, 946685, 946693, 946704, 946705, 946716, 946717, 946751, 946764, 946820, 946822, 946869, 946882, 946895, 946897, 946981, 946992, 947053, 947069, 947135, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947303, 947416, 947555, 947561, 947580, 947605, 947611, 947614, 947690, 947712, 947720, 947722, 947787, 947799, 947815, 947887, 947919, 947930, 947966, 947972, 948032, 948039, 948043, 948058, 948063, 948064, 948068, 948075, 948118, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948405, 948422, 948428, 948446, 948458, 948468, 948486, 948548, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948676, 948698, 948725, 948761, 948778, 948795, 948876, 948888, 948900, 948914, 948992, 949027, 949039, 949042, 949052, 949105, 949120, 2847743
GO:0005886	CC	p	plasma membrane	259/1400	413/1997	0.0002889577614711301	3	259	0.01206398654141968	944750, 944773, 944778, 944801, 944803, 944817, 944821, 944822, 944830, 944833, 944854, 944893, 944894, 944896, 944918, 944936, 945070, 945080, 945084, 945099, 945102, 945112, 945118, 945136, 945184, 945191, 945192, 945199, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945322, 945328, 945341, 945347, 945350, 945368, 945374, 945401, 945402, 945420, 945435, 945455, 945476, 945489, 945491, 945496, 945513, 945521, 945525, 945526, 945530, 945556, 945566, 945579, 945594, 945602, 945615, 945621, 945624, 945651, 945660, 945670, 945677, 945680, 945740, 945741, 945752, 945782, 945790, 945802, 945818, 945835, 945858, 945866, 945878, 945883, 945893, 945909, 945978, 945987, 946033, 946106, 946132, 946144, 946158, 946172, 946178, 946201, 946238, 946321, 946327, 946335, 946342, 946345, 946350, 946355, 946400, 946422, 946448, 946451, 946495, 946526, 946553, 946576, 946582, 946606, 946611, 946625, 946628, 946653, 946677, 946685, 946693, 946704, 946705, 946717, 946738, 946746, 946751, 946753, 946757, 946759, 946762, 946764, 946792, 946822, 946869, 946882, 946889, 946895, 946897, 946992, 947051, 947053, 947059, 947069, 947135, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947264, 947276, 947302, 947303, 947304, 947318, 947377, 947404, 947415, 947416, 947496, 947499, 947526, 947561, 947580, 947605, 947611, 947614, 947690, 947712, 947720, 947722, 947729, 947787, 947799, 947815, 947838, 947887, 947919, 947930, 947953, 947966, 947967, 947972, 947978, 948003, 948032, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948074, 948075, 948118, 948121, 948175, 948203, 948217, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948405, 948422, 948428, 948446, 948458, 948486, 948537, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948667, 948673, 948676, 948698, 948725, 948728, 948761, 948778, 948795, 948876, 948888, 948900, 948914, 948980, 948992, 949007, 949027, 949036, 949039, 949052, 949082, 949105, 949120, 1450304, 2847737, 2847743
GO:0016020	CC	p	membrane	292/1400	457/1997	0.0011159246206974176	2	292	0.026622773093781252	944750, 944753, 944773, 944778, 944801, 944803, 944817, 944821, 944822, 944830, 944854, 944856, 944872, 944893, 944894, 944896, 944918, 944936, 944967, 945004, 945011, 945070, 945080, 945084, 945099, 945102, 945112, 945118, 945128, 945136, 945173, 945185, 945189, 945191, 945192, 945193, 945199, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945322, 945328, 945341, 945347, 945350, 945368, 945374, 945381, 945401, 945402, 945420, 945428, 945435, 945455, 945476, 945489, 945491, 945492, 945496, 945513, 945521, 945525, 945526, 945530, 945554, 945556, 945571, 945579, 945582, 945583, 945594, 945602, 945615, 945621, 945624, 945651, 945655, 945660, 945670, 945677, 945680, 945741, 945752, 945775, 945782, 945790, 945802, 945818, 945858, 945866, 945878, 945883, 945893, 945978, 945987, 946033, 946106, 946132, 946144, 946158, 946172, 946175, 946201, 946238, 946242, 946246, 946257, 946288, 946301, 946321, 946327, 946335, 946342, 946345, 946350, 946355, 946422, 946448, 946451, 946495, 946525, 946526, 946540, 946553, 946576, 946606, 946611, 946625, 946628, 946653, 946685, 946686, 946693, 946704, 946705, 946716, 946717, 946738, 946751, 946757, 946759, 946762, 946764, 946782, 946792, 946801, 946820, 946822, 946869, 946882, 946889, 946895, 946897, 946954, 946981, 946982, 946992, 946996, 947051, 947053, 947059, 947069, 947086, 947135, 947139, 947145, 947148, 947157, 947166, 947184, 947235, 947253, 947257, 947259, 947264, 947276, 947302, 947303, 947304, 947318, 947377, 947416, 947496, 947499, 947526, 947555, 947561, 947580, 947605, 947611, 947614, 947690, 947712, 947720, 947722, 947729, 947787, 947799, 947815, 947838, 947887, 947919, 947930, 947953, 947966, 947967, 947972, 947978, 948003, 948022, 948032, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948075, 948118, 948121, 948175, 948203, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948370, 948405, 948422, 948428, 948446, 948458, 948468, 948486, 948537, 948548, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948670, 948673, 948676, 948698, 948725, 948728, 948761, 948778, 948795, 948833, 948876, 948888, 948900, 948908, 948914, 948980, 948981, 948988, 948992, 949027, 949036, 949039, 949042, 949052, 949082, 949105, 949113, 949120, 1450304, 2847737, 2847743
GO:0005887	CC	p	integral component of plasma membrane	115/1400	192/1997	0.001576275622186291	4	115	0.032904753613138826	944773, 944803, 944821, 944822, 944894, 944918, 944936, 945080, 945084, 945102, 945136, 945192, 945213, 945222, 945228, 945292, 945328, 945341, 945347, 945350, 945374, 945420, 945455, 945513, 945530, 945579, 945602, 945615, 945624, 945651, 945660, 945790, 945858, 945883, 945978, 946033, 946106, 946144, 946201, 946342, 946345, 946350, 946355, 946582, 946606, 946625, 946628, 946641, 946653, 946693, 946717, 946751, 946764, 946792, 946869, 946882, 946895, 946897, 946992, 947053, 947135, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947303, 947416, 947496, 947555, 947580, 947690, 947712, 947722, 947787, 947799, 947815, 947919, 947930, 947934, 947966, 948003, 948039, 948043, 948063, 948064, 948118, 948131, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948428, 948446, 948486, 948565, 948575, 948626, 948659, 948676, 948725, 948761, 948900, 948914, 948992, 949027, 949039, 949052, 949105, 2847743
