,glucose_1,glucose_2,glucose_3,chemostat_0.2_1,chemostat_0.2_2,chemostat_0.2_3
O32583,1.8813348589437043e-06,1.8813348589437043e-06,1.7654663077661495e-06,1.1139773435802808e-06,7.510407977051072e-07,1.1139773429476742e-06
P00350,2.5121236161478508e-05,2.4145633748031562e-05,2.223586572834202e-05,0.0,0.0,0.0
P00363,7.321106884208473e-08,0.0,0.0,0.0,0.0,0.0
P00370,3.0643912301336846e-08,3.064391230133713e-08,2.8624177291302514e-08,1.8099180646911193e-08,1.198648478644751e-08,1.8099180635883806e-08
P00393,0.0,0.0,0.0,0.0,0.0,0.0
P00448,0.0,0.0,0.0,3.4489389781240775e-08,2.0880798314097173e-08,3.416050020260262e-08
P00452,0.0,0.0,0.0,0.0,0.0,0.0
P00490,0.0,0.0,0.0,0.0,0.0,0.0
P00509,4.886356138381528e-08,4.886356138381528e-08,7.158660590938878e-07,4.243808429563697e-07,2.7686608923894023e-07,4.243808426833063e-07
P00547,1.3175240080862205e-05,1.3175240080862336e-05,1.2156276060648027e-05,7.729534450083104e-06,4.872555546616094e-06,7.72953444451952e-06
P00550,0.0,0.0,0.0,0.0,0.0,0.0
P00561,1.6557609397112505e-05,1.6557609397112654e-05,1.5302696845736022e-05,0.0,0.0,0.0
P00562,0.0,0.0,0.0,6.673097319011315e-06,4.224500564977355e-06,6.6730973142702026e-06
P00634,0.0,0.0,0.0,0.0,0.0,0.0
P00722,0.0,0.0,0.0,0.0,0.0,0.0
P00805,0.0,0.0,0.0,0.0,0.0,0.0
P00816,0.0,0.0,0.0,0.0,0.0,0.0
P00861,2.219829302516159e-06,2.219829302516159e-06,2.0831133936383314e-06,1.3144069158464545e-06,8.861699246177609e-07,1.3144069151000277e-06
P00864,1.270963616169459e-07,8.993154382075192e-07,8.368956559038145e-07,5.300703537334729e-07,3.459447874107685e-07,5.300703610077229e-07
P00887,0.0,0.0,2.9678753348743967e-07,0.0,0.0,0.0
P00888,0.0,0.0,0.0,0.0,0.0,0.0
P00893,2.493499122499424e-06,2.493499122499418e-06,5.445156271394611e-07,2.452961663764956e-07,1.6537807481551466e-07,0.0
P00894,2.493499122499424e-06,2.493499122499418e-06,5.445156271394611e-07,2.452961663764956e-07,1.6537807481551466e-07,0.0
P00895,4.170104673072036e-08,4.170104673072036e-08,3.9132742718116803e-08,2.4692053645190595e-08,1.6647322114343148e-08,2.4692053631168444e-08
P00903,1.0108639439729897e-07,1.0108639439727592e-07,9.486063718722127e-08,5.985534822122103e-08,4.0354329227647484e-08,5.985534818722986e-08
P00904,1.349579620508408e-06,1.349579620508408e-06,1.26646106530614e-06,7.991140510988781e-07,5.387607367899839e-07,7.991140506450763e-07
P00909,7.338878732262292e-07,7.338878732262292e-07,6.886888358548366e-07,4.3455021290646285e-07,2.929726896377169e-07,4.345502126596898e-07
P00926,0.0,0.0,0.0,0.0,0.0,0.0
P00934,6.027678846929276e-05,6.0276788469293345e-05,5.561502304207402e-05,3.53626583010456e-05,2.2291965701245665e-05,3.536265827559217e-05
P00935,1.2877362355291102e-07,1.2877362355291102e-07,1.2084422234320696e-07,7.625052101007965e-08,5.140791458180423e-08,7.62505209667784e-08
P00936,0.0,0.0,0.0,0.0,0.0,0.0
P00944,0.0,0.0,0.0,0.0,0.0,0.0
P00946,0.0,0.0,0.0,0.0,0.0,0.0
P00963,3.4402881254168464e-06,3.4402881254168464e-06,3.4402881254168464e-06,8.079511501196527e-07,8.079511501196527e-07,8.079511501196527e-07
P00968,0.0,0.0,0.0,0.0,0.0,0.0
P02916,0.0,0.0,0.0,0.0,0.0,0.0
P02918,5.209619637302208e-07,5.209619637302208e-07,3.094173062950493e-07,9.594557394218131e-08,0.0,9.594557394218131e-08
P02919,0.0,0.0,1.79459402825088e-07,2.2442523118477287e-07,2.159932124567801e-07,2.2442523100284033e-07
P02924,0.0,0.0,0.0,0.0,0.0,0.0
P02925,0.0,0.0,0.0,0.0,0.0,0.0
P03959,0.0,0.0,0.0,0.0,0.0,0.0
P03960,0.0,0.0,0.0,0.0,0.0,0.0
P03961,0.0,0.0,0.0,0.0,0.0,0.0
P04036,1.9765570000934342e-06,1.9765570000934342e-06,1.8548238621398502e-06,1.1703603459701688e-06,7.890540798745744e-07,1.170360345305543e-06
P04079,1.0303376558933479e-05,1.0303376558933479e-05,9.6688072750843e-06,6.100842704563687e-06,4.113173214800379e-06,6.10084270109913e-06
P04391,8.807465090098312e-09,8.807465090098312e-09,8.265026717319978e-09,0.0,0.0,0.0
P04425,0.0,0.0,0.0,0.0,0.0,0.0
P04693,7.580333434950919e-07,7.580333434951039e-07,3.56680404082597e-08,3.8660259007037365e-08,2.6064651971118758e-08,3.866025898508293e-08
P04805,1.6418685971331062e-07,1.641868597133106e-07,1.540748408630061e-07,9.721844091961037e-08,6.554443484931526e-08,9.721844086440185e-08
P04825,0.0,0.0,0.0,0.0,0.0,0.0
P04951,1.798819357296046e-07,1.798819357296046e-07,1.6880328103029945e-07,1.0651182056694136e-07,7.181000865468133e-08,1.0651182050645528e-07
P04968,4.8225635738048746e-11,4.8225635738048746e-11,4.525549221680364e-11,2.855539795935357e-11,1.9251979392374545e-11,2.8555397943137503e-11
P04982,0.0,0.0,0.0,0.0,0.0,0.0
P04983,0.0,0.0,0.0,0.0,0.0,0.0
P05020,1.3504033279332267e-05,1.3504033279332276e-05,1.2672340418440815e-05,7.996017853289782e-06,5.390895660138038e-06,7.996017848748995e-06
P05041,1.0108639439729897e-07,1.0108639439727592e-07,9.486063718722127e-08,5.985534822122103e-08,4.0354329227647484e-08,5.985534818722986e-08
P05042,0.0,0.0,0.0,0.0,0.0,5.435791042837403e-08
P05194,1.2446448801712912e-07,1.2446448801712904e-07,1.1679890959495597e-07,7.369800175246211e-08,4.968701234761926e-08,7.36980017106104e-08
P05459,1.612561125639452e-08,1.612561125639452e-08,1.5132459397091832e-08,9.548308481932067e-09,6.437446201515048e-09,9.548308476509766e-09
