"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"B8LFD5",0.66762507686935,0.481168475219988,0.897587744800197,0.873215000641277,0.685560796349961,0.962053975107642,0.749572598838155,0.96532731366037,0.836347769816981,0.984874363758269,0.705253355363588,0.404269572763,0.298525005586935,0.772535152837918,0.408480289074867,0.31001247871879,0.573530130276295,0.416753397833538,0.715264320166349,0.517415560480572,0.770164414823062
"D0EX67",0.924758412601321,0.753415349742703,0.874857589802133,0.735486115010029,0.523224758366466,0.780807459414001,0.764246731353082,0.496438997620914,0.364250210578819,0.293362567329769,0.187380982052638,0.410433919673655,0.277708301678109,0.99658449301991,0.779987748901084,0.862836363818851,0.912388516045997,0.60315415085729,0.983187148740943,0.824752976006116,0.758541888166562
"D4HZR9",0.644087615791605,0.87339351845804,0.764032805114067,0.89874123781703,0.951440844213617,0.947012851524623,0.893508639723593,0.91458892015263,0.772197758294637,0.841307820929132,0.466734925776315,0.621453677172424,0.997641553920896,0.225044942621664,0.114940738899731,0.457977411447092,0.664742000255814,0.185702487378379,0.777803859885903,0.277308161921924,0.989456962428887
"D8FH86",0.809196816214267,0.438315186449511,0.465234730212462,0.503463084035324,0.377253055343977,0.42405486389672,0.373862890418402,0.575367184683576,0.622033892464788,0.498734950296178,0.561581412875491,0.013639064461556,0.576447419545955,0.290051379234231,0.267030948261732,0.437505353473066,0.488125754988624,0.466058973438354,0.426736462912503,0.983450343130469,0.731141405469608
"D9IX93",0.0875055103234047,0.645063144259291,0.627952117651716,0.786208555488322,0.73749609576248,0.891142313210666,0.892845212209278,0.857009741270857,0.927811450498289,0.948348609445645,0.857571506394812,0.466202935854279,0.423476088501378,0.552605059439622,0.504593399727418,0.355787741412539,0.771085784415916,0.828281660554806,0.443592973126348,0.828340773242598,0.902598778050664
"E1MTY0",0.81789013936146,0.969607509676795,0.620603995054523,0.577315882424595,0.489025957356468,0.82337197011214,0.765121340945866,0.378252691047535,0.143308656248596,0.202066789814397,0.201891089829178,0.646408256654258,0.678658941580037,0.798182070815546,0.994119048956069,0.639942930639857,0.855774648901955,0.619941368810243,0.934591808727706,0.716552498767606,0.53299511568405
"P00350",0.76789091949759,0.874650466018934,0.291505363223348,0.268742409077242,0.398782875590727,0.392749882748646,0.309125588490105,0.437141875902658,0.153894305959341,0.0867906280613578,0.0440171710219202,0.571483080172552,0.940307820000926,0.552223822313618,0.880607795351164,0.985528003165343,0.887295624799708,0.323173870076893,0.17343638184157,0.461641789395316,0.564201155074699
"P00363",0.0375108751783235,0.083201459080314,0.130318079002066,0.0452079440176533,0.621163579598165,0.52695534816544,0.436184511430444,0.292883920765012,0.184656933882505,0.162522700698692,0.0798970546219303,0.947732124693452,0.857544030601627,0.890409119736774,0.669908955694763,0.930945600234606,0.631876266368728,0.329725862731615,0.324585433919206,0.0430792651512675,0.531823107495336
"P00370",0.00872826523482537,0.117048422491072,0.835257624775422,0.459634745975791,0.8428018387302,0.648824489664194,0.643776274693607,0.60468028910545,0.804379582475286,0.935314107749985,0.592063334512368,0.0338997488907712,0.0446263792106578,0.765647543295235,0.182623445868637,0.90114672530536,0.881889705155818,0.733846590155909,0.422474819355096,0.585653627727968,0.991523319600597
"P00393",0.748185223179206,0.930818647272231,0.341938179600005,0.358859569929446,0.612214937948071,0.637099063337073,0.984710494798625,0.842630830406874,0.513202718158332,0.659479737027469,0.880271754428089,0.27921851920679,0.189465424621765,0.573782156620853,0.46384654877171,0.686936821228433,0.195382197104545,0.501270365274607,0.738929992214413,0.663080688853889,0.401924857066673
"P00448",0.760872275012224,0.608198639825817,0.242718080795764,0.264921200667274,0.636915285786842,0.586677743332179,0.623422956637223,0.616019101262357,0.635311457230467,0.704764030689065,0.668048450768285,0.282513369134907,0.227278586226679,0.317905432504234,0.705737829115479,0.432973454818906,0.565543839272516,0.268623207302518,0.226193941648112,0.301051992605462,0.516296239632741
"P00452",0.384893746806112,0.175298363142319,0.878510630644986,0.910099059958939,0.465556340794275,0.595712411876687,0.381707085214414,0.137947132721872,0.164719649507683,0.135425412602862,0.333335657164652,0.748262376833619,0.771268422815636,0.749666620157762,0.443405724130544,0.945200873048342,0.643917384292133,0.460427638847399,0.807679126605788,0.832025683510219,0.44962776339988
"P00490",0.840172044449855,0.963238301865819,0.789670115953529,0.950277417562132,0.739861910034458,0.880156419596811,0.956125967537626,0.145022192490041,0.204687726237066,0.30411427307977,0.612656260131281,0.841175906964808,0.902334239261108,0.256179447224745,0.599197712957199,0.947623533415461,0.806136921300375,0.372951989135957,0.917089719028512,0.942974774198719,0.405664249475484
"P00509",0.106779126729679,0.419690221610535,0.339566534084425,0.486721433337259,0.521669829247472,0.567815124811642,0.52774918823632,0.618307537702598,0.687511843337083,0.877655043031303,0.583930238892314,0.740739979922632,0.704706835325564,0.811381405205404,0.987566096095868,0.540606843558147,0.452576121682936,0.496879925302818,0.536141433968397,0.320556795726956,0.590867912532717
"P00547",0.37080927706955,0.22218707215634,0.948494722972081,0.891126704557714,0.750713272303608,0.775706817918764,0.471131715104958,0.533786368146519,0.284748719817867,0.265050864589631,0.246751749622228,0.498224242862943,0.923150029141544,0.191189119305096,0.901300792659176,0.664419327587987,0.320701373481724,0.283100120306224,0.689671119307789,0.774469360370888,0.784344506123689
"P00550",0.357103891879401,0.270429220467562,0.314334356459886,0.238286174594374,0.303623488613347,0.227390553265697,0.851477717716268,0.111540842651997,0.0687277910819211,0.0237742639791277,0.0154967712386143,0.0805840179147675,0.0381535249184781,0.720263741151323,0.616422698572364,0.715405573202721,0.56704795174281,0.116804040524965,0.135082931255821,0.250522285356297,0.425997773716717
"P00561",0.0706114062653455,0.0610271745734315,0.406042274006523,0.632382539352116,0.990552456437641,0.877715996497387,0.292368283681245,0.507659406475064,0.680215672367202,0.3782060108044,0.240705211160767,0.846122636828963,0.973768842375819,0.840395759210684,0.668071082431987,0.886433228693834,0.452265861607372,0.878803896057106,0.375158377453481,0.762696223893847,0.448274340854218
"P00562",0.163352065875706,0.0996292742345972,0.668756779937038,0.141333233815982,0.367760787656988,0.483465186362602,0.345771066083701,0.865893117707245,0.427609734037782,0.645891705084974,0.664570281380118,0.350571377638995,0.282943054528112,0.439227872225405,0.642932159258588,0.990532316898521,0.700686654745028,0.583425893733836,0.515937005403477,0.387145550648523,0.788325619990692
"P00579",0.188243895399417,0.65356726576195,0.997776747399059,0.827117277095063,0.927106718433078,0.993364369180718,0.811505570921775,0.535880337661702,0.80257679832671,0.780750947205995,0.507924873983962,0.469331505742132,0.440104164625276,0.739317198223058,0.482147573160238,0.859583348840354,0.78426401389641,0.802574736487442,0.6834492772873,0.912402785635466,0.91614357543433
"P00582",0.406521465037707,0.845740629137864,0.691634691398613,0.684554066394595,0.847333994238975,0.830351115733002,0.544861140113345,0.673752719325037,0.718090766833127,0.66504407109203,0.567346830653099,0.805659571063101,0.991793739184533,0.332311849931812,0.674535685649108,0.620932679556441,0.990607094976241,0.98269705501967,0.84856823920389,0.927544423697244,0.960848066780594
"P00803",0.665485151116159,0.843579386357296,0.694309936959978,0.956479043431156,0.944413038874282,0.981628534970027,0.891905847832224,0.900993104917248,0.988485618948079,0.996825750896138,0.751645697151161,0.957703305180125,0.686237006415941,0.465586183458698,0.882576228640262,0.661025275067178,0.916476929125848,0.960381953688039,0.983693611165428,0.809476795518455,0.957943736135281
"P00805",0.134370538881894,0.76589049610956,0.737491137558034,0.628231934958576,0.588420661427534,0.776598114498785,0.823083138677616,0.381263256389121,0.670794048945389,0.467841076768464,0.51273720903935,0.867176763203393,0.634734480015964,0.88461778403109,0.316141788375876,0.986105725017665,0.756154274725741,0.62105384971429,0.927638453293068,0.395773971137896,0.342195942081529
"P00811",0.708469160642386,0.579733021997111,0.595627761774849,0.80441584759072,0.725176072755821,0.593339594843473,0.667405561361608,0.563113969690435,0.406099788365566,0.398912382928513,0.266453798617239,0.00570259930854497,0.726521073114659,0.802240533967598,0.656200290712624,0.505652254312165,0.49220531994209,0.341818214973427,0.388067197423122,0.519536327738907,0.152672532834063
"P00861",0.014197545653851,0.0143471470619352,0.691622182257054,0.983123080889499,0.702748990289072,0.92111608445071,0.876120817249547,0.822352341641263,0.908009083840738,0.56065896622821,0.254315918885556,0.178313995798414,0.198303534435604,0.975744716479569,0.845940773335194,0.847692229089129,0.877548349637709,0.735701358738556,0.688901035625212,0.791391324565853,0.670187161394591
"P00864",0.0298902637776673,0.0826262514050417,0.345113339802134,0.234122485034011,0.975528978231255,0.500546385911243,0.276435624836875,0.620091463684032,0.967210909916138,0.820596381815065,0.67291222711277,0.566815858379012,0.854456698407101,0.797098440013942,0.921130490275665,0.505056364326126,0.958447405220011,0.793110776659888,0.515245078229726,0.257001284388676,0.561186682997096
"P00887",0.140775890836815,0.0584261573368245,0.252118710265556,0.334064840358003,0.403666817396105,0.404976669256472,0.312482597167049,0.487033805813772,0.269423574669839,0.082944109883925,0.106053994604879,0.758633971602864,0.696108502783475,0.918444153410406,0.93233950069074,0.747780943429031,0.668763165745528,0.332670965431877,0.591144902553066,0.635134313543899,0.804070740575762
"P00888",0.104470941654474,0.112731250596903,0.983772873730422,0.634066784076674,0.609916444221915,0.969825734041204,0.418140433002587,0.727313848947875,0.436451801818429,0.316448185871304,0.262385353284558,0.0672208808122915,0.0364096527337182,0.297467321512096,0.0299842542279402,0.180191602055282,0.118523393290825,0.619660303544821,0.820534480610097,0.790173882780937,0.644228785436116
"P00892",0.67169960560405,0.399182656975889,0.44063645156211,0.739330746790005,0.726175003431073,0.804463053594944,0.684621068111551,0.592026109074423,0.161536816718153,0.0863969183897153,0.0649209326720831,0.0399170454570562,0.00744521566051032,0.343732736617817,0.9430193416091,0.0312588469591912,0.876812827879617,0.525334128766726,0.327586970110521,0.728996945161284,0.794895101757668
"P00893",0.00899994748592403,0.0126823950520769,0.951616148400143,0.894641866443903,0.997857023802095,0.800428708706538,0.716601411101527,0.786765423554001,0.752318042775402,0.761749586038596,0.906591180311634,0.964250700801739,0.855270196607836,0.804904500717506,0.800326471518553,0.917038532409622,0.917309103167208,0.947145447462531,0.890011292401107,0.76934845660021,0.971480994079837
