,pyruvate
O32583,2.177790524206981e-06
P00350,0.0
P00363,0.0
P00370,4.0633740207288307e-08
P00393,0.0
P00448,4.260654722816184e-08
P00452,0.0
P00490,0.0
P00509,8.10381376704211e-06
P00547,1.4310811283731826e-05
P00550,0.0
P00561,1.2843815338835217e-05
P00562,4.4960574424696175e-07
P00634,0.0
P00722,0.0
P00805,0.0
P00816,0.0
P00861,2.569624007865865e-06
P00864,0.0
P00887,0.0
P00888,3.6610218801033144e-07
P00893,1.9394830541132063e-06
P00894,1.9394830541132063e-06
P00895,4.827218503284684e-08
P00903,1.1701531537467777e-07
P00904,1.5622427316614196e-06
P00909,8.495319419318328e-07
P00926,0.0
P00934,6.54632410123486e-05
P00935,1.4906736037188487e-07
P00936,0.0
P00944,0.0
P00946,0.0
P00963,2.250601489861458e-06
P00968,0.0
P02916,0.0
P02918,6.030537427669516e-07
P02919,0.0
P02924,0.0
P02925,0.0
P03959,0.0
P03960,0.0
P03961,0.0
P04036,2.288017513147702e-06
P04079,1.2603442614181076e-05
P04391,0.0
P04425,0.0
P04693,3.861154650144043e-06
P04805,1.9005898156998335e-07
P04825,0.0
P04951,2.0822724526982482e-07
P04968,0.0
P04982,0.0
P04983,0.0
P05020,3.2916247234220504e-05
P05041,1.1701531537467777e-07
P05042,1.3246199831387478e-06
P05194,1.4407726583887635e-07
P05459,3.73332830402572e-08
P05637,0.0
P05706,0.0
P05707,0.0
P05791,1.0401181477847414e-06
P05793,3.0376837868990177e-05
P05804,0.0
P05847,0.0
P06149,0.0
P06282,0.0
P06609,0.0
P06610,0.0
P06611,0.0
P06715,5.3850629301094293e-08
P06720,0.0
P06721,0.0
P06959,0.0
P06960,1.0195321648517777e-08
P06968,0.0
P06972,0.0
P06983,8.362685506985923e-07
P06986,3.5814514655641596e-09
P06987,1.629051612988684e-08
P06988,7.656838350759169e-06
P06989,2.2428936727629667e-06
P06999,0.0
P07000,0.0
P07001,0.0
P07003,0.0
P07004,2.9163515809826656e-07
P07014,2.167049630236486e-05
P07023,1.7193973343352192e-10
P07024,0.0
P07102,0.0
P07109,0.0
P07623,4.91207373673056e-07
P07639,1.7865349426776723e-09
P07650,1.7324820849506112e-09
P07654,0.0
P07762,0.0
P07821,0.0
P07822,0.0
P07862,0.0
P07913,0.0
P08142,1.4264811828724545e-06
P08178,1.3900936733172552e-05
P08179,7.943304915661177e-07
P08192,7.424414170459728e-09
P08200,7.355711110543391e-05
P08201,0.0
P08202,0.0
P08203,0.0076104
P08204,0.0
P08244,1.9435896434040493e-06
P08331,0.0
P08337,3.074477991211474e-08
P08373,1.622993004445116e-07
P08506,0.0
P08660,4.80528419425405e-06
P08722,0.0
P08839,0.0
P08997,0.0
P09029,9.427604956416563e-06
P09053,0.04448171436711605
P09099,0.0
P09126,1.0453545046037933e-10
P09147,0.0
P09148,0.0
P09151,4.061498724989526e-06
P09152,0.0
P09158,0.0
P09323,0.0
P09373,0.0
P09394,0.0
P09424,0.0
P09546,0.0
P09551,0.0
P09831,3.398672639737754e-06
P09832,3.398672639737754e-06
P09833,2.8783854460912917e-12
P0A6A3,1.8150339253806932e-05
P0A6A6,1.325765331654902e-09
P0A6A8,2.5593410588105924e-05
P0A6B4,3.81581260867017e-08
P0A6B7,7.706891675661956e-06
P0A6C5,4.4441289637307604e-05
P0A6C8,7.686143661189329e-07
P0A6D3,4.46641775157055e-07
P0A6D5,0.0
P0A6D7,1.2761078726092472e-06
P0A6E1,0.0
P0A6E4,5.0445621405363915e-05
P0A6E6,0.0004085093904133412
P0A6F1,0.0
P0A6F3,0.0
P0A6G3,0.0
P0A6G5,0.0
P0A6H8,0.0
P0A6I0,5.729167559587754e-07
P0A6I3,6.928542789215899e-08
P0A6I6,1.6275791355542132e-08
P0A6I9,1.6421380040926624e-06
P0A6J1,1.0662331729057677e-07
P0A6J5,0.0
P0A6J8,2.08747568890131e-07
P0A6K1,3.3961879653090484e-07
P0A6K6,1.004696940393345e-06
P0A6L0,0.0
P0A6L2,3.505737367443343e-07
P0A6L4,0.0
P0A6L7,0.0
P0A6P9,4.26877787980021e-05
P0A6Q3,0.0
P0A6Q6,2.426365586469749e-13
P0A6R0,3.666971137237057e-11
P0A6S7,2.806923455525607e-07
P0A6T1,0.0
P0A6T3,0.0
P0A6T5,2.2400252067612103e-05
P0A6T9,0.0
P0A6U8,0.0
P0A6V1,0.0
P0A6V5,0.0
P0A6V8,0.0
P0A6W0,0.0
P0A6W3,6.109787880645888e-07
P0A6W9,0.0
P0A6X1,2.7876621888915903e-06
P0A715,4.560183238020494e-08
P0A717,0.0
P0A720,8.048413651687216e-08
P0A722,4.342992568285412e-07
P0A725,1.3818612717271764e-06
P0A731,0.0
P0A738,0.0
P0A744,0.0
P0A746,0.0
P0A749,6.85586758884357e-07
P0A752,4.8538445380446384e-08
P0A754,0.0
P0A759,0.0
P0A761,0.0
P0A763,2.5752174281412144e-07
P0A786,1.9575484126534511e-07
P0A790,1.2151821230285702e-07
P0A794,1.8666641520127314e-08
P0A796,0.0
P0A799,5.219976888071418e-07
P0A7A7,1.633640263850363e-06
P0A7A9,1.1642815305894667e-06
P0A7B1,0.0
P0A7B3,4.1907179614549973e-10
P0A7B5,1.459341547734858e-06
P0A7D4,1.2450436884765912e-05
P0A7D7,7.184491370855969e-07
P0A7E1,9.491963089593093e-07
P0A7E3,2.5509577336074858e-05
P0A7E5,1.3437052152549045e-06
P0A7E9,0.0
P0A7F3,0.0
P0A7F6,0.0
P0A7I7,3.484577736115146e-07
P0A7J0,8.779653176042589e-07
P0A7Z0,2.1815159464613533e-09
P0A817,7.016033199620651e-08
P0A825,1.4418317481605573e-05
P0A836,3.879527107985759e-06
P0A840,1.9150699313103178e-09
P0A853,1.787717534450103e-06
P0A858,1.3164432295882692e-08
P0A867,0.0
P0A870,1.010665271813447e-06
P0A877,9.043630432578308e-09
P0A879,9.043630432578308e-09
P0A884,6.38834830228698e-08
P0A887,0.0
P0A8F0,0.0
P0A8F4,0.0
P0A8G3,0.0
P0A8G6,0.0
P0A8K1,4.443534364095068e-08
P0A8N5,0.0
P0A8Q0,0.0
P0A8Q3,0.0
P0A8Y1,6.06749369560266e-08
P0A8Y3,0.0
P0A8Y5,0.0
P0A8Y8,0.0
P0A921,0.0
P0A924,3.618322456601709e-07
P0A935,0.0
P0A951,0.0
P0A953,0.00011400586906071692
P0A955,5.4675430911193904e-06
P0A959,0.0
P0A962,0.0
P0A991,7.78147696755937e-06
P0A993,0.0
P0A996,0.0
P0A9B2,4.352270453285164e-05
P0A9B6,2.613386261509663e-10
P0A9C0,0.0
P0A9C3,0.0
P0A9C5,6.328883869021711e-05
P0A9C9,0.0
P0A9D4,1.4501376728526162e-07
P0A9D8,1.0062895081764516e-06
P0A9G6,0.0
P0A9H3,0.0
P0A9H5,3.9616449088385326e-07
P0A9H7,0.0
P0A9I1,0.0
P0A9I8,0.0
P0A9J4,3.1594450845841682e-09
P0A9J6,0.0
P0A9J8,3.341766580062481e-10
P0A9L8,6.4763876815503245e-09
P0A9M2,0.0
P0A9M5,0.0
P0A9M8,0.0
P0A9N4,0.0
P0A9N8,0.0
P0A9P0,1.6626417948516713e-06
P0A9P4,1.4214770300014958e-05
P0A9P9,0.00075758
P0A9Q5,3.030232236804335e-07
P0A9Q7,8.38446300217453e-06
P0A9Q9,1.726490269174218e-06
P0A9S1,0.0
P0A9S3,0.0
P0A9S5,9.224337309202606e-08
P0A9T0,2.256865668690145e-09
P0A9U8,0.0011111
P0A9V1,8.000266748450309e-09
P0A9V8,0.0
P0A9X1,0.0
P0AA04,0.0
P0AA25,4.130760364335295e-05
P0AA84,0.83544
P0AA89,0.0
P0AAB4,4.8395344982377353e-11
P0AAF3,0.0
P0AAF6,0.0
P0AAG3,0.0
P0AAG8,0.0
P0AAH0,0.0
P0AAI1,0.0
P0AAI5,0.0
P0AAI9,5.77267637843563e-09
P0AAJ1,0.0
P0AAJ3,0.0
P0AAJ5,0.0
P0AAJ8,0.0
P0AAK1,0.0
P0AAK7,0.0
P0AAL3,0.0
P0AAM1,0.0
P0AAN3,0.0
P0AAX8,0.0
P0AB65,0.0
P0AB67,0.0
P0AB71,2.9628018532349712e-05
P0AB74,0.0
P0AB77,2.8361447943763766e-07
P0AB80,1.0093181407000655e-06
P0AB87,0.0
P0AB89,1.6799114552555563e-06
P0AB91,0.0
P0AB96,0.0
P0AB98,0.0004085093904133412
P0ABA0,0.0004085093904133412
P0ABA4,0.0004085093904133412
P0ABA6,0.0004085093904133412
P0ABB0,0.0004085093904133412
P0ABB4,0.0004085093904133412
P0ABB8,0.0
P0ABC0,0.0
P0ABD3,0.0
P0ABD5,3.030232236804335e-07
P0ABD8,3.030232236804335e-07
P0ABE9,1.2624728556356803e-07
P0ABF6,0.0
P0ABF8,0.0
P0ABG1,1.8265543392418555e-06
P0ABG4,2.3261063058146323e-08
P0ABH7,1.1942090404984668e-05
P0ABI8,1.2073116721843936e-05
P0ABJ1,1.2073116721843936e-05
P0ABJ3,1.2073116721843936e-05
P0ABJ6,1.2073116721843936e-05
P0ABJ9,2.2238458983726336e-07
P0ABK2,2.2238458983726336e-07
P0ABK5,0.0
P0ABK9,0.0
P0ABL1,0.0
P0ABL3,0.0
P0ABL5,0.0
P0ABL8,0.0
P0ABM1,0.0
P0ABM5,0.0
P0ABN1,0.0
P0ABP8,1.3819608061342746e-08
P0ABQ0,1.1699557941020008e-07
P0ABQ2,0.0
P0ABQ4,4.866313043824004e-08
P0ABR5,0.0
P0ABR9,0.0
P0ABU0,0.0
P0ABW0,0.0
P0ABY4,5.9285436797242906e-08
P0ABZ4,1.9706400600906475e-07
P0AC00,0.0
P0AC13,7.192692291199229e-07
P0AC16,8.809100576856817e-07
P0AC19,0.0
P0AC28,0.0
P0AC33,6.9909000332115565e-06
P0AC35,0.0
P0AC38,1.2353174609138038e-06
P0AC41,2.167049630236486e-05
P0AC44,2.167049630236486e-05
P0AC47,0.0
P0AC53,0.0
P0AC59,4.672737981314494e-05
P0AC62,1.2070584828980516e-05
P0AC69,0.0
P0AC75,3.1206178692321824e-07
P0AC78,0.0
P0AC81,0.0
P0AC84,0.0
P0AC86,0.0
P0AC88,0.0
P0ACB2,8.44698221986347e-08
P0ACB4,8.949845981393031e-08
P0ACC7,4.653654238649403e-08
P0ACD4,5.351700481010876e-06
P0ACD8,0.0
P0ACE0,0.0
P0ACE7,0.0
P0ACV0,0.0
P0ACV2,0.0
P0AD57,1.3066931307547416e-08
P0AD61,9.183400302372323e-08
P0AD65,6.030537427669516e-07
P0AD68,6.030537427669516e-07
P0AD70,0.0
P0ADA1,0.0
P0ADC1,8.000266748450309e-09
P0ADC6,8.000266748450309e-09
P0ADF6,0.0
P0ADF8,1.4264811828724545e-06
P0ADG4,0.0
P0ADG7,9.716459424299315e-06
P0ADI4,0.0
P0ADP0,2.9037206989431898e-08
P0ADU2,1.6387369522128342e-07
P0ADV1,8.000266748450309e-09
P0ADV9,8.000266748450309e-09
P0AE08,2.0602032648246753e-06
P0AE12,0.0
P0AE22,0.0
P0AE26,0.0
P0AE30,0.0
P0AE34,0.0
P0AE37,0.0
P0AE52,0.0
P0AE76,0.0
P0AEA5,0.0
P0AEA8,2.063171455793236e-09
P0AEB0,0.0
P0AEB2,0.0
P0AED7,3.8132581891488993e-07
P0AEE5,0.0
P0AEG6,0.0
P0AEI6,0.0
P0AEJ2,0.0
P0AEJ6,0.0
P0AEK2,4.708115458925919
P0AEK4,3.939258025105254e-11
P0AEK7,0.0
P0AEL0,0.0
