,pyruvate
O32583,1087
P00350,0
P00363,0
P00370,20
P00393,0
P00448,21
P00452,0
P00490,0
P00509,4044
P00547,7142
P00550,0
P00561,6410
P00562,224
P00634,0
P00722,0
P00805,0
P00816,0
P00861,1282
P00864,0
P00887,0
P00888,183
P00893,968
P00894,968
P00895,24
P00903,58
P00904,780
P00909,424
P00926,0
P00934,32671
P00935,74
P00936,0
P00944,0
P00946,0
P00963,1123
P00968,0
P02916,0
P02918,301
P02919,0
P02924,0
P02925,0
P03959,0
P03960,0
P03961,0
P04036,1142
P04079,6290
P04391,0
P04425,0
P04693,1927
P04805,95
P04825,0
P04951,104
P04968,0
P04982,0
P04983,0
P05020,16428
P05041,58
P05042,661
P05194,72
P05459,19
P05637,0
P05706,0
P05707,0
P05791,519
P05793,15160
P05804,0
P05847,0
P06149,0
P06282,0
P06609,0
P06610,0
P06611,0
P06715,27
P06720,0
P06721,0
P06959,0
P06960,5
P06968,0
P06972,0
P06983,417
P06986,2
P06987,8
P06988,3821
P06989,1119
P06999,0
P07000,0
P07001,0
P07003,0
P07004,146
P07014,10815
P07023,0
P07024,0
P07102,0
P07109,0
P07623,245
P07639,1
P07650,1
P07654,0
P07762,0
P07821,0
P07822,0
P07862,0
P07913,0
P08142,712
P08178,6938
P08179,396
P08192,4
P08200,36710
P08201,0
P08202,0
P08203,3798147
P08204,0
P08244,970
P08331,0
P08337,15
P08373,81
P08506,0
P08660,2398
P08722,0
P08839,0
P08997,0
P09029,4705
P09053,22199634
P09099,0
P09126,0
P09147,0
P09148,0
P09151,2027
P09152,0
P09158,0
P09323,0
P09373,0
P09394,0
P09424,0
P09546,0
P09551,0
P09831,1696
P09832,1696
P09833,0
P0A6A3,9058
P0A6A6,1
P0A6A8,12773
P0A6B4,19
P0A6B7,3846
P0A6C5,22179
P0A6C8,384
P0A6D3,223
P0A6D5,0
P0A6D7,637
P0A6E1,0
P0A6E4,25176
P0A6E6,203876
P0A6F1,0
P0A6F3,0
P0A6G3,0
P0A6G5,0
P0A6H8,0
P0A6I0,286
P0A6I3,35
P0A6I6,8
P0A6I9,820
P0A6J1,53
P0A6J5,0
P0A6J8,104
P0A6K1,169
P0A6K6,501
P0A6L0,0
P0A6L2,175
P0A6L4,0
P0A6L7,0
P0A6P9,21304
P0A6Q3,0
P0A6Q6,0
P0A6R0,0
P0A6S7,140
P0A6T1,0
P0A6T3,0
P0A6T5,11179
P0A6T9,0
P0A6U8,0
P0A6V1,0
P0A6V5,0
P0A6V8,0
P0A6W0,0
P0A6W3,305
P0A6W9,0
P0A6X1,1391
P0A715,23
P0A717,0
P0A720,40
P0A722,217
P0A725,690
P0A731,0
P0A738,0
P0A744,0
P0A746,0
P0A749,342
P0A752,24
P0A754,0
P0A759,0
P0A761,0
P0A763,129
P0A786,98
P0A790,61
P0A794,9
P0A796,0
P0A799,261
P0A7A7,815
P0A7A9,581
P0A7B1,0
P0A7B3,0
P0A7B5,728
P0A7D4,6214
P0A7D7,359
P0A7E1,474
P0A7E3,12731
P0A7E5,671
P0A7E9,0
P0A7F3,0
P0A7F6,0
P0A7I7,174
P0A7J0,438
P0A7Z0,1
P0A817,35
P0A825,7196
P0A836,1936
P0A840,1
P0A853,892
P0A858,7
P0A867,0
P0A870,504
P0A877,5
P0A879,5
P0A884,32
P0A887,0
P0A8F0,0
P0A8F4,0
P0A8G3,0
P0A8G6,0
P0A8K1,22
P0A8N5,0
P0A8Q0,0
P0A8Q3,0
P0A8Y1,30
P0A8Y3,0
P0A8Y5,0
P0A8Y8,0
P0A921,0
P0A924,181
P0A935,0
P0A951,0
P0A953,56897
P0A955,2729
P0A959,0
P0A962,0
P0A991,3884
P0A993,0
P0A996,0
P0A9B2,21721
P0A9B6,0
P0A9C0,0
P0A9C3,0
P0A9C5,31586
P0A9C9,0
P0A9D4,72
P0A9D8,502
P0A9G6,0
P0A9H3,0
P0A9H5,198
P0A9H7,0
P0A9I1,0
P0A9I8,0
P0A9J4,2
P0A9J6,0
P0A9J8,0
P0A9L8,3
P0A9M2,0
P0A9M5,0
P0A9M8,0
P0A9N4,0
P0A9N8,0
P0A9P0,830
P0A9P4,7094
P0A9P9,378088
P0A9Q5,151
P0A9Q7,4184
P0A9Q9,862
P0A9S1,0
P0A9S3,0
P0A9S5,46
P0A9T0,1
P0A9U8,554520
P0A9V1,4
P0A9V8,0
P0A9X1,0
P0AA04,0
P0AA25,20616
P0AA84,416945756
P0AA89,0
P0AAB4,0
P0AAF3,0
P0AAF6,0
P0AAG3,0
P0AAG8,0
P0AAH0,0
P0AAI1,0
P0AAI5,0
P0AAI9,3
P0AAJ1,0
P0AAJ3,0
P0AAJ5,0
P0AAJ8,0
P0AAK1,0
P0AAK7,0
P0AAL3,0
P0AAM1,0
P0AAN3,0
P0AAX8,0
P0AB65,0
P0AB67,0
P0AB71,14787
P0AB74,0
P0AB77,142
P0AB80,504
P0AB87,0
P0AB89,838
P0AB91,0
P0AB96,0
P0AB98,203876
P0ABA0,203876
P0ABA4,203876
P0ABA6,203876
P0ABB0,203876
P0ABB4,203876
P0ABB8,0
P0ABC0,0
P0ABD3,0
P0ABD5,151
P0ABD8,151
P0ABE9,63
P0ABF6,0
P0ABF8,0
P0ABG1,912
P0ABG4,12
P0ABH7,5960
P0ABI8,6025
P0ABJ1,6025
P0ABJ3,6025
P0ABJ6,6025
P0ABJ9,111
P0ABK2,111
P0ABK5,0
P0ABK9,0
P0ABL1,0
P0ABL3,0
P0ABL5,0
P0ABL8,0
P0ABM1,0
P0ABM5,0
P0ABN1,0
P0ABP8,7
P0ABQ0,58
P0ABQ2,0
P0ABQ4,24
P0ABR5,0
P0ABR9,0
P0ABU0,0
P0ABW0,0
P0ABY4,30
P0ABZ4,98
P0AC00,0
P0AC13,359
P0AC16,440
P0AC19,0
P0AC28,0
P0AC33,3489
P0AC35,0
P0AC38,617
P0AC41,10815
P0AC44,10815
P0AC47,0
P0AC53,0
P0AC59,23320
P0AC62,6024
P0AC69,0
P0AC75,156
P0AC78,0
P0AC81,0
P0AC84,0
P0AC86,0
P0AC88,0
P0ACB2,42
P0ACB4,45
P0ACC7,23
P0ACD4,2671
P0ACD8,0
P0ACE0,0
P0ACE7,0
P0ACV0,0
P0ACV2,0
P0AD57,7
P0AD61,46
P0AD65,301
P0AD68,301
P0AD70,0
P0ADA1,0
P0ADC1,4
P0ADC6,4
P0ADF6,0
P0ADF8,712
P0ADG4,0
P0ADG7,4849
P0ADI4,0
P0ADP0,14
P0ADU2,82
P0ADV1,4
P0ADV9,4
P0AE08,1028
P0AE12,0
P0AE22,0
P0AE26,0
P0AE30,0
P0AE34,0
P0AE37,0
P0AE52,0
P0AE76,0
P0AEA5,0
P0AEA8,1
P0AEB0,0
P0AEB2,0
P0AED7,190
P0AEE5,0
P0AEG6,0
P0AEI6,0
P0AEJ2,0
P0AEJ6,0
P0AEK2,2349694483
P0AEK4,0
P0AEK7,0
P0AEL0,0
P0AEL6,0
P0AEM9,0
P0AEN1,0
P0AEP3,0
P0AEP7,0
P0AEP9,0
P0AEQ3,0
P0AEQ6,0
P0AER3,0
P0AER5,0
P0AES0,0
P0AES2,0
P0AET8,0
P0AEU0,0
P0AEU3,0
P0AEW4,0
P0AEW6,0
P0AEW9,0
P0AEX9,0
P0AEY3,0
P0AEZ1,164
P0AEZ7,0
P0AF01,0
P0AF03,0
P0AF12,13
P0AF16,12
P0AF18,0
P0AF24,0
P0AF26,0
P0AF32,0
P0AF98,4
P0AFA9,0
P0AFC0,0
P0AFC3,1559
P0AFC7,1559
P0AFD1,1559
P0AFD4,1559
P0AFD6,1559
P0AFE0,1559
P0AFE4,1559
P0AFE8,1559
P0AFF0,1559
P0AFG3,830
P0AFG6,830
P0AFG8,0
P0AFI0,0
P0AFI5,0
P0AFI7,0
P0AFK4,0
P0AFK6,0
P0AFK9,0
P0AFL1,0
P0AFL6,38
P0AFM2,0
P0AFP4,0
P0AFQ5,0
P0AFR9,0
P0AFS1,0
P0AFS3,39
P0AFS9,0
P0AFT2,0
P0AFU8,195
P0AFV4,0
P0AG00,0
P0AG07,265934
P0AG16,433
P0AG18,1779
P0AG20,0
P0AG24,0
P0AG40,4
P0AG78,0
P0AG80,0
P0AG82,0
P0AG84,0
P0AGB0,101
P0AGC3,0
P0AGC5,0
P0AGD1,0
P0AGD3,0
P0AGE6,0
P0AGE9,1936
P0AGF6,1618
P0AGG0,207
P0AGG2,208
P0AGG4,244
P0AGH8,0
P0AGI1,0
P0AGI4,0
P0AGK1,6521
P0C066,0
P0C0T5,0
P0C7L2,0
P0C8J6,0
P0C8J8,0
P0C8K0,0
P0C960,0
P0CI31,0
P0DP69,0
P10346,0
P10371,387
P10378,0
P10441,1
P10902,24
P10905,0
P10906,0
P10907,0
P10908,0
P11349,0
P11350,0
P11446,11712
P11447,6
P11454,0
P11458,167
P11553,0
P11868,2414070
P11880,35
P11988,0
P12008,476
P12281,0
P12282,0
P12758,153
P12995,0
P12996,0
P12998,2
P12999,0
P13000,84
P13001,0
P13009,357
P13016,0
P13029,58
P13033,0
P13035,0
P13482,0
P14081,0
P14175,0
P14176,0
P14407,4816
P14900,977
P15028,0
P15029,0
P15030,0
P15031,0
P15042,0
P15047,0
P15067,0
P15254,555463
P15288,0
P15639,32240132
P15640,1790
P15723,0
P15770,68
P15877,0
P15977,0
P16095,0
P16429,0
P16430,0
P16431,0
P16432,0
P16433,0
P16456,0
P16676,0
P16677,0
P16679,0
P16682,0
P16685,0
P16686,0
P16687,0
P16688,0
P16689,0
P16690,23843
P16691,0
P16692,0
P16700,0
P16701,0
P16703,603
P17109,0
P17115,66
P17169,321
P17334,0
P17411,0
P17443,116
P17444,0
P17445,0
P17846,366
P17854,43208
P17952,1625
P17993,0
P18133,0
P18200,0
P18335,0
P18775,0
P18776,0
P18777,0
P18843,33
P18956,0
P19317,0
P19318,0
P19319,0
P19624,9
P19636,0
P19642,0
P19925,0
P19926,0
P20099,0
P20966,0
P21151,1177
P21156,624
P21169,0
P21170,0
P21177,1267
P21179,0
P21369,0
P21437,1
P21514,0
P21515,0
P21517,0
P21599,0
P21645,99
P21829,0
P22106,3649
P22188,1250
P22255,1270
P22256,0
P22259,8843
P22333,0
P22525,0
P22564,0
P22634,134
P22939,66
P23200,0
P23256,199
P23331,289
P23522,0
P23524,0
P23538,0
P23721,21
P23830,25
P23845,624
P23857,0
P23871,0
P23876,0
P23877,0
P23878,0
P23883,0
P23893,220
P23908,5
P23917,0
P23930,0
P24169,0
P24173,0
P24174,0
P24175,0
P24182,151
P24183,0
P24186,2534
P24203,0
P24205,0
P24215,0
P24224,0
P24228,0
P24232,0
P24240,0
P24241,0
P25397,0
P25437,0
P25516,204976173
P25519,0
P25524,0
P25526,0
P25534,0
P25535,0
P25536,0
P25539,1
P25552,0
P25553,0
P25665,13452
P25718,0
P25740,0
P25741,0
P25742,0
P25889,0
P26281,7
P26365,0
P26458,0
P26459,0
P26602,31
P26612,0
P26616,494
P26646,0
P26647,5
P27126,0
P27127,0
P27128,0
P27129,0
P27240,0
P27241,0
P27242,0
P27243,0
P27247,0
P27248,0
P27250,0
P27253,0
P27254,0
P27278,0
P27300,474
P27302,1040
P27306,205
P27550,0
P27828,0
P27829,0
P27830,0
P27832,0
P27833,0
P27835,0
P27836,0
P27848,0
P28248,0
P28305,0
P28306,0
P28629,0
P28635,0
P28861,22
P28903,10
P28904,0
P29012,15
P29208,0
P29680,41
P30011,952
P30125,382
P30126,1
P30136,0
P30137,66
P30138,1087
P30139,0
P30140,1087
P30147,20089
P30235,0
P30744,0
P30745,0
P30748,0
P30749,0
P30750,0
P30859,0
P30860,0
P30863,0
P31057,50
P31119,11738
P31120,700
P31129,0
P31133,0
P31134,0
P31135,0
P31142,0
P31434,0
P31441,0
P31459,0
P31467,0
P31545,0
P31547,0
P31548,0
P31549,0
P31550,0
P31551,0
P31552,0
P31554,4
P31572,0
P31658,0
P31660,0
P31663,28
P31677,0
P31678,0
P31806,0
P31979,1559
P32055,0
P32056,0
P32099,0
P32125,0
P32131,0
P32138,0
P32140,0
P32141,0
P32143,0
P32166,0
P32169,0
P32170,0
P32171,0
P32173,0
P32176,0
P32662,0
P32664,0
P32669,5658091
P32674,243306
P32675,243306
P32709,0
P32718,0
P32719,12603
