,ac_1,ac_2,ac_3,ac_original,ac_original_1,ac_original_2
chbB,0.0,0.0,0.0,778.52347098222,722.842713843346,643.763656524197
yghU,0.0,0.0,0.0,995.133432621134,1040.64573696801,927.386633178478
glpA,0.0,0.0,0.0,15.3096198203812,12.5791009044582,16.8251266013508
rffG,0.0,0.0,0.0,17.116024889242,13.1699483088472,14.6052208502821
acnB,38842.73048318267,38842.73048318267,38842.73048318267,22426.9657144047,25951.6240916731,22843.9674488163
xylH,0.0,0.0,0.0,0.0111089897610052,0.0111421579138956,0.572422367685005
argT,0.0,0.0,0.0,13569.8451919349,11673.5644058553,12700.474809075
gpsA,0.0,0.0,0.0,307.192766653529,299.921323852523,309.202187910514
leuC,0.0,0.0,0.0,3296.20499174576,3551.49086387965,3713.22276234717
ansB,0.0,0.0,0.0,1.07854280644377,1.50472993728864,1.91184320554477
gabT,0.0,0.0,0.0,1061.03183366844,1029.43027542398,1092.71221666346
ahpF,0.0,0.0,0.0,2202.7368665636,2537.55537280277,2071.83807118451
betB,0.0,0.0,0.0,63.4180474864665,82.3754589068985,61.8965511923615
aspA,0.0,0.0,0.0,771.209218046972,781.945803233068,780.314921122045
grxD,0.0,0.0,0.0,3207.51966521993,2827.37172329376,2828.53033366644
alr,0.0,0.0,0.0,13.7582770522222,22.5819500366413,17.006380925989
hyaA,0.0,0.0,0.0,0.412730184821231,0.111512740276059,0.282538608635906
yieF,0.0,0.0,0.0,2732.33904514811,2670.48728211796,2217.01778387777
atpH,43746.892935527554,43746.892935527554,43746.892935527554,6030.95023431126,4601.98887107923,5679.35358636018
hisA,0.0,0.0,0.0,738.404945550014,689.995374906947,593.797542784291
melA,0.0,0.0,0.0,22.7827025460399,25.2946094214207,18.1100495779232
fabH,0.0,0.0,0.0,1366.86768586691,1495.53838301032,1481.28402661438
grxB,0.0,0.0,0.0,1818.44589860928,1970.06815210116,1907.10895484921
lptF,0.0,0.0,0.0,65.136443298111,50.5869338633752,79.8864146327619
cdd,0.0,0.0,0.0,245.368352365985,260.232796353547,190.193650123413
entE,0.0,0.0,0.0,48.7672731852357,44.9277156347038,48.2265706872457
