UP,LB,LB.1,LB.2,glucose,glucose.1,glucose.2,glycerol + AA,glycerol + AA.1,glycerol + AA.2,acetate,acetate.1,acetate.2,fumarate,fumarate.1,fumarate.2,glucosamine,glucosamine.1,glucosamine.2,glycerol,glycerol.1,glycerol.2,pyruvate,pyruvate.1,pyruvate.2,chemostat µ=0.5,chemostat µ=0.5.1,chemostat µ=0.5.2,chemostat µ=0.35,chemostat µ=0.35.1,chemostat µ=0.35.2,chemostat µ=0.20,chemostat µ=0.20.1,chemostat µ=0.20.2,chemostat µ=0.12,chemostat µ=0.12.1,chemostat µ=0.12.2,stationary 1 day,stationary 1 day.1,stationary 1 day.2,stationary 3 days,stationary 3 days.1,stationary 3 days.2,glucose.3,glucose.4,glucose.5,50 mM NaCl,50 mM NaCl.1,50 mM NaCl.2,42°C,42°C.1,42°C.2,pH 6,pH 6.1,pH 6.2,xylose,xylose.1,xylose.2,mannose,mannose.1,mannose.2,galactose,galactose.1,galactose.2,succinate,succinate.1,succinate.2,fructose,fructose.1,fructose.2,Molecular weights
P0CE47,17238496762.307167,20842088007.685707,19191418551.984283,11436859173.66179,10836552926.408531,10915598455.6154,15950089050.287,16607838363.186337,15514041972.633532,6756575516.713592,6402976229.436394,6454512887.325671,8330327752.931828,8017785201.083584,8226332629.971977,7512068415.219106,7882444294.963902,7423065218.315301,8833739057.553228,8260294552.620506,8078886633.24048,8800676219.186377,7942813498.011308,8095637070.745912,7818293115.049305,7142118717.30936,7915880005.294924,5988124464.976794,6154629780.896024,6150509082.432746,5142355890.859636,4849348174.448894,4869417589.47349,4415985603.547085,4518599560.783627,4277789857.9992948,3761538962.02757,3948711645.7790403,3569532237.1554084,3805208590.989025,3824286737.5878615,3932447587.3357887,10535119274.07624,10696629421.92005,10864164752.072245,9489052742.613617,9133533932.332077,9273941084.94303,10967953661.522568,9464550936.868673,10819623742.94414,9233619916.052387,8276824858.539674,8316732031.230209,9370165304.974207,9372503605.557735,9486566075.6951,8302490662.300051,8134494290.414982,8621138373.1758,6280452058.835781,6065665712.826571,5890264629.317076,8568023075.506002,8469636302.108918,7958963579.090559,10618230412.009087,9832072851.885523,10079537076.839273,43238.302789999994
P0ACF0,2698683370.198779,2236340463.8132405,2650124517.8479476,1368047067.6228976,1226854330.5821273,1264339306.2151184,1757634337.0257177,1745825961.5520043,1606418378.5578053,703360602.5331558,750792371.5872122,634554195.4792639,968614253.7698296,1032194782.4341779,967230029.0401725,990652484.8550931,1124653203.0556145,1035901838.698437,1291163322.209454,1212156807.570542,1306757685.1694534,1239044727.1182556,1182689509.508649,1194799333.183599,907919502.4557868,846654670.9509966,977671245.7688293,820086781.8066932,785486670.7023095,835304227.2937413,725245982.1354889,659100805.2034268,682387749.8508769,728336930.3072077,570551629.6898059,626287454.8004398,689812222.8774071,627988430.8470094,795719454.5738144,661758369.8741207,790644933.956654,720900969.124607,1301517515.6485095,1170108616.3653245,1065342155.7778957,1560219657.3433144,1243893174.1363394,1200129859.4949765,1247571775.3821843,1117362295.8511813,1098493761.512047,1171681569.010754,1234581797.4464579,1130813546.738906,1276808960.18809,1284441655.325694,1206897515.6994455,1165524603.8781216,1347617506.1998236,1172741268.7953575,872688712.9889878,989993165.0765707,867578426.0871519,1164471932.268286,1153453529.5137236,1066661227.8859725,1191861231.517494,1111886005.5868223,1128554397.3720806,9511.177909999999
P0A853,8079076429.675851,1981788787.0932264,2339710538.0639586,32171782.96267713,32505812.67120874,32331162.538640384,4073360671.3852816,3645458088.969312,4551288318.516437,127562732.61822458,110533718.58428594,127024368.22705215,87515887.19435811,86915710.41178364,92762643.27864717,52227180.48271836,59108894.66153037,58138697.09875779,55534802.924763255,55079762.46867816,52502690.00018498,46908783.92620917,46694054.69587161,46268343.89379187,105606686.28423709,114112028.72107834,117043268.93222167,162021805.13011193,170747872.4384502,154337462.3606641,150445743.25240952,173287454.96647334,161082196.2171394,187879405.27871087,198965696.41814092,197342442.49818462,29033527.219602,21533188.931605086,23778637.045224275,19084862.02433745,18160031.98767701,22796057.23056295,35065084.96917253,30196209.57486006,32638480.563369345,23087085.962077737,27721263.586331844,27093208.736198623,40111163.69878544,38146894.63920262,41652235.96785865,34125631.55979663,30811063.01533585,29284067.979717858,34365926.81990241,32480664.02457576,35396074.6630827,81114028.42113782,87233264.80607791,90772758.5284896,73369002.53059937,66643320.25434997,75607155.61317174,84452862.6977371,95710124.68576562,90972058.97757222,38930502.34090121,36887183.409752764,34347810.6759727,52721.57894
P0A910,5445005233.784041,5666516628.376263,5402805019.645046,4117267405.836049,4447262305.500239,4472025911.876682,5902673682.451948,5782437384.834776,5608669273.820638,2821626305.481518,2422133601.1153703,2772287603.7667294,3115475765.905391,3006674809.759455,3002172085.7252727,4499258264.089484,4250842575.8974156,4556533484.460259,3651470590.4478393,3824228407.6110806,4076487892.1668744,2649024411.916668,2630443852.995117,2617752063.5097313,4589962540.075732,4371298325.207854,4648428914.521037,3783731582.6857033,3714892106.03729,3956217331.0063887,3147979674.284175,3018609882.504518,3068935870.339228,2605038169.2335334,2676096911.842872,2679108322.6894107,3722352032.0695643,3830050152.234994,3929372603.231308,3831300053.0182877,4117406200.3527093,4167808779.7469773,4234676854.3998585,4538074459.711373,4676676378.116296,6374622709.336699,5806604423.2810545,5721509596.253687,2926018088.042891,2943520013.600093,2634949457.977527,4296858796.366466,4343128173.507421,4655137411.573083,4409310067.2361555,5201923026.051996,4102428792.352378,2743500010.4687924,3041791387.556695,2818496596.763277,2451386070.7076488,2713397106.6083546,2980307860.3894544,3855711155.0424056,3080611463.379884,3314878644.143192,3368011958.180941,3394593261.6576643,3589073591.3410707,37159.64679
P02359,2725137946.621232,2838839903.1122665,2643001024.2131305,1079822380.9481049,1149757278.1322303,1076531435.6006806,1488992670.0501707,1576572034.5303144,1811762334.8710806,530341619.0792145,451220351.1443991,452645130.11033446,667112959.8494353,691787668.8164107,546160770.3653086,665860089.2281605,739676661.3149122,748031282.8021153,646312935.945643,790268556.1330569,746471905.8584994,511737281.4679082,616890749.8175387,584907701.5577233,628059235.0421098,723633438.3888065,675812092.1587875,517275763.68342274,494783510.6501367,440755993.7988267,313894598.0154808,347680682.77328765,339821934.3685438,288532357.7379812,297649248.7649499,309926111.45521104,351485847.8237194,326072183.44003046,338656249.66475797,328075404.9116517,367109224.3127091,339645834.79199076,978483339.1346825,1146950111.2687027,1065440775.3816496,803490967.0701456,816409851.4328732,705854444.9751853,823190894.4905806,672893269.30702,791588253.7314056,713302039.5175741,706207513.8620274,704345894.3213226,957725948.022486,806940636.9057308,863810858.8210784,728512118.6079837,724390803.1178188,700912377.5465901,405091357.99773407,368727090.13808656,387111871.22098905,680986839.4876566,784683817.4734693,546102991.2700341,782229180.271165,932337135.9708605,880531999.1275358,19988.68708
P0A7K2,1382979544.112749,1786670664.1123662,1787526451.5990005,800358649.1653094,708116542.6662881,757107428.8517877,1217500384.3447986,1252350209.5719712,1096385574.296099,303210307.42352253,291731546.70749974,298116315.9441852,452615472.9790001,428354328.7495373,398525930.0231208,505021190.8656913,455475776.345035,580206052.4016551,520538587.855328,499492296.68427485,467478689.36436194,395623119.96879137,341450690.7290309,415898958.4804368,375638500.270342,392626961.0349647,405916584.76693565,267575477.2428264,264541447.28274333,260329273.2787504,237479355.89869663,212091704.85925865,211639538.6637557,197588777.59996685,178627201.68339455,174404658.23126715,416844100.85719836,492210015.71787196,439163375.48131275,416119473.55070406,440888530.98524386,381456198.14892095,785891783.9774439,721542522.501476,734484544.4152392,802991507.9507164,671804270.8442922,782990290.0168152,796864671.214533,935339040.4015247,744136754.5072234,761423158.867782,753968724.2907417,747025466.6662934,585320853.5111482,584196419.9198052,656482733.9438074,446289110.56927013,413657491.64016855,452024059.66759557,335882596.69287366,278778076.0170528,293882025.67520875,449723383.9613254,434030853.49646366,375061016.8311023,642689401.7881391,597813650.7214911,573709554.8690463,12269.50186
P61175,1356616154.545373,1676437728.0018287,1843710121.7657125,595407315.7268448,617051037.281945,606584431.6791633,1041463284.1759793,938330158.2959945,1049681938.8127369,205448430.9933032,224935401.9164878,253390709.2404725,358181918.3931555,382946374.3507731,363630029.1289014,452656270.42355126,456719769.7741129,439803955.4918492,449051373.55178887,520434215.395796,497939714.83695906,355137260.86523026,335156394.71377337,358987014.59075886,442671696.70901376,437049764.3330857,423682545.13182974,281691311.8439823,292314835.2434449,265399999.35864237,211085707.45411375,196973886.54695338,236059393.85310936,191889560.37499884,192844514.1472161,200688503.9153743,184449266.45812875,171913967.61851066,161415055.52650416,214761130.74180463,213322723.6751544,204407394.05238268,683438160.3459512,612204644.9975861,585364419.0936651,455989126.20872873,503813490.1810267,442936693.83181036,549908440.790165,688782909.4272861,631355611.438654,446035462.6371953,545059702.7562245,549953882.5403359,500382488.4407817,463310147.9329599,483786554.81864434,408883271.9287324,367052374.074051,372892398.53139025,267151126.18824425,236181774.6882089,236504344.02018532,417448894.01057583,336792341.4939331,401855288.11407536,517109348.7980978,591249819.4261647,557892123.1473871,12200.75881
P0A7M6,802231325.5572839,1032433134.1297871,868678763.4956576,341213759.88992465,438246439.0551648,383859001.2433574,697346393.9523315,571303961.6396195,655420990.109978,188923528.04975253,180866874.13591447,164514682.2098572,217244556.43954632,179410099.2886292,187708459.10538518,270546144.0242547,271349316.0983369,278926987.0331299,286175669.6656877,284754566.2984738,264106245.67365468,261504832.26895732,227827600.70257762,191677049.939708,244704374.0228022,215051677.51524752,227096068.10595015,166239855.3580687,194473984.63722494,171954434.76540855,167695433.00815687,119641311.19328034,122973446.39429465,105715692.4957561,104626471.40907724,101638884.45128372,197179618.8123309,179881165.0755561,178494788.61005104,184518107.4257425,158079251.04820123,172230044.93193308,366409516.61569726,318648981.9342687,507939329.54979044,522895957.3467319,321220589.75325483,305928201.5567629,338900855.7946544,255671245.4940647,363009931.15639156,349878335.5015902,233554708.5541995,253678685.5185976,423112958.90509075,365726326.44994915,419267095.8384391,291724211.73399997,268794474.1340158,275610122.55690634,198874680.6371487,174731613.8173677,188052644.73492908,289959655.14013714,246568590.38485384,234350598.5229077,420899636.6840188,353332287.43341184,311708279.9357312,7250.972379999999
P61889,3573356366.2391434,2363062680.401742,2196244888.334114,1716301779.1383748,1753032554.0005496,1711248735.7053246,3573760156.4127326,3688847008.183223,3384651881.7633257,3950621210.227631,3331713191.7513514,3868816350.006417,2299466013.9496393,2030649853.2232635,2240032391.2824388,2163517118.625596,2213865521.3239007,2089454839.371383,2238495916.2371726,2119111011.7603152,2131017510.1205516,4169724790.2639093,3783697325.3401456,4347298754.499802,2393918747.1092587,2222797317.6458993,2308073971.0354614,1918646244.193246,1952353821.911746,2001668101.5071225,1673556239.3417091,1522596447.404952,1583873521.9910216,1366248049.2086332,1329778809.6980705,1376025837.893477,560585657.2243165,525504646.5920378,491995359.64240575,626184685.7587609,570218081.1694995,643626331.545594,1605163577.0974493,1751555959.1367874,1757074905.9762955,2361029853.769019,1955102264.780594,2033090192.5924566,2188612646.9380074,1627298140.2004912,2026948280.973863,1177307273.268459,1037057378.34398,1156881216.6872187,2355654257.553334,2171608060.7496467,2282207748.23161,2931890890.0349293,2853675613.614725,2987951555.737086,1554811483.9532576,1718509822.1296794,1610173564.5570037,2665687192.6171103,2311495860.96463,2280932050.742169,2559580545.2521253,2447070142.0249867,2101788089.9800699,32299.20422
P0A7T3,1001064271.8930689,1565832340.380534,1252167365.833053,596600022.5002745,588695927.4505271,678400394.0321684,903722511.9835461,892072314.3969561,969829516.641482,253759240.0056811,224001857.76119682,264096755.5892473,362283657.37219006,379290262.5541524,373379268.6458159,493355055.29640734,426392524.614078,538710238.1854419,427760059.7563072,491150822.40079415,474987409.07608145,369715953.02874786,320575690.37605435,296211688.356542,354240505.15182096,352539135.28911173,322972954.0295693,223982448.78438133,248213180.19990662,228580826.35328516,227399843.91260007,171098876.4972099,187621449.5492388,151107631.48235902,159196295.14752808,152546554.51036984,366828663.0350555,332847397.6169073,358031077.30973613,258191114.36949968,302955035.55949175,256778024.90855587,729709400.4152544,629248726.3251951,654024734.2944382,658531850.6676995,703177784.3015994,596688103.1088161,700959261.2261646,648076447.0235586,656594094.474237,576271637.4464492,639034386.054063,680791408.7107002,639950722.3409448,612710797.1382841,639627476.0585998,453512686.64508766,450069216.0261464,478178508.2172747,332540888.41603655,331330245.62285197,304261943.3603334,508897581.0881319,446406665.49470323,476499477.81082946,696379205.131278,660933225.1788337,598418811.8432983,9166.93958
