,pyr_1,pyr_2,pyr_3
O32583,1.3224945996523962e-06,1.3214708433683827e-06,9.518213533883505e-07
P00350,0.0,0.0,0.0
P00363,0.0,0.0,0.0
P00370,2.1106761523974077e-08,2.109042256897846e-08,1.5190887225304696e-08
P00393,0.0,0.0,0.0
P00448,0.0,0.0,8.328343356471726e-13
P00452,0.0,0.0,0.0
P00490,0.0,0.0,0.0
P00509,3.4533310457788703e-07,3.418943954368205e-07,2.3798330409431946e-07
P00547,2.1175293197335536e-06,2.5353184206174222e-06,1.5240210610145853e-06
P00550,0.0,0.0,0.0
P00561,3.5421497238739055e-06,3.570552948679855e-06,2.5493440540082317e-06
P00562,0.0,4.4547936762529764e-07,0.0
P00634,0.0,0.0,0.0
P00722,0.0,0.0,0.0
P00805,0.0,0.0,0.0
P00816,0.0,0.0,0.0
P00861,1.5604411148667351e-06,1.5592331618077225e-06,1.1230754168868952e-06
P00864,0.0,0.0,0.0
P00887,0.0,0.0,0.0
P00888,0.0,0.0,0.0
P00893,1.6696596091076818e-07,9.29381692555565e-07,9.29381692555565e-07
P00894,1.6696596091076818e-07,9.29381692555565e-07,9.29381692555565e-07
P00895,2.931397823149576e-08,2.9291285988040235e-08,2.1097757556690666e-08
P00903,7.105923225375114e-08,7.10042245920237e-08,5.114251100327231e-08
P00904,9.486943546697485e-07,9.479599608904041e-07,6.82791101643053e-07
P00909,5.158904830142802e-07,5.154911270365792e-07,3.712949586878356e-07
P00926,0.0,0.0,0.0
P00934,9.682368444543878e-06,1.1599094301426724e-05,6.968561564873469e-06
P00935,9.052212099126977e-08,9.045204691290951e-08,6.515027565038139e-08
P00936,0.0,0.0,0.0
P00944,0.0,0.0,0.0
P00946,0.0,0.0,0.0
P00963,5.718338631672634e-06,5.713912008599971e-06,4.11558339592625e-06
P00968,0.0,0.0,0.0
P02916,0.0,0.0,0.0
P02918,3.662130536635853e-07,3.659295644795279e-07,9.803834317244128e-08
P02919,0.0,0.0,1.655312808231291e-07
P02924,0.0,0.0,0.0
P02925,0.0,0.0,0.0
P03959,0.0,0.0,0.0
P03960,0.0,0.0,0.0
P03961,0.0,0.0,0.0
P04036,1.3894315231028875e-06,1.3883559502775945e-06,9.999969702014892e-07
P04079,7.242814745390496e-06,7.237208010125587e-06,5.21277420347173e-06
P04391,0.0,0.0,0.0
P04425,0.0,0.0,0.0
P04693,2.671860154600869e-08,3.488268215017034e-08,2.51250959494194e-08
P04805,1.1541604848944984e-07,1.1532670377307206e-07,8.306684919911052e-08
P04825,0.0,0.0,0.0
P04951,1.2644898777402612e-07,1.2635110234910647e-07,9.100743905441655e-08
