,pyr_1,pyr_2,pyr_3,pyr_original,pyr_original_1,pyr_original_2
fruB,0.0,0.0,0.0,135.640649876311,134.115358651721,190.698118029366
yidA,0.0,0.0,0.0,169.874860452754,163.030636516562,154.619350286062
wzzB,0.0,0.0,0.0,1107.70800185475,1123.9709840312,1089.71224648648
pdxK,0.0,0.0,0.0,120.739951251735,151.701598573648,119.40983162795
acnA,339091.82861694443,324000.3155208607,179672.66651676004,789.610101001916,765.036028540011,785.354857015051
lptF,2.4246360817142003,2.422759146696278,1.745050904085373,48.7900959149863,70.3952586340387,70.085480845766
ilvE,306.765520846055,306.5280505911537,220.78424615217318,1969.69949405537,2029.35426742202,1816.58996726818
queF,0.0,0.0,0.0,62.7105783394811,49.7636304234567,51.2182465879333
ilvA,0.016918819565269534,0.016905722537990487,0.012176755761861589,165.600165151271,150.427943307849,144.254914213197
mglA,0.0,0.0,0.0,99.3816804077838,276.603361457426,210.636349398887
rbsB,0.0,0.0,0.0,32188.8869029789,26664.2333521985,26849.1284498384
fldA,656.2557923451582,655.7958448220544,472.3528269257143,6996.12541433374,6927.37821904057,5806.5503084331
ubiE,0.0,0.0,0.0,812.517254747901,769.286122418255,1088.52981335197
lysA,778.774418630165,778.1715615711561,560.4968983008478,545.203891907045,608.54177993156,531.791461132962
ydcT,0.0,0.0,0.0,24.4447908561092,27.4364293738127,35.4701542770039
wecA,0.0,0.0,0.0,0.951044743732447,8.31382664028953,6.16639521581574
feaB,0.0,0.0,0.0,14.1650013964702,21.6752134712562,28.4360275702092
hyaB,0.0,0.0,0.0,1.12783624276981,1.22334093183938,0.757270032729102
crr,0.0,0.0,0.0,21778.2013780756,18754.6869347259,20524.5653074782
ugpB,0.0,0.0,0.0,177.249456302859,192.059664561941,205.816988077261
hemB,25.600218737514624,25.580401352391434,18.424903097663716,413.070024862878,370.355471038699,377.256348592195
pyrE,3671.5423681395027,3668.70019050612,2642.4700915858148,1.9840195360494,7.40772336961416,7.52479956132365
msbA,19.750515253618076,19.735226182412262,14.214774233299048,65.0217053402137,117.141796967807,138.645817101624
acs,0.0,0.0,0.0,5485.45372565101,5340.37176349475,5669.09381496114
talB,0.0,305.71591524322565,0.0,13216.9824447515,10755.6861426087,11221.540781953
tktB,168.59280172069927,57.4786245922259,121.3390427057364,580.390739484525,629.021935921581,656.068198332962
pgm,0.0,0.0,0.0,1628.31494049649,1518.49796511593,1695.9628819163
manZ,0.0,0.0,0.0,124.427443838196,255.842543620882,209.519370889537
btuE,0.0,0.0,0.0,928.731157013271,735.65471523374,700.426061534002
carB,0.0,0.0,0.0,1771.71982980969,2226.2559915241,1847.45466321398
dsbC,0.0,0.0,0.0,685.739882960801,1071.69001687807,1304.58925973388
yfcG,0.0,0.0,0.0,21.1146466843064,13.3893985008931,11.7718977874917
prpB,0.0,0.0,0.0,15.8882097605077,21.0664651962015,26.7182645094985
fepB,0.0,0.0,0.0,95.8833262694294,86.9316658060444,87.3909090376216
gapA,1160.7352727683804,1160.266859629125,835.4004761474023,21071.6852416906,20383.162670941,21679.2600924646
gcd,0.0,0.0,0.0,17.9312777799585,21.2216544163451,17.2851015928135
proV,0.0,0.0,0.0,5.87804883293501,3.5552140028239,160.428355111597
purA,3615.7513740021586,3612.9523847343803,2602.3163854301274,6040.38112435393,6183.48041558163,6140.07754087976
lptE,2.4246360817142003,2.422759146696278,1.745050904085373,226.685793130106,255.290296424759,303.525761560174
hldD,0.0,0.0,0.0,2457.78679423561,2274.10187443161,2230.75975903389
fadJ,19.384808590595476,19.369802616571654,13.951569067067885,157.769115331073,108.108959481962,84.8330736257247
cmk,58.97843341081652,58.93277761619965,42.447759200350816,660.874239776197,558.958343557167,676.944172707383
fre,0.0,0.0,812.0450609757818,753.009303708192,849.743312695576,757.425977080174
rbsK,0.0,0.0,0.0,263.364499919941,174.527266635726,149.615909163774
lipA,0.0,0.0,0.0,903.82312112042,859.862760353514,685.377103334377
nfnB,0.0,0.0,0.0,1096.4426301519,879.3316864972,997.399616852796
gpsA,83.4812075668387,83.4165839299134,60.08281318475495,323.347869558896,326.263139058751,312.100853328011
amn,0.0,0.0,0.0,340.851183237861,449.925780242267,449.579339792971
sdhC,5100.867925811095,5126.28511385331,2659.378797527077,1249.71005622598,2090.04820818635,1980.84543018568
rbsD,0.0,0.0,0.0,579.20272667812,598.964290377955,635.382481557588
selD,0.0,0.0,0.0,685.294611745623,667.202492246463,610.770853116264
speG,0.0,0.0,0.0,84.3412188267457,93.1443378915959,72.2069228596943
nuoC,1293.7291687185023,1292.2993882369253,944.5331260593147,1067.43266063298,1314.50237715696,1046.98898927884
thiI,660.0216779559703,659.5107485800999,475.0285762549226,66.8554177432969,131.071883390531,104.056620292768
aroC,288.8254047745998,288.6018221428079,207.87244631301692,646.524217217938,638.165385358823,582.724343336771
maa,0.0,0.0,0.0,63.2166997952721,64.311628526928,89.8027947374732
fruA,0.0,0.0,0.0,117.288131290301,119.501948835123,129.727191673715
fucI,0.0,0.0,0.0,4.67788007930079,4.71389975806545,6.09199843160535
apaH,0.0,0.0,0.0,51.390904731444,45.3876010073834,41.7079409995923
cyoC,8223.191044516072,8229.392968467566,5481.846390589925,42.2590183772728,111.136228377322,115.472234731951
nirB,0.0,0.0,0.0,3.87321383449114,3.29451752795352,2.8182760397459
prr,0.0,0.0,0.0,816.779359216072,1348.3027978087,1183.32727656864
lpxC,418.799873142004,418.47567597553854,301.4172323710551,95.4856111057825,109.291859329833,130.721643945869
dacB,0.0,0.0,0.0,5.49069952110874,4.87600592126215,7.59991094746332
yqaB,4.4589767094750545,4.456666835218742,3.209199680252111,116.328279031792,90.0656457736469,111.899512104395
mtlA,0.0,0.0,0.0,386.366757483597,655.955383888175,547.908445647319
hpt,0.0,0.0,0.0,752.638645092381,802.867507143126,666.273456030472
sodC,0.0,0.0,0.0,269.237788790617,243.810787115975,242.396471321828
aceE,1155.7361869862086,1154.0687721125735,14737.971697310644,10967.2438089772,17458.8820863617,15791.0001516545
folP,217.98849716215256,217.81975008830926,156.8899460507986,160.557603550198,152.476869520247,149.926249598453
glnH,0.0,0.0,0.0,14184.994340794,13814.8454726752,13061.0783632433
rsgA,0.0,0.0,0.0,355.118287945941,282.626690903868,310.222792584501
pflB,0.0,0.0,140.47997813442907,5747.47955860518,7623.41778256358,6557.03292145777
solA,0.0,0.0,0.0,532.596204321377,468.460127832612,552.707842461051
ggt,0.0,0.0,0.0,231.645874197222,186.111696641512,212.949273555759
trpC,257.4671400020066,257.26783211630845,185.30338174095388,653.001720783513,654.160141302698,594.348839250202
fumA,0.0,0.0,0.0,3289.44215408131,3356.86184727952,2990.08834197695
amiC,0.0,0.0,0.0,0.507119639660977,0.00632892471995039,0.0251193373712032
cysQ,771.011224480945,770.414376988111,554.9095983877459,836.546356715288,710.958682907982,843.969057993674
mltA,0.0,0.0,0.0,17.8511177158377,16.6692173321329,25.8868089266996
grcA,0.0,0.0,0.0,3506.56708457402,3556.80528701833,4087.63997047138
glcB,0.0,285.22492233528135,0.0,288.828339929184,315.363357826234,254.93742683938
gor,23.95020461698196,23.931664524276925,17.237360499207956,952.685929882156,968.963477944163,1028.37321878083
uxaC,0.0,0.0,0.0,179.856563916781,159.57410431893,230.655104201439
lpxK,287.92335798904395,287.70047364068205,207.22322824250622,3.85279302115954,7.26749627635083,6.4280278249393
eutC,0.0,0.0,0.0,15.0587748962731,17.4162446589215,12.0907299822807
cyoA,8223.191044516072,8229.392968467566,5481.846390589925,2282.76327303219,5115.44418341761,4384.06236023837
lptC,2.4246360817142003,2.422759146696278,1.745050904085373,62.6740156565156,54.4078993756876,20.7521106284538
