,dataset,uniprot_accession,glucose,lb,glycerol__aa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostat_µ05,chemostat_µ035,chemostat_µ020,chemostat_µ012,stationary_phase_1_day,stationary_phase_3_days,osmoticstress_glucose,42c_glucose,ph6_glucose,xylose,mannose,galactose,succinate,fructose,glucose_uncertainty,lb_uncertainty,glycerol__aa_uncertainty,acetate_uncertainty,fumarate_uncertainty,glucosamine_uncertainty,glycerol_uncertainty,pyruvate_uncertainty,chemostat_µ05_uncertainty,chemostat_µ035_uncertainty,chemostat_µ020_uncertainty,chemostat_µ012_uncertainty,stationary_phase_1_day_uncertainty,stationary_phase_3_days_uncertainty,osmoticstress_glucose_uncertainty,42c_glucose_uncertainty,ph6_glucose_uncertainty,xylose_uncertainty,mannose_uncertainty,galactose__uncertainty,succinate_uncertainty,fructose_uncertainty
0,2,P0A8T7,1.3920802206890472e-05,3.5886515656769815e-05,2.2556809045565953e-05,1.0920240666074569e-05,1.2242691829305618e-05,1.6610788095735446e-05,1.4251414997698234e-05,1.3675347256139253e-05,2.3944380910016714e-05,1.9536210365913217e-05,1.7417282933918013e-05,1.5027854127625552e-05,8.691108970476779e-06,9.552705940460644e-06,1.126087202630075e-05,1.9961999566195945e-05,1.672600164404724e-05,1.819372206384534e-05,1.703657729601817e-05,1.1310964873392833e-05,1.3845662936252342e-05,2.2626939031494872e-05,19.86985,131.8176,52.2348,12.229800000000001,15.372760000000001,28.31864,20.8254,19.1919,58.794,39.0,31.119150000000005,23.16,7.755450000000001,9.36337,13.01592,41.045500000000004,28.7154,33.9592,29.792759999999994,13.118979999999999,19.67968,52.3972
1,2,P0A8V2,1.9821739594338103e-05,4.4522522495445305e-05,2.6043271203175085e-05,1.3329706611203866e-05,1.6024701784758047e-05,2.0032129552124864e-05,1.8779808374822733e-05,1.860448341000043e-05,2.6273698299798672e-05,2.1980741304006976e-05,1.933583897754488e-05,1.730707867031543e-05,1.1917088323207065e-05,1.115567704740737e-05,1.6300212443764518e-05,2.4660708623433533e-05,2.0197435947528744e-05,2.2226196254758196e-05,2.075346655025089e-05,1.412618287996802e-05,1.931079255399884e-05,2.639392113281968e-05,39.134730000000005,197.3136,67.587,17.69565,25.592,39.99,35.128130000000006,34.46592,68.7095,48.26800000000001,37.249,29.851200000000002,14.13126,12.404390000000001,26.455019999999998,60.552899999999994,40.7232,49.2507,43.0872,19.880999999999997,37.1622,69.5508
2,2,P36683,3.80505266511479e-05,8.31541261728614e-05,8.790292807719108e-05,0.00011443209989715938,9.763596826718323e-05,6.889269260574475e-05,5.4060200581778327e-05,8.212722280747365e-05,7.881107632997762e-05,0.00010149311749327379,8.220236207811177e-05,6.894278545283684e-05,4.6736626336915475e-06,3.7870192401616395e-06,1.4101136456421979e-05,2.425495656198764e-05,2.32881646131104e-05,3.354717969756945e-05,8.273835554199708e-05,6.449454063105966e-05,9.79164882108989e-05,4.39915383162692e-05,89.63279999999999,428.28000000000003,477.3056,808.6776,588.6282,292.9389,180.22639999999998,416.433,383.8852,636.1954000000001,418.455,294.5282,1.3528499999999999,0.8845199999999999,12.30155,36.36342,33.51929,69.6488,422.8352,257.5,592.2741,119.4352
3,2,P15254,1.2302803245816119e-05,4.112622746260193e-06,1.1716716934838723e-05,7.203351411841848e-06,1.0374228632770838e-05,9.813188745339486e-06,1.0359200778643215e-05,1.3565142992536667e-05,1.1446215560541463e-05,8.666062546930735e-06,7.353629953118104e-06,6.1063180605251835e-06,3.0957379502908636e-06,3.6818242612682603e-06,6.602237246736827e-06,9.442501676858056e-06,8.555858283328149e-06,8.62097898454786e-06,8.836378227043826e-06,7.864576993457373e-06,9.582761648715893e-06,1.2052339010355692e-05,14.146560000000001,1.5845300000000002,12.841109999999999,4.8460600000000005,10.06506,9.0114,10.0298,17.1958,12.247600000000002,7.0238000000000005,5.049919999999999,3.48634,0.8960999999999999,1.2641999999999998,4.07262,8.331700000000001,6.84908,6.95284,7.30296,5.7776,8.58937,13.569839999999997
4,2,P09831,1.4321544983627151e-05,3.0256079643619448e-06,3.2660536304039535e-06,6.82765505865121e-06,6.416893712496111e-06,9.90335587010524e-06,1.1040463499095574e-05,8.470700443271605e-06,1.162654981007297e-05,9.813188745339486e-06,8.871443220008284e-06,6.9078036139985464e-06,1.152135483117959e-06,9.166991017851586e-07,4.177743447479904e-06,1.4922659148732172e-05,1.3640282263174795e-05,1.250317463418446e-05,1.041430291044451e-05,7.002980023473506e-06,7.779419153400829e-06,1.932582040812646e-05,22.15725,0.9905599999999999,1.15404,5.02947,4.44507,10.596720000000001,13.157879999999999,7.7447799999999996,14.59909,10.40229,8.5008,5.1574599999999995,0.14306,0.090768,1.88484,24.04053,20.09574,16.87296,11.704769999999998,5.29842,6.538130000000001,40.509
5,2,P0AFG8,2.912899058404753e-05,5.9209745262844684e-05,3.341693829513002e-05,1.2247701114014827e-05,2.2646976170331708e-05,2.102897720925736e-05,2.0372760912351042e-05,7.910161484311171e-05,2.9474631228982918e-05,2.6423976841074932e-05,2.2085936282900354e-05,2.4014510895945637e-05,2.6444013979911768e-05,2.9494668367819754e-05,3.147333582795712e-05,3.497983512440308e-05,4.738282406440337e-05,5.1310103276422856e-05,2.457054149866778e-05,1.6345296006147392e-05,2.3739000236939165e-05,4.715740625248898e-05,55.9403,230.49,73.381,9.877799999999999,33.81708,29.13412,27.37091,412.14509999999996,57.25132,45.998,32.14161000000001,38.01642,46.08567,57.349120000000006,65.3432,80.30449999999999,147.56040000000002,173.10670000000002,39.77954999999999,17.620200000000004,37.15376,146.85840000000002
6,2,P0A9Q7,2.430004012437052e-05,2.7410805928789007e-05,2.8222310051680787e-05,2.2591874038530416e-05,2.007220382979853e-05,3.68733447444839e-05,2.5978150501955375e-05,1.649056526271444e-05,5.186613387914499e-05,3.825590732422545e-05,3.925776426606716e-05,4.0119361236051014e-05,3.525534578340955e-05,3.3632337537625995e-05,2.6128429043231628e-05,4.5228831639443706e-05,4.5158701653514794e-05,4.203290799496867e-05,2.994049470693931e-05,3.167871650103466e-05,2.0297621641712917e-05,0.00010015563847591512,37.54674,47.770559999999996,50.649660000000004,32.4269,25.60473,86.1237,42.888220000000004,17.283,170.841,93.1714,97.9625,102.51520000000001,78.82560000000001,71.83980000000001,43.39712,130.01760000000002,129.816,112.4394,56.96081,63.872400000000006,26.175919999999998,637.8086
7,2,P0CE47,0.0012646039434091089,0.0022233810367516186,0.0018478650178105115,0.0007477760028212292,0.0009530464716351758,0.0008702930882390511,0.0009569787601319045,0.0009379034039592385,0.0009057738518343749,0.000712555722030784,0.0005641356253816448,0.0005116032566361751,0.00043578773256230415,0.0004430562046753658,0.0010744114215698799,0.001253483331354666,0.0009635158766774215,0.001085832590706875,0.000961867822008092,0.0007027275054313169,0.000981233716693892,0.001167744414271853,45693.812000000005,141588.788,97755.32,15972.746,26065.071999999996,21717.0,26172.617,25089.221999999998,23506.47,14509.194,9110.7962,7486.2023,5437.25,5616.3845,33030.536,45041.76,26543.748000000003,33815.183999999994,26498.346,14168.784999999998,27619.502999999997,38930.371999999996
8,2,P25665,0.0002583989424398122,8.570886137455774e-06,8.465691158562396e-06,8.722667464144791e-05,9.877808518088276e-05,0.00012011262875740185,0.000144307473902879,9.33880948337744e-05,0.00013629261836814536,6.646318952177862e-05,4.155201666288465e-05,2.1254395021171738e-05,1.694140088654321e-05,1.784808141890995e-05,0.00015082455330955928,0.00016211047175940607,0.00012895902555386406,0.0001642544456149473,0.00013346237250744255,5.840825970937131e-05,9.610312714616542e-05,0.0001946006923833325,3739.84,4.1064,4.005299999999999,426.61850000000004,546.2163,808.0586000000001,1166.724,488.44660000000005,1039.3455999999999,246.78480000000002,97.0515,25.28828,16.0645,17.850630000000002,1273.6107,1472.471,931.9328,1511.619,996.4482,191.224,517.995,2121.1008
9,2,P0A6F5,0.0001139061250026925,0.00033004674163562164,0.000287127190247123,9.788142321793443e-05,0.00013235532058670748,0.00011566438393562466,0.0001320347263653181,0.00011480779625035002,0.00013001097534279788,0.0001187300661776603,8.92203699557129e-05,8.505765436236064e-05,0.0001327911283564086,0.00012910930409514034,0.00011460742486198169,0.0003277474799540949,0.00013435402518568166,0.0001323853762949627,0.00013644790619413082,7.830513857434756e-05,0.0001334423353686057,0.00012476124496754734,491.1624,4131.1149,3123.8855000000003,363.444,663.1922,507.9800000000001,661.5858,499.6342,641.0638000000001,533.2950000000001,301.0059,273.37800000000004,668.0268,631.4630000000001,498.7622,4069.6215999999995,683.9354999999999,663.3427999999999,705.4900999999999,232.9168,673.9667,590.2722
10,2,P00968,2.226627053243186e-05,2.058816015484701e-06,3.38126717871575e-06,7.584057049741695e-06,1.2528221057730503e-05,1.1160686332116579e-05,1.4286479990662691e-05,9.252148857908132e-06,1.5027854127625552e-05,9.382390260347553e-06,7.058082155274801e-06,5.595371020185914e-06,6.071253067560724e-06,5.745649561462169e-06,1.1265881311009956e-05,1.800837852960462e-05,1.4566999934378367e-05,1.3459948013643288e-05,1.2758648154354095e-05,8.390551887924267e-06,1.3059205236906608e-05,1.8509307000525474e-05,38.627050000000004,0.330444,0.891,4.481440000000001,12.229890000000001,9.714080000000001,15.914159999999997,6.667669999999999,17.610000000000003,6.85518,3.88884,2.43506,2.8724399999999997,2.56928,9.8956,25.272850000000002,16.546519999999997,14.106750000000002,12.684059999999999,5.477250000000001,13.2957,26.714850000000002
11,2,P09373,2.3117848932997307e-05,3.498484440911229e-05,3.23449513673594e-05,2.827741218348208e-05,2.7250508818094332e-05,3.094736093349022e-05,2.936943625008954e-05,3.284587983828026e-05,3.348205899634973e-05,3.007574539408794e-05,2.732063880402325e-05,2.443028152680994e-05,1.78180257106547e-05,1.817869420971771e-05,2.3728981667520744e-05,2.8547913557779338e-05,4.112121817789272e-05,3.0050698970541896e-05,3.520525293631746e-05,2.8923609910969986e-05,3.326165046914456e-05,3.819078662300574e-05,30.182100000000002,69.07176000000001,59.01698,45.103550000000006,41.888,54.057500000000005,48.6629,60.91453,63.29748000000001,51.034,42.10488,33.70007,17.92728,18.65306,31.785269999999993,45.990930000000006,95.2244,50.9915,69.9286,47.23132,62.416000000000004,82.3392
12,2,P0A6Y8,9.319774201482447e-05,0.0002994049470693931,0.00019338844548370403,7.100160146832154e-05,8.440143806545431e-05,8.735190675917813e-05,8.865933006828156e-05,6.631792026521156e-05,7.760383871505836e-05,6.644315238294178e-05,5.260249873139864e-05,4.811918891665703e-05,0.0001706763486121526,0.00016889304325567436,0.00010374228632770842,0.00022534267264374516,0.00017100195211825118,9.245636787786162e-05,9.065302538254656e-05,5.5252410342569953e-05,9.85125930912947e-05,9.387399545056763e-05,396.2865,4094.245,1710.2458,231.0362,325.1857,348.76,359.2897,201.23279999999997,275.75759999999997,201.6128,126.012,105.66600000000001,1332.2152,1304.8092000000001,490.827,2321.226,1334.7567000000001,391.2884,376.4176,138.978,444.4515999999999,402.90999999999997
13,2,P0A705,1.5263290508958353e-05,3.400302460610742e-05,2.1915620602787265e-05,9.577752364006685e-06,1.2683508883715967e-05,1.3409855166551201e-05,1.416124787293248e-05,1.3319688041785448e-05,1.9145486158594952e-05,1.4577018503796788e-05,1.165660551832822e-05,1.0163838674984082e-05,6.011141651050222e-06,7.068100724693219e-06,1.1421169136995418e-05,2.0082222399216947e-05,1.3650300832593211e-05,1.533842977959648e-05,1.3950857915145722e-05,9.177009587270006e-06,1.2753638869644886e-05,1.7702812162342903e-05,12.279409999999999,60.956239999999994,25.331249999999997,4.83736,8.4822,9.47658,10.57298,9.35968,19.33932,11.2035,7.16716,5.458009999999999,1.908,2.63857,6.8856,21.247700000000002,9.81,12.401100000000001,10.248800000000001,4.43344,8.580020000000001,16.53912
