,pyr_1,pyr_2,pyr_3
O32583,660.0216779559703,659.5107485800999,475.0285762549226
P00350,0.0,0.0,0.0
P00363,0.0,0.0,0.0
P00370,10.533820070744696,10.525665735373428,7.581365457916298
P00393,0.0,0.0,0.0
P00448,0.0,0.0,0.00041564533860302525
P00452,0.0,0.0,0.0
P00490,0.0,0.0,0.0
P00509,172.34651483427598,170.6303470874392,118.77110102009031
P00547,1056.8022395697137,1265.3096039624045,760.5981439889973
P00550,0.0,0.0,0.0
P00561,1767.792174680353,1781.967464394739,1272.3094224020638
P00562,0.0,222.32683580870204,0.0
P00634,0.0,0.0,0.0
P00722,0.0,0.0,0.0
P00805,0.0,0.0,0.0
P00816,0.0,0.0,0.0
P00861,778.774418630165,778.1715615711561,560.4968983008478
P00864,0.0,0.0,0.0
P00887,0.0,0.0,0.0
P00888,0.0,0.0,0.0
P00893,83.32824475111003,463.8295417942068,463.8295417942068
P00894,83.32824475111003,463.8295417942068,463.8295417942068
P00895,14.629822386421841,14.618497294730702,10.529326431529668
P00903,35.46376198338441,35.436309130871194,25.52385917956388
P00904,473.4679748416841,473.1014585514469,340.7627741680788
P00909,257.4671400020066,257.26783211630845,185.30338174095388
P00926,0.0,0.0,0.0
P00934,4832.211087315958,5788.797690069515,3477.822668006487
P00935,45.177169120006226,45.142197021978234,32.514759807231705
P00936,0.0,0.0,0.0
P00944,0.0,0.0,0.0
P00946,0.0,0.0,0.0
P00963,2853.8698455094145,2851.6606363460155,2053.9775810509504
P00968,0.0,0.0,0.0
P02916,0.0,0.0,0.0
P02918,182.76713888430993,182.62565701588255,48.92831455168559
P02919,0.0,0.0,82.61223429706172
P02924,0.0,0.0,0.0
P02925,0.0,0.0,0.0
P03959,0.0,0.0,0.0
P03960,0.0,0.0,0.0
P03961,0.0,0.0,0.0
P04036,693.4281058874085,692.8913162618776,499.07173790861043
P04079,3614.6950941299583,3611.8969225394103,2601.556163242798
P04391,0.0,0.0,0.0
P04425,0.0,0.0,0.0
P04693,13.334539309021585,17.4090135494025,12.539263292038575
P04805,57.60106242178732,57.556472863814335,41.45644239705999
P04825,0.0,0.0,0.0
P04951,63.107307287593486,63.0584552904512,45.41937838306461
P04968,0.016918819565269534,0.016905722537990487,0.012176755761861589
P04982,0.0,0.0,0.0
P04983,0.0,0.0,0.0
P05020,4737.569530393125,4733.902130481656,3409.7075658194963
P05041,35.46376198338441,35.436309130871194,25.52385917956388
P05042,0.0,0.0,0.0
P05194,43.665411203362225,43.63160937224303,31.4267224975944
P05459,11.314575870335615,5.652908572048454,8.143288389038318
P05637,0.0,0.0,0.0
P05706,0.0,0.0,0.0
P05707,0.0,0.0,0.0
P05791,315.2279879734429,314.98396683818225,226.87482445496005
P05793,1591.3025788653697,1590.0707356387124,1145.2869256812994
P05804,0.0,0.0,0.0
P05847,0.0,0.0,0.0
P06149,0.0,0.0,0.0
P06282,0.0,0.0,0.0
P06609,0.0,0.0,0.0
P06610,0.0,0.0,0.0
P06611,0.0,0.0,0.0
P06715,23.95020461698196,23.931664524276925,17.237360499207956
P06720,0.0,0.0,0.0
P06721,120.67186524540584,120.57845194876094,86.84954791041724
P06959,1155.7361869862086,1154.0687721125735,14737.971697310644
P06960,3.089890063786495,3.087498149013804,2.2238452566138993
P06968,0.0,0.0,0.0
P06972,0.0,0.0,0.0
P06983,253.4474119152855,253.25121574126453,182.4103165981837
P06986,1.0854283639976305,1.0845881230554135,0.7812008417258386
P06987,4.937157027410601,4.933335124823397,3.5533540061002316
P06988,2320.5534416336636,2318.757078027426,1670.140897366459
P06989,679.7524504396026,679.2262472756017,489.22914128838653
P06999,0.0,0.0,0.0
P07000,0.0,0.0,0.0
P07001,0.0,0.0,0.0
P07003,0.0,0.0,0.0
P07004,88.38569378432946,88.31727353561739,63.612653465716065
P07014,5100.867925811095,5126.28511385331,2659.378797527077
