"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"P0A8T7",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
"P0A8V2",1,1,0,-1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1
"P36683",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"P15254",-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"P09831",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1
"P0AFG8",1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1
"P0A9Q7",-1,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"P0CE47",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"P25665",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"P0A6F5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"P00968",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"P09373",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P0A6Y8",1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1
"P0A705",1,1,-1,0,-1,0,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,0,1
"P05793",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
"P00864",-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
"P00957",1,0,-1,-1,-1,-1,1,0,0,-1,-1,1,1,-1,1,1,1,1,-1,1,1
"P0A6M8",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"P00961",1,1,0,0,-1,0,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,0,0,1
"P76558",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P0AG67",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"P07813",0,1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,1,-1,-1,-1,-1,0,0
"P00561",-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1
"P0AFG3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P00956",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1
"P25553",1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,1,1,1
"P10408",1,1,0,1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,0,1,-1,0,1
"P21889",1,-1,0,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,1,1,1,-1,1,1
"P07395",1,-1,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1
"P07118",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"P23847",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
"P06959",1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1
"P13029",-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1
"P0AES4",1,1,0,-1,1,0,0,1,1,1,1,0,0,-1,0,-1,0,1,-1,0,1
"P08200",-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,0,1,-1,0,-1
"P0ABB4",1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1
"P04825",1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,1,1,1,1
"P0AD61",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,0,-1,1
"P0A9G6",-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
"P0AC33",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"P09546",1,1,1,0,1,0,0,1,1,1,1,1,1,1,-1,1,1,0,0,0,0
"P21179",-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,-1,1,-1,1,1,1,0
"P0A6Z3",1,1,-1,1,0,0,-1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,0
"P0A6P1",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1
"P08839",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"P0A6E4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
