Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
,,,,,,CPC_A14.07032.1,CPC_A14.07033.1,CPC_A14.07034.1,CPC_A14.07036.1,CPC_A14.07037.1,CPC_A14.07038.1,CPC_A14.07040.1,CPC_A14.07041.1,CPC_A14.07042.1,CPC_A14.07044.1,CPC_A14.07045.1,CPC_A14.07046.1,CPC_A14.07048.1,CPC_A14.07049.1,CPC_A14.07050.1,CPC_A14.07052.1,CPC_A14.07053.1,CPC_A14.07054.1,CPC_A14.07056.1,CPC_A14.07057.1,CPC_A14.07058.1,CPC_A14.07060.1,CPC_A14.07061.1,CPC_A14.07062.1,CPC_A14.07064.1,CPC_A14.07065.1,CPC_A14.07066.1,CPC_A14.07068.1,CPC_A14.07069.1,CPC_A14.07070.1,CPC_A14.07072.1,CPC_A14.07073.1,CPC_A14.07074.1,CPC_A14.07076.1,CPC_A14.07077.1,CPC_A14.07078.1,CPC_A14.07080.1,CPC_A14.07081.1,CPC_A14.07082.1,CPC_A14.07084.1,CPC_A14.07085.1,CPC_A14.07086.1,CPC_A14.07088.1,CPC_A14.07089.1,CPC_A14.07090.1,CPC_A14.07092.1,CPC_A14.07093.1,CPC_A14.07094.1,CPC_A14.07096.1,CPC_A14.07097.1,CPC_A14.07098.1,CPC_A14.07100.1,CPC_A14.07101.1,CPC_A14.07102.1,CPC_A14.07109.1,CPC_A14.07110.1,CPC_A14.07111.1,CPC_A14.07113.1,CPC_A14.07114.1,CPC_A14.07115.1,CPC_A14.07117.1,CPC_A14.07118.1,CPC_A14.07119.1,CPC_A14.07121.1,CPC_A14.07122.1,CPC_A14.07123.1,CPC_A14.07125.1,CPC_A14.07126.1,CPC_A14.07127.1
sp|P0CE47|EFTU1_ECOLI,tufA,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,57,4565.07,P0CE47,398685.786674634,482028.355944304,443852.263239685,264507.587848866,250623.919700076,252452.056423915,368887.953991938,384100.144814827,358803.21315992,156263.661631886,148085.743802998,149277.6651913,192660.84039863,185432.468060192,190255.67839528,173736.431138469,182302.351996733,171677.997038128,204303.556974865,191041.137593655,186845.600126306,203538.891476142,183698.549329931,187232.998253073,180818.686455415,165180.366861235,183075.641144862,138491.200592677,142342.075978048,142246.773938019,118930.567553381,112153.989901066,112618.148152653,102131.335380916,104504.554277479,98935.1936123785,86995.5275602891,91324.3904358865,82554.8647108544,88005.5031176913,88446.7356677175,90948.2411100852,243652.470015839,247387.818940801,251262.516126902,219459.417468352,211237.105598059,214484.391998103,253662.908897969,218892.748469711,250232.38760071,213551.858427429,191423.444595839,192346.403410489,216709.831338276,216763.91071773,219401.906725375,192017.034124203,188131.674129825,199386.604396731,145252.048613904,140284.546835391,136227.933319329,198158.172792286,195882.718691441,184072.062628029,245574.634683969,227392.663852649,233115.927926071
sp|P0ACF0|DBHA_ECOLI,hupA,DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1,5,342.65,P0ACF0,283738.081206682,235127.603013499,278632.630250941,143835.71420576,128990.787701723,132931.937366643,184796.704851641,183555.178766707,168897.942374606,73950.9458437999,78937.8958833094,66716.6781531967,101839.568446242,108524.390165064,101694.031821572,104156.655908363,118245.417517967,108914.14801623,135752.199614722,127445.498238035,137391.782335975,130272.479270473,124347.322771155,125620.542953717,95458.1557665119,89016.8051699284,102791.815590045,86223.4719576067,82585.6353582087,87823.4257836253,76251.9625853039,69297.4951620295,71745.8716794077,76576.9431714066,59987.483683796,65847.5175973698,72526.4766787868,66026.3572808102,83661.5046110324,69576.9100458474,83127.9723119651,75795.130313634,136840.83380252,123024.574604485,112009.486717497,164040.634304917,130782.242316014,126180.991550286,131169.008422237,117478.855555461,115495.028261126,123189.953978135,129803.249306106,118893.112655371,134242.989908291,135045.487265593,126892.539191231,122542.614059684,141687.761384733,123301.370229059,91754.0099919115,104087.335390467,91216.7172453987,122431.936747179,121273.467958263,112148.173231466,125311.632564919,116903.081417265,118655.586936874
sp|P0A853|TNAA_ECOLI,tnaA,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,31,1872.16,P0A853,153240.411082344,37589.708558399,44378.6128015376,610.220399493163,616.556129857228,613.243442034143,77261.7351999451,69145.4649550242,86326.8591347776,2419.55448192092,2096.55554341571,2409.34302008695,1659.9633196486,1648.57942723412,1759.48150915996,990.622464895365,1121.15182909828,1102.74954331172,1053.3600101007,1044.72900046036,995.848209704339,889.745430037175,885.672539303346,877.597841795439,2003.10173571287,2164.42737519193,2220.02586579251,3073.15919567776,3238.67144860685,2927.40592113731,2853.58948417734,3286.8411464627,3055.33710210879,3563.61491928244,3773.89487224149,3743.10569724725,550.695328238248,408.432170745702,451.022854840627,361.993369850646,344.451595585635,432.385707880754,665.099294713432,572.74858192743,619.072516786982,437.905814398163,525.804881865927,513.892210379969,760.811123362487,723.553721382583,790.041512513522,647.280150669111,584.410854811471,555.447476507574,651.837966746267,616.079121255843,671.377363401148,1538.53564426532,1654.60266099682,1721.73823989213,1391.63135865292,1264.0615397766,1434.08367376889,1601.86520198587,1815.38805570844,1725.51848420745,738.416851763985,699.660066170104,651.494347600294
sp|P0A910|OMPA_ECOLI,ompA,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,29,2046.35,P0A910,146530.058925354,152491.132663327,145394.412658922,110799.422532295,119679.886373329,120346.297615513,158846.334460865,155610.665987032,150934.407571656,75932.5383641925,65181.8251880475,74604.7888838593,83840.2954557629,80912.3624546555,80791.1900425594,121079.145060665,114394.052234139,122620.4734994,98264.4052319271,102913.475717972,109702.008611769,71287.6639244468,70787.6441307562,70446.0964955725,123520.07988706,117635.626353268,125093.463368763,101823.66920947,99971.1360829458,106465.418074723,84715.0052871688,81233.5461519202,82587.8644025515,70103.9540002994,72016.2095987154,72097.249412241,100171.889498995,103070.144177627,105743.001956863,103103.780148129,110803.157619376,112159.537018758,113959.017918853,122123.724301185,125853.628387416,171546.913385952,156261.0230419,153971.043605113,78741.8164811596,79212.8092668583,70908.8940717977,115632.39071268,116877.541868245,125273.995145342,118658.557013592,139988.494924335,110400.101904531,73830.0884820868,81857.3816039411,75848.3150470031,65969.0358350591,73019.9918729732,80202.8037896066,103760.705176563,82902.0652642184,89206.4088465786,90636.2748067698,91351.6019364097,96585.2450542378
sp|P02359|RS7_ECOLI,rpsG,30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3,17,1287.47,P02359,136334.014120813,142022.329518216,132224.843664576,54021.6761924568,57520.4000908413,53857.0357969044,74491.7694739444,78873.2160456791,90639.3865499985,26532.088723819,22573.7863291619,22645.065596291,33374.5261596959,34608.9598605298,27323.4939433205,33311.8471745149,37004.7646628581,37422.7321588605,32333.9363590479,39535.7910687277,37344.7191839525,25601.3453719997,30861.9944545922,29261.9369754886,31420.7347650424,36202.149520508,33809.7289458787,25878.4262124445,24753.1770681027,22050.2723382884,15703.6125864191,17393.8729133023,17000.7131037915,14434.782864087,14890.885408015,15505.0759569553,17584.238845552,16312.8364626953,16942.3958816988,16413.0542240522,18365.849785103,16991.903141644,48951.8563784872,57379.9623095957,53302.1889390471,40197.2857874238,40843.5955881137,35312.6967344163,41182.8396330361,33663.7052055457,39601.8132938527,35685.2872158512,35330.3601700101,35237.2265122939,47913.3994238548,40369.8668990185,43214.9873257748,36446.2215898566,36240.0391890981,35065.4535108461,20266.0312994271,18446.7888592354,19366.5481715565,34068.6127489098,39256.3960971002,27320.6033535062,39133.5947749083,46643.2403608802,44051.5175210565
sp|P0A7K2|RL7_ECOLI,rplL,50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) GN=rplL PE=1 SV=2,8,542.05,P0A7K2,112716.845385665,145618.842924432,145688.592087552,65231.5520465074,57713.5527380154,61706.4521030023,99229.8137476951,102070.175616076,89358.6053294016,24712.5197814284,23776.9674788981,24297.3446962895,36889.4742544177,34912.1206090707,32481.0195695362,41160.6923107546,37122.5972775585,47288.4766653155,42425.4051871775,40710.071393581,38100.8695135698,32244.4321279716,27829.2219704697,33896.9717944553,30615.627639698,32000.236481888,33083.3793742084,21808.1777317426,21560.8954871411,21217.5910847248,19355.2565221011,17286.0893033239,17249.2364464873,16104.0586532799,14558.6352014616,14214.4856589367,33974.0036403726,40116.5443662007,35793.0892787943,33914.9444124787,35933.6944576855,31089.7868961178,64052.4605599142,58807.809048368,59862.6213839817,65446.1376764253,54753.9972290523,63815.9803838047,64946.7827061834,76232.845560816,60649.3045111469,62058.1966208514,61450.6385747222,60884.7429333446,47705.3477956886,47613.7031955921,53505.2475181586,36373.8573628832,33714.2857436405,36841.2723536272,27375.4061514013,22721.2220347675,23952.2377541095,36653.7606084462,35374.7738456648,30568.5610639047,52381.0509278605,48723.5470146048,46758.9932676408
sp|P61175|RL22_ECOLI,rplV,50S ribosomal protein L22 OS=Escherichia coli (strain K12) GN=rplV PE=1 SV=1,7,634.1,P61175,111191.129639696,137404.38231004,151114.381529661,48800.8430458306,50574.8082468606,49716.9431119312,85360.5337499479,76907.5245981356,86034.1520686726,16838.9879836747,18436.1813407971,20768.4385198065,29357.3476839475,31387.0948778122,29803.8863640893,37100.6654153793,37433.7184175607,36047.2624974257,36805.2004424296,42655.8891541432,40812.1923063373,29107.8011126777,27470.127057923,29423.3350713011,36282.3086336393,35821.523164188,34725.9176031388,23088.0157726831,23958.7422221524,21752.7453408156,17301.0310867799,16144.3963948791,19347.9272501994,15727.6742670892,15805.9442982478,16448.8542918237,15117.8520394117,14090.4324309408,13229.9193878175,17602.2765539617,17484.3816681558,16753.6623939198,56016.0372800576,50177.5876837931,47977.7059943098,37373.8333254314,41293.6193581739,36304.0283583649,45071.6590134909,56454.1042203658,51747.2414028201,36558.0100043954,44674.2461878258,45075.3835154566,41012.407198039,37973.879751907,39652.1693734428,33512.9378669139,30084.3889949867,30563.0497527547,21896.2713998806,19357.957842313,19384.3963070839,34214.9943713686,27604.2127164985,32936.9094473621,42383.3760547962,48460.0858547883,45726.0185071544
sp|P0A7M6|RL29_ECOLI,rpmC,50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1,4,372.37,P0A7M6,110637.757739919,142385.473288727,119801.692513916,47057.6554437137,60439.6784442261,52938.9688894881,96172.8106806458,78789.97901239,90390.7718525854,26054.9231398055,24943.8095550868,22688.6372734821,29960.7480286039,24742.9020393854,25887.3498984953,37311.7052232179,37422.472721974,38467.528548651,39467.2127637711,39271.2247924014,36423.5625006828,36064.7949770507,31420.2825170019,26434.6683306092,33747.8011497821,29658.3225318047,31319.3950003641,22926.560279915,26820.4006918621,23714.6724265151,23127.3026871131,16500.0368120669,16959.5800328086,14579.519401749,14429.3021578269,14017.2764595862,27193.5415663976,24807.8679173725,24616.6692211357,25447.3604029564,21801.1106323096,23752.6825239311,50532.4661870657,43945.6896585598,70051.2018154716,72113.9083068376,44300.3466182359,42191.3345581883,46738.6769710264,35260.2702224146,50063.6207300505,48252.6090523586,32210.1224931434,34985.4712201507,58352.5817960833,50438.2456977376,57822.1890618261,40232.4262796323,37070.1279838575,38010.0913523141,27427.3118438149,24097.6802365599,25934.817412024,39989.0718022756,34004.8999586527,32319.8856982693,58047.336912352,48728.9523275514,42988.4798341669
sp|P61889|MDH_ECOLI;tr|Q1PI59|Q1PI59_ECOLI,mdh,Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1,27,2213,P61889,110632.953737804,73161.6378009248,67996.8730305181,53137.5871506959,54274.7908604836,52981.1423231815,110645.455289571,114208.603501725,104790.565696585,122313.267637144,103151.556585048,119780.547026939,71192.6522488683,62869.9654453364,69352.5566767799,66983.6044222391,68542.4169042856,64690.5981069828,69304.9866179388,65608.7684800649,65977.3998023457,129096.827335516,117145.218178386,134594.608736766,74116.9575201769,68818.9499191909,71459.1590342117,59402.2760166085,60445.8799855765,61972.6754836786,51814.1632203256,47140.3703024406,49037.5400955009,42299.7433590837,41170.636918499,42602.4687333141,17356.0207058351,16269.8945464,15232.4297617759,19387.0004193794,17654.2455128481,19927.002757147,49696.6911681222,54229.0747229062,54399.9441598718,73098.7004412649,60530.9731925214,62945.5196092276,67760.5749055203,50381.9886433255,62755.3628618118,36450.0396124143,32107.8306227069,35817.6383791792,72932.2692134529,67234.1041580512,70658.3274524901,90772.8521750846,88351.2669283567,92508.5192621221,48137.7644279701,53205.9492990716,49851.802960519,82531.0485812678,71565.1025090373,70618.8312011041,79245.9321232195,75762.5520850986,65072.4418986961
