UP,lb,lb1,lb2,glucose,glucose1,glucose2,glycerolaa,glycerolaa1,glycerolaa2,acetate,acetate1,acetate2,fumarate,fumarate1,fumarate2,glucosamine,glucosamine1,glucosamine2,glycerol,glycerol1,glycerol2,pyruvate,pyruvate1,pyruvate2,chemostatµ05,chemostatµ051,chemostatµ052,chemostatµ035,chemostatµ0351,chemostatµ0352,chemostatµ020,chemostatµ0201,chemostatµ0202,chemostatµ012,chemostatµ0121,chemostatµ0122,stationary1day,stationary1day1,stationary1day2,stationary3days,stationary3days1,stationary3days2,glucose3,glucose4,glucose5,50mmnacl,50mmnacl1,50mmnacl2,42c,42c1,42c2,ph6,ph61,ph62,xylose,xylose1,xylose2,mannose,mannose1,mannose2,galactose,galactose1,galactose2,succinate,succinate1,succinate2,fructose,fructose1,fructose2
P0CE47,0.00046553161188065567,0.0005628478491460892,0.0005182709453133211,0.00046654711805667375,0.00044205865095616,0.00044528317818752234,0.00048247122384935506,0.00050236735828347,0.0004692813183542747,0.0003403344220945828,0.0003225233269930991,0.00032511927203005556,0.0003799578747528032,0.00036570237277351044,0.00037521451205731085,0.0003321737587535844,0.00034855129172136777,0.00032823815475978616,0.00038765707726935695,0.0003624922156733699,0.00035453136655136126,0.000407833702720276,0.000368079333704884,0.00037516135808335355,0.00033671832014880293,0.000307596834936594,0.00034092119323996396,0.0002890591056203444,0.00029709666028076377,0.00029689774567581646,0.0002864216699531933,0.00027010157052314253,0.00027121940746176166,0.0005116049366546693,0.0005234930657848272,0.00026083923819214305,0.0004357853659772844,0.0004574698725882749,0.00041354082146686084,0.0004408446210936536,0.0004430548805597049,0.0004555856335221592,0.0012205245924112292,0.0012392360186645997,0.0012586454800317488,0.0010993347042160242,0.001058146803089822,0.0010744133851999832,0.0012706697308359494,0.0010964960978659497,0.0012534852729569757,0.0010697420590435824,0.00095889453399796,0.0009635178974754155,0.00038909005177705473,0.00038918714819590155,0.0003939235184697543,0.000364343936721947,0.00035697163580921667,0.0003783273744793759,0.00032923478104200974,0.0003179752196383576,0.00030878031825501916,0.0003847405833229061,0.0003803225998214066,0.00035739122818413113,0.0004155923184094168,0.00038482249798083343,0.00039450812609223736
P0ACF0,0.00033131114955916,0.00027455037447281374,0.00032534969095631463,0.0002537021281017606,0.00022751816213486027,0.00023446969056908074,0.00024169694723901957,0.00024007314629036585,0.00022090284077125205,0.0001610614531508061,0.00017192278035885037,0.00014530558074869315,0.00020084385551580878,0.00021402738906694263,0.00020055683410297832,0.00019914135259696788,0.0002260782297353928,0.0002082373955244939,0.0002575838703679732,0.00024182226726562496,0.00026069490697973655,0.00026102877537610567,0.0002491564570354252,0.00025170762599221054,0.00017776099630127619,0.00016576599293692047,0.00019141764686505356,0.0001799657998550453,0.00017237290016672714,0.00018330522662009306,0.000183638360685434,0.00016688984754884887,0.00017278629709254492,0.0003835957105064567,0.0003004943847611347,0.00017360471738939125,0.0003633057706398149,0.000330744821931501,0.00041908429579742254,0.00034853055160663987,0.00041641168060983574,0.00037967938731255384,0.0006854746963623076,0.0006162651204231292,0.0005610874091002523,0.0008217262411124869,0.0006551254866696122,0.0006320765115656168,0.0006570629082115551,0.0005884850347892869,0.000578547479058064,0.0006170935527907727,0.0006502214319546579,0.0005955694512547556,0.00024102557586596257,0.00024246641376600303,0.0002278282639008158,0.00023251925864985445,0.00026884633961610915,0.00023395896534578924,0.00020797373722219358,0.00023592900343607462,0.0002067558854848745,0.0002377117940567551,0.00023546253049457983,0.000217745011369787,0.00021206812327479897,0.00019783811425772433,0.00020080392476521787
P0A853,0.00017893353101809166,4.3892203334543734e-05,5.1819372149796656e-05,1.07632666071416e-06,1.0875018287544345e-06,1.0816588018324056e-06,0.00010105118243968732,9.043585386692328e-05,0.00011290752361823472,5.269668377992783e-06,4.566192880712466e-06,5.247428325982536e-06,3.273712155497143e-06,3.2512613058108712e-06,3.4699778818779983e-06,1.8940114374041235e-06,2.143575845115716e-06,2.108391765419112e-06,1.998704618139836e-06,1.9823276542699924e-06,1.889578488471448e-06,1.7827952711093511e-06,1.7746343633992523e-06,1.7584549798961152e-06,3.7301512623403424e-06,4.030569871651027e-06,4.134104692773911e-06,6.414303903280065e-06,6.759761402356873e-06,6.110087382666503e-06,6.872327966080658e-06,7.915732257967786e-06,7.358198763014915e-06,1.785116172466887e-05,1.8904513877679728e-05,9.86856954430102e-06,2.7585896871764214e-06,2.0459530276652876e-06,2.2593018902567255e-06,1.8133278524277043e-06,1.7254561108295977e-06,2.165943114967362e-06,3.331671727113365e-06,2.8690607136699373e-06,3.101110492232262e-06,2.193594900138221e-06,2.633906354758179e-06,2.5742323916377456e-06,3.811119526855462e-06,3.6244865928126936e-06,3.957542868273956e-06,3.2424105613209634e-06,2.9274803589025814e-06,2.7823945508378483e-06,1.1703376199654645e-06,1.1061346673009014e-06,1.2054194840839072e-06,2.919304195981266e-06,3.139536291495112e-06,3.266923120587589e-06,3.1543337944593426e-06,2.8651783451138e-06,3.250558108025375e-06,3.1101545978763693e-06,3.5247269878837472e-06,3.350237735812805e-06,1.2496419745146022e-06,1.1840528618613925e-06,1.10254076809795e-06
P0A910,0.0001710980847585545,0.00017805862450822642,0.0001697720298686926,0.0001954316384085067,0.00021109529042596118,0.00021227072832931225,0.00020775627005969533,0.00020352431585341868,0.00019740820364024615,0.0001653772623300603,0.00014196274792729958,0.0001624854905172374,0.00016534642127640845,0.00015957207087796972,0.00015933309957439067,0.00023149614883833172,0.00021871464758811947,0.00023444307745666134,0.00018645241764687955,0.00019527382586573454,0.00020815477057136195,0.0001428400819407708,0.00014183818533803646,0.00014115382159947962,0.00023001756411095324,0.00021905960756490409,0.00023294749935876598,0.00021252656216937674,0.00020865995139271017,0.00022221482950883422,0.0002040199906853526,0.00019563555798730688,0.0001988971761143691,0.00035117066482875714,0.0003607496975580007,0.00019008192055617454,0.000501789514359841,0.0005163076972049043,0.0005296968028083202,0.0005164761893576194,0.0005550445631947614,0.0005618390537799712,0.0005708531659373299,0.0006117525047735227,0.000630436656279494,0.0008593273301361672,0.0007827559533690693,0.0007712847943919704,0.0003944401772743759,0.00039679951423392403,0.0003552028388207427,0.0005792355666862529,0.000585472883330478,0.0006275331083430238,0.00021304462195875754,0.00025134130003210954,0.00019821704027434743,0.000140089368679102,0.00015532080681987455,0.00014391886544855414,0.00014952836311755218,0.0001655103750026312,0.0001817912573117318,0.00020146004413087217,0.00016096125887203713,0.00017320166658859283,0.00015338611671931524,0.00015459668335870283,0.00016345371323829423
P02359,0.00015919251568307846,0.0001658345649468002,0.00015439437938145624,9.528519595658018e-05,0.00010145635938119985,9.499479785236938e-05,9.742832422655757e-05,0.00010315884989653269,0.00011854790942479051,5.778555928156099e-05,4.916457508156999e-05,4.931981775240191e-05,6.581988329482059e-05,6.825438324053672e-05,5.388628362693973e-05,6.369027736136964e-05,7.075091671508195e-05,7.155004579396402e-05,6.135223219390151e-05,7.501743699509106e-05,7.085997377949213e-05,5.129777116284975e-05,6.183860676682671e-05,5.8632549381255356e-05,5.851130342402357e-05,6.741519480801532e-05,6.29600588219609e-05,5.401350196849131e-05,5.1664879746490736e-05,4.6023371690863183e-05,3.78191665425402e-05,4.188983731659684e-05,4.094298663291521e-05,7.230793708181614e-05,7.459268458094577e-05,4.0878599950680435e-05,8.808445877209408e-05,8.171564225639874e-05,8.486928462755116e-05,8.221766155595497e-05,9.1999770500137e-05,8.511728058778943e-05,0.0002452137856441274,0.00028743256781241884,0.00026700584001971206,0.00020135964904662688,0.00020459719884863444,0.00017689135179262914,0.00020629656885555426,0.00016863108374144323,0.0001983767577898269,0.00017875776359407763,0.00017697983297046123,0.00017651329996295082,8.60257559498624e-05,7.248177669176934e-05,7.759002696044572e-05,6.915511383276289e-05,6.87638917314646e-05,6.653516670202404e-05,4.5935891721521e-05,4.181231555048231e-05,4.389708308865527e-05,6.614704686320164e-05,7.621955996427789e-05,5.304522504847657e-05,6.622679659537517e-05,7.893556443503201e-05,7.454952470799307e-05
P0A7K2,0.00013161556411669752,0.0001700340893319334,0.0001701155330187159,0.00011505754092412295,0.00010179704832557744,0.00010883985457009763,0.00012978339130651127,0.00013349832114356073,0.0001168727664002011,5.3822629333531435e-05,5.178504331451846e-05,5.2918398809344216e-05,7.275192098952594e-05,6.885226454057537e-05,6.405774593274817e-05,7.869680405064871e-05,7.097620569029754e-05,9.041276453485829e-05,8.05003535932212e-05,7.724558262979257e-05,7.229473600828566e-05,6.4608616326304e-05,5.576179843433745e-05,6.791983299937493e-05,5.7012042899018914e-05,5.95904443493599e-05,6.160745963872366e-05,4.551807135304997e-05,4.5001943366907864e-05,4.4285397744562885e-05,4.661345698988918e-05,4.1630260975554473e-05,4.1541507873514946e-05,8.066981476807213e-05,7.292834870162646e-05,3.74760029792502e-05,0.00017018545694631295,0.00020095519227989424,0.0001792977748195996,0.0001698896124590864,0.00018000210619225482,0.00015573759411127426,0.00032085701126995987,0.00029458505864804414,0.00029986891395191833,0.00032783833673927264,0.0002742783610875373,0.0003196724147397436,0.0003253369255223727,0.00038187202760725,0.0003038096337118194,0.00031086717541388664,0.000307823744183455,0.00030498901180009446,8.56522112044506e-05,8.548766859013341e-05,9.60655979409064e-05,6.901780587228125e-05,6.397138487026707e-05,6.990470540485273e-05,6.205031829981327e-05,5.150093670284728e-05,5.4291211915379056e-05,7.116632657010816e-05,6.868306733209227e-05,5.9351405240280875e-05,8.864580995446088e-05,8.245612129684533e-05,7.913145607891117e-05
P61175,0.00012983403857896297,0.00016044234761863047,0.00017645103979907524,8.607652002322676e-05,8.920549775427875e-05,8.769236722506576e-05,0.00011164365965626414,0.0001005879078309448,0.00011252468992880473,3.667447175007289e-05,4.015307882028274e-05,4.523261804843647e-05,5.789736726618752e-05,6.190035214090616e-05,5.877801269237038e-05,7.093427326974076e-05,7.157105086942903e-05,6.892022932716801e-05,6.983626052864286e-05,8.093768685512992e-05,7.743935260205036e-05,5.8323705212967636e-05,5.504227497250754e-05,5.895594498663493e-05,6.756446611645857e-05,6.670639711781623e-05,6.466617400098072e-05,4.818935182336107e-05,5.0006733777206885e-05,4.5402372757939346e-05,4.16662454214172e-05,3.888071057705239e-05,4.659580583139549e-05,7.87843982175422e-05,7.917647508781425e-05,4.336683909896387e-05,7.572962505710183e-05,7.058298772244756e-05,6.627243289345552e-05,8.817481478901995e-05,8.758424574025858e-05,8.392386485310424e-05,0.00028060027901744683,0.00025135382272939444,0.00024033398902019792,0.00018721617180159124,0.0002068514960387774,0.00018185721413822967,0.00022577677231494023,0.0002827946810431424,0.0002592166651028686,0.00018312948051410987,0.00022378601832409272,0.00022579542940568645,7.363542088350183e-05,6.817991942313645e-05,7.119319201768218e-05,6.358933606719202e-05,5.7083814310025716e-05,5.7992052194414125e-05,4.963106674755732e-05,4.387761186470662e-05,4.393753846982508e-05,6.643125896517529e-05,5.3595876228874124e-05,6.394975072219247e-05,7.1726485674299e-05,8.201025914841995e-05,7.738332612191698e-05
P0A7M6,0.00012918788533978847,0.00016625859537497392,0.00013988829520915152,8.300182882584437e-05,0.00010660547783807798,9.337548147161202e-05,0.00012578511487837193,0.00010304998357849225,0.00011822274446337118,5.674631655818733e-05,5.432636686682854e-05,4.941471468123144e-05,5.908736888824203e-05,4.879694521548722e-05,5.105397874348945e-05,7.133776887372558e-05,7.154954976601421e-05,7.3547634564809e-05,7.488731265630222e-05,7.451543403957076e-05,6.911211920059511e-05,7.226353040771209e-05,6.295725630857174e-05,5.296751194460773e-05,6.284473764647326e-05,5.5229361174477224e-05,5.832258976839613e-05,4.785236160205232e-05,5.5979592950245985e-05,4.949731082084623e-05,5.569771332490035e-05,3.973720293464634e-05,4.084392544853183e-05,7.303296360679017e-05,7.228048266375176e-05,3.695606770197561e-05,0.00013622019195778172,0.00012426967342655864,0.000123311904721079,0.0001274730733562478,0.0001092079701341917,0.00011898394936981243,0.00025313151018946465,0.00022013647124224649,0.00035090641411592184,0.00036123909820270667,0.00022191304892736638,0.0002113484070634336,0.0002341273398795988,0.00017662873246770188,0.00025078292981065654,0.00024171105670539643,0.00016134967408663656,0.00017525218602755556,0.00010476870814837254,9.055897237741193e-05,0.00010381641846608226,7.633927188519736e-05,7.033894896891673e-05,7.212248841165376e-05,6.216797006059533e-05,5.462087834226055e-05,5.8785015519532423e-05,7.76421108196049e-05,6.602334317869934e-05,6.27517477642277e-05,9.823501256936488e-05,8.246526884802501e-05,7.275051848155776e-05
P61889,0.0001291822758725769,8.542831550974929e-05,7.939759821579659e-05,9.372581084444224e-05,9.573164787074323e-05,9.344986835067372e-05,0.0001447139914687892,0.00014937425879405988,0.000137056339011283,0.0002663921657861194,0.00022465891962284272,0.000260876027253338,0.0001404032536686045,0.00012398958920228014,0.00013677429201004358,0.00012806868145037953,0.00013104903852321882,0.00012368458928506198,0.0001315031855064931,0.0001244897730065117,0.0001251892348421316,0.00025867310527165295,0.00023472550007115387,0.000269689086194794,0.00013801968104047566,0.0001281537968527843,0.00013307036159218452,0.000123984547059242,0.00012616275931100066,0.00012934948987047202,0.00012478456516346701,0.00011352862314540529,0.00011809759604691936,0.00021189145761210253,0.00020623544198421272,0.00011231994484227594,8.69412491344462e-05,8.150053397171658e-05,7.630357748975676e-05,9.711500475821636e-05,8.843514210012307e-05,9.982003021173242e-05,0.0002489448751667325,0.00027164887480398016,0.000272504808461843,0.0003661722023834421,0.00030321687844680817,0.00031531202889168873,0.00033943201176140123,0.00025237772533052765,0.00031435947960450596,0.0001825886260805117,0.00016083726498418267,0.00017942074825278253,0.00013094569927556585,0.0001207149712889816,0.00012686296748602404,0.00017223752288329414,0.00016764267063008236,0.00017553087538305675,0.00010911120691606893,0.0001205989811143724,0.00011299632321113291,0.00016024089910584888,0.00013894960221374445,0.00013711233772010394,0.0001341099446121012,0.000128214930300844,0.00011012377979526962
P0A7T3,0.00012751345601027682,0.00019945242164821724,0.00015949843861545043,0.00011479322907780361,0.00011327238335289761,0.00013053263309015565,0.00012894000242304413,0.000127277792524403,0.00013837192121199382,6.0290012807886154e-05,5.3220032000058414e-05,6.274607685868084e-05,7.79410718624206e-05,8.15998431308728e-05,8.032816224874379e-05,0.0001028986408934066,8.89323232809216e-05,0.00011235833250222092,8.85416583909788e-05,0.00010166285361058236,9.831720366410484e-05,8.081268362662696e-05,7.00715823391402e-05,6.474608753440761e-05,7.19610158812273e-05,7.16153967272071e-05,6.560927261598126e-05,5.099811147598408e-05,5.6515157782872004e-05,5.204510677914452e-05,5.974178223690303e-05,4.4950566565048994e-05,4.9291325750649016e-05,8.257293955343128e-05,8.699299914499475e-05,4.3873284580076286e-05,0.00020045394611850463,0.00018188484442724134,0.0001956464952493026,0.00014108883231721294,0.0001655501286947377,0.0001403166479510267,0.0003987505437082688,0.0003438536924522562,0.00035739257059064125,0.0003598554895325811,0.00038425231147395944,0.00032606090233111676,0.0003830399969799218,0.0003541421221490473,0.00035879660042511245,0.00031490430111584224,0.00034920107750061887,0.0003720192507055923,0.00012534115072463964,0.00012000592185253968,0.00012527783950460011,9.387217076736978e-05,9.315940997479983e-05,9.897772631835229e-05,8.222504620851219e-05,8.19256990813491e-05,7.523271039378343e-05,0.0001077859187173329,9.455016952331476e-05,0.00010092391061154409,0.00012855987163613196,0.00012201612277182734,0.00011047521963370238
