Uniprot Accession,glucose,lb,glycerolaa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostatµ05,chemostatµ035,chemostatµ020,chemostatµ012,stationaryphase1day,stationaryphase3days,osmoticstressglucose,42cglucose,ph6glucose,xylose,mannose,galactose,succinate,fructose,glucose_uncertainty,lb_uncertainty,glycerolaa_uncertainty,acetate_uncertainty,fumarate_uncertainty,glucosamine_uncertainty,glycerol_uncertainty,pyruvate_uncertainty,chemostatµ05_uncertainty,chemostatµ035_uncertainty,chemostatµ020_uncertainty,chemostatµ012_uncertainty,stationaryphase1day_uncertainty,stationaryphase3days_uncertainty,osmoticstressglucose_uncertainty,42cglucose_uncertainty,ph6glucose_uncertainty,xylose_uncertainty,mannose_uncertainty,galactose_uncertainty,succinate_uncertainty,fructose_uncertainty
P0A8T7,4.90169091791918e-06,8.365155164748209e-06,5.889506278215654e-06,4.7479307243802474e-06,4.819957413112447e-06,6.339995456387573e-06,5.398263256703876e-06,5.4701389024557006e-06,8.901256843872385e-06,8.140087652463843e-06,8.373693718229814e-06,7.909396909276608e-06,5.431943106547986e-06,5.970441212787902e-06,1.126087202630075e-05,6.6986575725489745e-06,5.708532984316464e-06,6.5210473347115906e-06,6.453248975764457e-06,5.118083653118929e-06,5.366536021803234e-06,7.644236159288809e-06,1.0033761308980561e-06,4.032004789408637e-07,1.2155940958237109e-06,5.075537944362485e-07,4.275302225430741e-07,1.9653985914801478e-07,5.846319107010299e-07,1.8297614628714322e-06,7.726290940481231e-07,1.4163752515287085e-07,7.527950652688605e-07,1.1626813456636615e-07,3.6719935400264385e-07,7.212292985047786e-07,2.354648340699486e-06,9.284339395552876e-07,3.505039252370309e-07,4.0886966788641664e-07,1.0421997095859597e-06,1.1705057314682993e-06,8.827951755866318e-07,7.101495391979304e-07
P0A8V2,6.979485772654262e-06,1.0378210371898673e-05,6.799809713622738e-06,5.795524613566898e-06,6.308937710534665e-06,7.64585097409346e-06,7.1135637783419435e-06,7.4417933640001725e-06,9.76717408914449e-06,9.158642210002907e-06,9.296076431511963e-06,9.108988773850225e-06,7.448180202004416e-06,6.9722981546296055e-06,1.6300212443764518e-05,8.2754055783334e-06,6.893322848985919e-06,7.966378585934837e-06,7.861161572064731e-06,6.39193795473666e-06,7.484803315503427e-06,8.916865247574215e-06,1.2667766677367487e-06,3.0200592182225137e-07,9.900522943034705e-07,5.986776925814606e-07,3.861069878847215e-07,3.8840922948394765e-07,5.292491451086407e-07,1.8686343137004436e-06,8.087220145811638e-07,2.5186266077507993e-07,7.9295531960797e-07,1.129514607957428e-07,1.0740275851290366e-06,7.795029336875899e-07,2.8492771351700378e-06,8.697451262828403e-07,4.087740449448649e-07,3.401643656194175e-07,1.062042928385945e-06,1.2624077460604903e-06,1.0179332509084656e-06,6.928404297365165e-07
P36683,1.3398072764488699e-05,1.9383246194140185e-05,2.2951156155924564e-05,4.975308691180843e-05,3.843935758550521e-05,2.629492084188731e-05,2.0477348705219062e-05,3.285088912298946e-05,2.9297797892184985e-05,4.2288798955530755e-05,3.952036638370758e-05,3.628567655412465e-05,2.9210391460572166e-06,2.3668870251010243e-06,1.4101136456421979e-05,8.139247168452229e-06,7.948179048843139e-06,1.2024078744648545e-05,3.134028619015041e-05,2.918305005930301e-05,3.7952127213526705e-05,1.4862006187928783e-05,2.308487937321403e-06,1.8607916346374576e-07,9.134560150057974e-07,4.034975348547663e-06,1.010955104498787e-06,1.5014399800717652e-06,4.545971412558632e-07,1.5012856329206184e-06,1.4561005552415936e-06,1.3109527676214531e-06,2.0708671985062777e-06,3.3745679195335926e-07,1.147968384400486e-07,2.376354573201428e-07,2.3407886517660487e-06,7.789259540208785e-07,3.552836034832883e-07,2.618844350584454e-06,9.903530436087532e-07,6.040891362275725e-07,1.597784555689474e-06,4.830152011076857e-07
P15254,4.3319729738789156e-06,9.586533208065718e-07,3.0591950221511024e-06,3.1318919181921085e-06,4.084341981405842e-06,3.7454918875341554e-06,3.923939688880006e-06,5.4260571970146665e-06,4.255098721390878e-06,3.610859394554473e-06,3.535399015922165e-06,3.2138516108027283e-06,1.93483621893179e-06,2.3011401632926626e-06,6.602237246736827e-06,3.168624723777871e-06,2.9200881513065346e-06,3.0899566252859708e-06,3.347112964789328e-06,3.558632123736368e-06,3.714248701052672e-06,4.071736152147194e-06,4.033066838681271e-07,4.908305002529648e-08,2.539131868385415e-07,3.19452975655595e-08,1.3233268019754931e-07,2.576898418623499e-07,1.8599474125291224e-07,2.3223524803222776e-07,3.799803158202054e-07,1.5996107117876316e-07,3.2101423064573263e-07,1.0605710315649004e-07,1.3563201894711846e-07,9.250583456436502e-08,8.563101709017664e-07,3.605894935659218e-07,5.197756909325632e-08,2.434885820725345e-07,4.083477817042979e-08,2.736588103153267e-07,1.0994176155115911e-07,2.52447641433126e-07
P09831,5.042797529446181e-06,7.05269921762691e-07,8.527555170767502e-07,2.9685456776744394e-06,2.5263361072819337e-06,3.779906820650855e-06,4.1819937496574145e-06,3.3882801773086417e-06,4.322137475863558e-06,4.088828643891453e-06,4.265116932696291e-06,3.635686112630814e-06,7.200846769487243e-07,5.729369386157241e-07,4.177743447479904e-06,5.007603741185294e-06,4.655386437943615e-06,4.481424600066115e-06,3.944811708501708e-06,3.1687692413907276e-06,3.015278741628228e-06,6.528993381123805e-06,3.176962443551094e-07,2.983291769056183e-08,8.322893846669083e-08,6.510020671140045e-07,1.5259070087982878e-07,9.260771710594595e-08,4.094171880914608e-07,7.986176377916468e-07,3.4447435682632547e-07,2.1589015239746868e-07,2.2946329097906044e-07,1.1416054393660756e-07,1.2558276765985756e-07,2.2802890156905823e-08,1.1868969134290408e-06,8.708222905921226e-07,3.6498229673477937e-07,8.98525632313256e-07,6.986261535756524e-07,7.085368023749667e-07,3.223332974800576e-07,5.81733310258131e-07
P0AFG8,1.025668682536885e-05,1.3801805422574516e-05,8.725049163219327e-06,5.325087440876013e-06,8.916132350524294e-06,8.026327179105862e-06,7.716954891042062e-06,3.164064593724469e-05,1.0957111981034541e-05,1.1009990350447889e-05,1.0618238597548248e-05,1.263921626102402e-05,1.6527508737444854e-05,1.8434167729887346e-05,3.147333582795712e-05,1.1738199706175528e-05,1.6171612308670094e-05,1.8390718020223243e-05,9.307023294949917e-06,7.396061541243164e-06,9.201162882534562e-06,1.593155616638141e-05,2.280061481279496e-06,3.229622468882437e-07,1.2529170598382952e-06,4.819204133992792e-07,2.1309556317753066e-07,1.749739325045078e-07,7.41599365029142e-07,7.23621572584786e-06,9.127274280201773e-07,4.051676448964823e-07,9.63074240797626e-07,1.5672628163669784e-07,7.569599001749744e-07,1.7659932685232079e-06,6.244309828266691e-06,1.1479959312639668e-06,1.3066662745405434e-06,1.33700520007023e-06,1.2759928937376334e-06,1.4851291574816274e-06,6.109572154002948e-07,2.0918133246458796e-06
P0A9Q7,8.556352156468494e-06,6.389465251465969e-06,7.368749360752165e-06,9.822553929795833e-06,7.902442452676588e-06,1.4073795704001489e-05,9.840208523467943e-06,6.596226105085776e-06,1.9281090661392192e-05,1.593996138509394e-05,1.88739251279169e-05,2.1115453282132115e-05,2.2034591114630964e-05,2.1020210961016246e-05,2.6128429043231628e-05,1.5177460281692518e-05,1.541252616160914e-05,1.5065558421135724e-05,1.1341096479901253e-05,1.4334260860196678e-05,7.867295209966247e-06,3.383636434997132e-05,2.013309662417036e-06,2.670796475112775e-07,7.604549340296234e-07,1.0853922092424397e-06,5.057563169713015e-07,3.968810388528419e-07,9.121873301254784e-07,1.788236897088754e-06,2.8208235637616776e-06,8.862618530112228e-07,2.013847811148733e-06,8.213911326749394e-07,1.4013999948905294e-06,1.4903329571360517e-06,4.389576079262914e-06,1.5814913613523605e-06,2.1515886521606358e-06,4.805913136342296e-07,2.1287238092774655e-06,2.8969541198457498e-06,2.331866300233995e-06,2.151992772658176e-06
P0CE47,0.00044528307866517923,0.0005182706379374403,0.0004824712840236323,0.0003251200012266214,0.0003752151463130613,0.0003321729344423859,0.0003624919545954184,0.0003751613615836954,0.0003367189040276487,0.0002968982175128267,0.00027121905066425237,0.0002692648719137764,0.00027236733285144007,0.00027691012792210363,0.0010744114215698799,0.0004206319903874718,0.00032884500910492203,0.0003891873084970879,0.0003643438719727621,0.0003179762468015009,0.00038032314600538444,0.00039450824806481523,4.207925093385943e-05,1.528898381915449e-05,1.659701217041295e-05,9.493504035817343e-06,7.2791738384733905e-06,1.0629533902156348e-05,1.7037121865984663e-05,2.0746423295578355e-05,1.862055539272897e-05,4.631612193200097e-06,8.950228671920328e-06,7.377857490437473e-06,1.372731357571258e-05,4.929000277013445e-06,2.073614043629868e-05,3.3440243235804e-05,2.0684351072699592e-05,2.7632298903293233e-06,1.0784578610393756e-05,1.0207037522328176e-05,1.4908667323411072e-05,1.55830757985602e-05
P25665,9.098554311260992e-05,1.9978755565164976e-06,2.2103632267786933e-06,3.792464114845562e-05,3.888900991373337e-05,4.5844514792901467e-05,5.46619219329087e-05,3.735523793350976e-05,5.0666400880351435e-05,2.7692995634074424e-05,1.9976931087925313e-05,1.1186523695353546e-05,1.0588375554089503e-05,1.1155050886818718e-05,0.00015082455330955928,5.4399487167585934e-05,4.401331930166009e-05,5.887256115231085e-05,5.055392898009187e-05,2.6429076791570736e-05,3.724927408766102e-05,6.574347715653126e-05,5.904961748008385e-06,6.333265514157298e-08,1.9871165408740454e-07,3.0529336124506774e-06,1.8316723669368414e-06,1.0085793254438324e-06,9.073879040862844e-07,9.189388531643401e-07,1.8290570717806868e-06,1.1991067109554225e-06,6.332687154872325e-07,2.897309637096569e-07,1.810612219749305e-07,1.4378860593109328e-06,1.735990608593027e-05,7.1426526651040325e-06,2.315100595267321e-06,6.18161892099264e-07,2.659136664352833e-06,4.292082070951086e-06,5.51289256497383e-06,2.084068225862041e-06
P0A6F5,4.010779049390581e-05,7.69339724092358e-05,7.496793479037154e-05,4.2557140529536724e-05,5.21083939317746e-05,4.414671142581094e-05,5.0013153926256856e-05,4.592311850014001e-05,4.833121759955312e-05,4.9470860907358456e-05,4.289440863255428e-05,4.47671865065056e-05,8.299445522275538e-05,8.069331505946271e-05,0.00011460742486198169,0.00010998237582352179,4.585461610432821e-05,4.744995566127696e-05,5.168481295232227e-05,3.543218940015727e-05,5.1721835414188255e-05,4.2149069245793025e-05,1.6404086312007477e-06,8.616604909834411e-07,2.8637751089921927e-06,8.213528122200584e-07,2.8190641117090053e-06,1.350889369629815e-06,1.82047880291575e-06,2.6727254967081488e-06,6.959695334335648e-07,1.4593903967670744e-06,9.908608394120039e-07,1.983186362238198e-06,1.6515896589328318e-06,1.0893597533027468e-06,2.395295179615417e-06,7.368819180175961e-06,3.049331970937826e-06,3.7295665149763686e-06,1.6332400892933838e-06,1.1090275282249226e-06,3.268819998176698e-06,5.73227341742785e-07
